 	il	s'	est	mis	une	amulette	au	cou	pour	se	protéger	de	la	maladie	</S>
w	0.802859	0.0933836	0.0265206	0.0247724	0.0151856	0.0171599	0.00701321	0.00517396	0.00261388	0.00128515	0.000456807	0.0012124	0.00129916	0.00101278	5.15548e-05
a	0.780201	0.100789	0.0239914	0.0255816	0.030401	0.0111962	0.00912427	0.00347557	0.00252542	0.00127328	0.000558723	0.000831229	0.00148941	0.00853375	2.75831e-05
á	0.0508387	0.645639	0.214684	0.0397698	0.0212082	0.00468476	0.00633244	0.00430371	0.0037885	0.00221974	0.00110913	0.00263435	0.0022405	0.00030308	0.000244372
m	0.0236244	0.328741	0.36888	0.120418	0.0223157	0.0261513	0.009725	0.0111441	0.0105645	0.0122208	0.0272858	0.0155818	0.00979455	0.000954329	0.012598
i	0.0112248	0.179724	0.405308	0.25389	0.0934849	0.00855659	0.0122782	0.006093	0.00507024	0.00568983	0.00208396	0.00276022	0.00263525	0.00052737	0.010673
k	0.00650259	0.0515629	0.353074	0.472925	0.0613287	0.0303837	0.00510298	0.00315196	0.00150035	0.00107439	0.00166218	0.00197802	0.0010999	0.000228503	0.0084249
a	0.000699416	0.00758095	0.159422	0.603333	0.0745969	0.113154	0.0115613	0.00809769	0.00387309	0.00260905	0.00355936	0.00266392	0.00144752	0.000259206	0.00714254
n	0.000426555	0.00538263	0.107613	0.628344	0.0871916	0.155918	0.00286898	0.00468828	0.00165004	0.0010829	0.00171406	0.000909297	0.000705506	0.000288266	0.00121647
á	0.00941401	0.0235238	0.185193	0.539443	0.125528	0.0251137	0.016053	0.0235469	0.0111755	0.00815355	0.00684475	0.00977052	0.00368918	0.00154955	0.0110015
ω	0.00301212	0.0234649	0.075236	0.213137	0.431926	0.136245	0.0428396	0.0294427	0.0154141	0.0105798	0.00552583	0.00523185	0.00442225	0.00241799	0.00110558
b	0.000407379	0.000509487	0.00315851	0.100533	0.133377	0.672392	0.0409619	0.0244402	0.0062143	0.00311289	0.00453629	0.00276705	0.00202717	0.00184934	0.00371345
έ	0.00325289	0.00183708	0.00662071	0.0448747	0.0393458	0.804726	0.0410165	0.0209648	0.0104047	0.00909151	0.00692558	0.00157122	0.0013531	0.0041036	0.00391211
l	3.56551e-05	0.000402364	0.00608692	0.0488113	0.0624212	0.610328	0.0402771	0.085411	0.0221476	0.0132809	0.0169934	0.00696238	0.00672864	0.0279262	0.0521879
έ	0.010676	0.0142919	0.0476371	0.184246	0.117613	0.230292	0.0463361	0.0760809	0.0349514	0.0246209	0.0307684	0.0280351	0.0195288	0.0336052	0.101317
m	0.00107357	0.00228303	0.0145065	0.0486795	0.152436	0.251529	0.202826	0.102872	0.0566909	0.0262311	0.0219248	0.0283203	0.0184856	0.00577199	0.0663691
ó	0.0265638	0.00534477	0.00561043	0.00780283	0.0895416	0.0476244	0.235912	0.119689	0.249777	0.0614675	0.0030034	0.0129418	0.0146113	0.00234051	0.11777
k	0.00134423	0.00337307	0.0087685	0.0119961	0.0577544	0.137034	0.24602	0.295893	0.135367	0.0452679	0.0224476	0.00730842	0.00575436	0.01163	0.0100419
í	0.000186975	0.000589903	0.00266621	0.0110677	0.0142208	0.192123	0.0883079	0.482927	0.0952583	0.0242516	0.046521	0.00667671	0.00492645	0.0181785	0.0120982
n	0.000180798	0.000523205	0.00182711	0.00406246	0.00851856	0.137659	0.0767681	0.324578	0.126638	0.0635705	0.131164	0.010629	0.00578504	0.0498398	0.0582557
g	0.000118176	0.000625678	0.00380333	0.0126284	0.0164429	0.05561	0.0898623	0.3254	0.100884	0.0608604	0.0652782	0.064866	0.0437116	0.0194535	0.140455
í	0.00155047	0.00300645	0.00258266	0.0185583	0.0943139	0.0889663	0.230173	0.307806	0.103176	0.0295342	0.00656816	0.0102473	0.00880494	0.0140398	0.0806728
m	0.00147591	0.00458315	0.00941573	0.00979796	0.0187225	0.0210781	0.106962	0.152541	0.231826	0.167911	0.11245	0.0739668	0.0281279	0.00360695	0.0575348
ó	0.0114083	0.014672	0.0170501	0.00582158	0.0405739	0.00431547	0.107274	0.0331756	0.244113	0.211405	0.0215514	0.0708648	0.101551	0.00423727	0.111986
i	0.00149462	0.00480933	0.00896515	0.0151227	0.0303393	0.0415864	0.0911168	0.126521	0.151427	0.1343	0.119045	0.0593073	0.0473638	0.153697	0.0149049
b	0.000275645	0.00260119	0.00685276	0.0110646	0.0113451	0.04041	0.0258594	0.0778421	0.0796771	0.125511	0.437252	0.0789836	0.0305902	0.0409421	0.0307934
á	0.000286131	0.00243017	0.00955451	0.0132189	0.00904396	0.0390484	0.0330176	0.0341844	0.0923068	0.254179	0.375356	0.0563748	0.0319578	0.0340243	0.0150171
r	0.000160652	0.000858437	0.00205249	0.00177337	0.00193264	0.0110074	0.0242765	0.0672262	0.153126	0.26042	0.291257	0.051755	0.031396	0.0540213	0.0487365
a	5.65132e-05	0.000155093	0.00104498	0.0039657	0.006801	0.0220739	0.0488517	0.183889	0.207135	0.167354	0.078992	0.0781742	0.0538646	0.0302172	0.117426
n	0.000218323	0.00104514	0.00230865	0.00292901	0.00648184	0.00569967	0.0329335	0.0440495	0.146739	0.229958	0.190552	0.218549	0.06299	0.00971503	0.0458314
d	0.00402263	0.00470201	0.00367214	0.00854593	0.0289521	0.00752482	0.042503	0.0896952	0.0553253	0.0616422	0.084945	0.21697	0.148094	0.0425017	0.200905
z	0.000340479	0.000465144	0.000326745	0.000825811	0.00529763	0.00200823	0.011563	0.034699	0.0320637	0.0550131	0.0711217	0.228486	0.17577	0.0852625	0.296757
ó	5.80493e-05	0.000121512	0.000177228	0.000623135	0.0050206	0.00288796	0.0131928	0.0483884	0.0581532	0.0393814	0.0238969	0.115978	0.191387	0.230418	0.270316
r	1.10503e-05	5.98755e-05	0.000221041	0.00151275	0.00818733	0.0265386	0.0503955	0.128336	0.0637146	0.0569596	0.0440406	0.0962718	0.0735999	0.27667	0.173482
o	0.000106689	0.000292204	0.000570478	0.00189595	0.00734979	0.0187121	0.0304612	0.0751355	0.130736	0.113183	0.0976705	0.128386	0.0984084	0.166552	0.13054
l	0.00108122	0.00162899	0.00185274	0.00184381	0.00434548	0.00374134	0.0164533	0.030995	0.0559868	0.120721	0.12032	0.1388	0.0734968	0.0267176	0.402016
a	0.000252598	0.000982234	0.00190317	0.00335471	0.00385264	0.00500511	0.0189164	0.0302413	0.0344973	0.0485406	0.169179	0.228875	0.180736	0.0706519	0.203012
n	0.000651299	0.000925605	0.00161202	0.00212181	0.00567776	0.00244199	0.014111	0.00875261	0.0125303	0.0145668	0.017603	0.12992	0.234875	0.449392	0.104819
g	0.00206952	0.00369264	0.00143553	0.00231952	0.0106288	0.00301281	0.0252593	0.03228	0.0308047	0.0356472	0.0322485	0.172727	0.281444	0.257706	0.108725
a	0.000684831	0.00230047	0.000473112	0.00128197	0.00542892	0.00170145	0.00544019	0.0169706	0.0116724	0.0220036	0.0147384	0.0679134	0.117812	0.588169	0.14341
a	1.25576e-05	3.61594e-05	4.26641e-05	0.000122637	0.000573242	0.000436149	0.00519047	0.0105619	0.0149081	0.0197178	0.0123231	0.0997895	0.175628	0.192547	0.468111
</S>	5.42067e-05	0.000203395	0.00066211	0.000899481	0.00193889	0.00189718	0.00647585	0.00532783	0.010662	0.0177785	0.0335521	0.143033	0.24317	0.0882318	0.446114
