 	je	lui	ai	appris	à	lire	et	à	écrire	en	mbochi	</S>
n	0.646588	0.199563	0.0500944	0.0347196	0.0103696	0.00603844	0.0150912	0.0103023	0.0152741	0.0112956	0.000478306	0.00018629
g	0.844208	0.0852524	0.0312443	0.00918905	0.00910116	0.00203533	0.00365801	0.00497441	0.00562469	0.0025117	0.00215682	4.46273e-05
á	0.842911	0.058094	0.0636812	0.0123828	0.00881056	0.000884808	0.0028926	0.00303643	0.00173384	0.000750936	0.00469675	0.000125197
í	0.0338166	0.211302	0.366353	0.104409	0.089022	0.00488582	0.0182732	0.0227834	0.00485478	0.0368866	0.0280567	0.0793568
b	0.00618595	0.0403094	0.210524	0.518018	0.0750229	0.0448186	0.0370549	0.0171846	0.0058596	0.0117534	0.00656812	0.0267001
h	0.000355456	0.021094	0.104923	0.672782	0.0866599	0.0256156	0.0318373	0.0145287	0.00785509	0.0150989	0.00920915	0.0100407
e	0.00228401	0.00668884	0.0785155	0.628466	0.221517	0.00580684	0.0214667	0.0172319	0.00486707	0.00799483	0.00313543	0.00202678
r	0.00241111	0.00610445	0.0607504	0.405677	0.262259	0.0703288	0.0736791	0.0408965	0.021332	0.0110302	0.00555655	0.0399744
i	0.0156245	0.137053	0.116567	0.270355	0.241286	0.100746	0.0213827	0.0272609	0.0194886	0.0146103	0.00614801	0.0294776
s	0.0194698	0.159034	0.129254	0.0654793	0.189564	0.140441	0.0960392	0.0572956	0.0228542	0.0173608	0.0446088	0.0586005
i	0.000543331	0.0029101	0.0271722	0.177109	0.182448	0.452842	0.0433666	0.0486317	0.0321559	0.00467679	0.00650302	0.0216414
w	0.00160316	0.0342653	0.086505	0.115601	0.268941	0.122069	0.13551	0.093488	0.0415188	0.028562	0.0242273	0.0477098
á	0.00257307	0.0156023	0.0862079	0.11139	0.194864	0.290307	0.0985483	0.0881617	0.0708121	0.0147709	0.00500178	0.0217617
i	0.00948829	0.0383298	0.0602508	0.0371303	0.187587	0.100358	0.196288	0.184129	0.0739486	0.0517521	0.0174879	0.0432513
k	0.000180249	0.000762289	0.00177549	0.00392258	0.0286471	0.113449	0.273608	0.324269	0.188267	0.0227461	0.014658	0.027715
y	2.33366e-06	1.41653e-05	0.000144643	0.00131492	0.00974421	0.103696	0.29121	0.142652	0.441807	0.00355457	0.00191727	0.00394186
έ	1.4441e-06	1.40037e-05	0.000137388	0.0026448	0.0132297	0.0533407	0.132582	0.213647	0.565633	0.00601005	0.00231504	0.0104461
m	2.50451e-06	0.000191118	0.00204259	0.014229	0.082726	0.0515929	0.254661	0.193779	0.300113	0.0279531	0.00252476	0.0701859
b	7.80231e-05	7.75277e-05	0.000149375	0.000297361	0.00573236	0.00545722	0.0293984	0.255198	0.546791	0.0728746	0.0132003	0.0707456
ε	0.000203452	0.000161572	0.000494472	0.00123403	0.00902779	0.00219813	0.0379604	0.0980915	0.768304	0.0309236	0.0138044	0.0375966
l	4.29379e-05	0.000528143	0.000486571	0.0011766	0.0129116	0.00221637	0.0437964	0.241731	0.280514	0.354508	0.014449	0.0476399
a	0.00063422	0.00147549	0.00425737	0.0042782	0.0202921	0.0374735	0.0964826	0.244305	0.185665	0.146756	0.0444041	0.213978
á	0.000894453	0.00753361	0.00607759	0.00294568	0.0129291	0.00945767	0.0220681	0.107462	0.227717	0.397255	0.141786	0.0638741
i	0.000764268	0.0033303	0.0103946	0.0228724	0.0277667	0.00780455	0.0353451	0.0817862	0.0819174	0.467159	0.128043	0.132816
t	6.54338e-06	0.000350907	0.0033117	0.0100183	0.0143905	0.00727516	0.0588072	0.110133	0.0726649	0.305909	0.250482	0.166651
á	5.36538e-05	0.000408118	0.00506645	0.0141598	0.0144542	0.0305963	0.0286401	0.102774	0.183475	0.136104	0.237603	0.246666
n	0.000220925	0.00273499	0.00499273	0.00921535	0.0176845	0.0130978	0.0185914	0.122473	0.177305	0.209036	0.217955	0.206693
g	0.000556317	0.000618002	0.000813544	0.000738988	0.00675966	0.0507331	0.0815702	0.134745	0.384728	0.10674	0.0789208	0.153077
a	0.0360192	0.0164401	0.0118383	0.00188269	0.00345992	0.013145	0.0169875	0.0395245	0.533356	0.0594379	0.209154	0.0587551
m	8.44229e-05	0.00136097	0.00210233	0.00182594	0.00848573	0.00208684	0.0112768	0.0385582	0.0309391	0.442926	0.131504	0.32885
é	0.000244696	0.00118431	0.000774783	0.000828614	0.00139674	3.21618e-05	0.000615953	0.0131367	0.00356564	0.372269	0.52666	0.0792916
m	2.07704e-05	0.000342812	0.000526136	0.000696116	0.00291139	0.000480297	0.00863569	0.0459069	0.0319987	0.39415	0.308765	0.205566
b	3.00293e-05	0.000210059	0.000362071	0.000682451	0.00135617	4.49774e-05	0.00123275	0.0140648	0.00775421	0.162395	0.74303	0.0688377
ω	8.27319e-06	2.57168e-05	8.88221e-05	0.000138934	0.000322235	3.40805e-05	0.00109814	0.0071759	0.0286592	0.0274202	0.900675	0.0343537
s	2.86515e-06	6.69425e-05	9.51501e-05	0.000132549	0.000472264	4.37102e-05	0.00250695	0.0153415	0.0416001	0.0521923	0.754625	0.132921
í	8.08435e-05	6.87905e-05	0.000123013	0.000355999	0.000592474	0.0011658	0.00607306	0.0432128	0.223992	0.0698098	0.220491	0.434034
</S>	0.000405702	0.0017514	0.00187618	0.00196193	0.00728935	0.00129087	0.00508698	0.0169879	0.0209087	0.264637	0.0805049	0.597299
