 	après	ma	mort	que	mon	âme	se	repose	dans	la	présence	de	dieu	</S>
w	0.714559	0.18151	0.0374672	0.028239	0.0212488	0.00344756	0.0103783	0.000587245	0.00112898	0.000639768	0.000390132	0.00027133	0.00010407	2.86801e-05
á	0.244604	0.680087	0.0370242	0.0135754	0.0151532	0.00145834	0.00398194	0.000487273	0.00108472	0.000522235	0.000904648	0.000910961	0.000185319	2.03134e-05
á	0.23799	0.266026	0.194082	0.0890879	0.0543345	0.0140351	0.0158345	0.083246	0.0115761	0.00789737	0.0066901	0.00554813	0.00149619	0.0121562
n	0.149216	0.486813	0.130824	0.0355951	0.0292097	0.0317305	0.0199927	0.00644097	0.0151819	0.0091824	0.0153127	0.00590718	0.00107087	0.0635226
g	0.278647	0.558632	0.026668	0.00609695	0.0494268	0.00755387	0.00443257	0.00129292	0.00733991	0.00404511	0.00516515	0.00751756	0.0171292	0.0260533
á	0.597279	0.34394	0.0180721	0.00197735	0.014994	0.00638676	0.00257572	0.00104158	0.0014694	0.000940065	0.0006564	0.000774958	0.00854619	0.00134669
i	0.0319055	0.184627	0.284994	0.232321	0.102423	0.0120722	0.0245298	0.0114641	0.0240666	0.0175431	0.0148522	0.018186	0.00213079	0.0388848
w	0.0384922	0.114429	0.492496	0.163583	0.040067	0.0463481	0.0340186	0.0240391	0.00886706	0.00590401	0.00592026	0.0022166	0.00085029	0.022769
é	0.00662939	0.0873536	0.353422	0.288835	0.0607205	0.0250608	0.0378818	0.0522398	0.0258589	0.0171101	0.0139142	0.00817459	0.00234978	0.0204494
é	0.0116959	0.0587077	0.405416	0.365404	0.0411231	0.0258969	0.00892204	0.0197652	0.0100121	0.00613199	0.00465843	0.00391232	0.00152989	0.0368247
o	0.00278561	0.0170256	0.108106	0.339684	0.192782	0.225667	0.042915	0.0103559	0.0076024	0.00352599	0.0049485	0.00214397	0.00036528	0.0420914
l	0.00296512	0.0182601	0.0652197	0.0566347	0.117559	0.644897	0.0345884	0.0372155	0.00726666	0.00327481	0.00496111	0.00084822	0.00103491	0.00527486
í	0.00102868	0.0029278	0.0201523	0.039304	0.0335171	0.78518	0.0428737	0.0135405	0.00932345	0.00473163	0.00614333	0.00101002	0.00100592	0.0392613
m	0.00147836	0.0171802	0.0657149	0.165339	0.105388	0.483028	0.0582872	0.019984	0.0170776	0.0106826	0.0100068	0.00399217	0.00292416	0.0389167
i	0.0020845	0.0266711	0.0711389	0.0640348	0.125144	0.303058	0.121947	0.136663	0.078454	0.0253231	0.0162728	0.0134012	0.00570908	0.0100993
m	0.000894524	0.00698011	0.0440613	0.226192	0.164407	0.150262	0.211959	0.0652959	0.0483756	0.0154634	0.0124616	0.00928061	0.00165247	0.0427149
á	0.000339596	0.00658367	0.0303916	0.0369673	0.0281258	0.07385	0.0577781	0.449401	0.130567	0.0444134	0.0557876	0.0465837	0.0153677	0.0238436
n	0.00416437	0.0134803	0.0131003	0.0344612	0.22051	0.134536	0.268538	0.17691	0.0561792	0.0280657	0.0197681	0.00929127	0.00987543	0.0111208
g	0.00641433	0.0363772	0.00932144	0.0082072	0.493336	0.175055	0.0980172	0.00776439	0.0356488	0.0153674	0.0124489	0.0167688	0.0693081	0.0159658
á	0.00984208	0.0350397	0.00772616	0.00527813	0.388597	0.252219	0.0815164	0.0502707	0.0339989	0.0145236	0.00648457	0.00794036	0.102857	0.00370595
