 	le	malade	agonise	</S>
ω	0.589953	0.407844	0.00181986	0.000383296
k	0.149934	0.777336	0.0292931	0.0434371
ω	0.0455844	0.88254	0.0380837	0.0337919
n	0.0190661	0.950018	0.0291014	0.00181406
í	0.337022	0.644442	0.0143101	0.00422587
m	0.508684	0.140311	0.232299	0.118706
ó	0.811626	0.0285669	0.058592	0.101215
o	0.871214	0.0438766	0.0725908	0.0123182
b	0.0955463	0.0650611	0.684374	0.155019
v	0.0791148	0.155885	0.577616	0.187384
u	0.15354	0.220886	0.550312	0.075262
n	0.188541	0.0250746	0.212695	0.573689
á	0.116145	0.0294753	0.520083	0.334296
l	0.0743741	0.0137938	0.497023	0.414809
a	0.0693903	0.0223019	0.310312	0.597996
l	0.0779295	0.0372375	0.55756	0.327273
e	0.0261386	0.0262201	0.377574	0.570067
k	0.00903217	0.0252564	0.541977	0.423734
ú	0.0497486	0.139799	0.29193	0.518522
</S>	0.0462936	0.0482168	0.27388	0.63161
