 	avec	tout	son	courage	il	est	resté	pauvre	</S>
l	0.464347	0.34347	0.0657461	0.0921565	0.0181293	0.0035888	0.0120897	3.73903e-05	0.000435
a	0.335988	0.281619	0.101479	0.211426	0.024401	0.0305011	0.00663068	0.0022554	0.00569962
ω	0.246628	0.355788	0.100827	0.217517	0.0341707	0.0116221	0.00153295	0.00691846	0.0249952
n	0.0777673	0.361413	0.177913	0.146673	0.02987	0.0330569	0.00627664	0.0392005	0.12783
g	0.0880542	0.131893	0.0870153	0.505779	0.0147635	0.0265185	0.0092521	0.022383	0.114341
á	0.0466155	0.0546941	0.068482	0.773332	0.00518458	0.00500326	0.00239074	0.00710188	0.037196
n	0.0483829	0.164804	0.268543	0.302391	0.0414622	0.0351294	0.0122756	0.00492624	0.122085
d	0.234714	0.252205	0.15561	0.17802	0.0365589	0.0469904	0.0166064	0.00315043	0.0761449
z	0.103887	0.13904	0.183308	0.329795	0.108298	0.0639262	0.0108012	0.00727577	0.0536693
i	0.107391	0.143554	0.0943795	0.545143	0.0154887	0.0190911	0.00528487	0.00434014	0.0653272
m	0.0559072	0.143693	0.304175	0.0738896	0.209452	0.131842	0.0151915	0.00286805	0.0629814
á	0.107394	0.0799823	0.146433	0.437269	0.198373	0.0220072	0.00291729	0.000175258	0.00544877
w	0.0575534	0.0676425	0.301338	0.181285	0.247495	0.0675169	0.0320359	0.0143379	0.0307949
a	0.0211112	0.087682	0.220309	0.11352	0.200307	0.191706	0.0686489	0.00773622	0.0889796
ώ	0.010953	0.0358771	0.254061	0.115545	0.322324	0.147626	0.0474466	0.00847663	0.0576904
t	0.00440857	0.0191407	0.0597621	0.0201962	0.0358123	0.205376	0.0513976	0.551835	0.052071
s	0.000809525	0.0146214	0.0463731	0.0196373	0.0217167	0.21694	0.0974421	0.405624	0.176836
ω	0.00365768	0.03709	0.166743	0.0613781	0.0621843	0.277476	0.208434	0.106721	0.0763153
a	0.0012201	0.00944943	0.0906156	0.0394245	0.181207	0.22876	0.228085	0.110942	0.110295
b	0.00551874	0.00706578	0.0438	0.00676839	0.0888226	0.190722	0.296763	0.146846	0.213693
v	0.0133198	0.00965539	0.0261403	0.00827061	0.0292608	0.169496	0.645746	0.0213581	0.0767532
u	0.00436576	0.00295864	0.0116714	0.0113248	0.0149946	0.132835	0.793422	0.00878726	0.0196409
ú	0.00279258	0.00212542	0.0402412	0.00820859	0.0114373	0.131886	0.1098	0.0354544	0.658054
l	0.007888	0.0105988	0.0563809	0.0239184	0.0667786	0.14609	0.0814047	0.0783336	0.528607
a	0.00655926	0.00822671	0.031217	0.0108987	0.012109	0.124208	0.0706434	0.10982	0.626318
o	0.0131665	0.0103093	0.0772125	0.0158954	0.0159989	0.0359396	0.112702	0.307004	0.411772
y	0.000960245	0.00576509	0.0203935	0.00239871	0.000705311	0.00857439	0.029859	0.750921	0.180422
o	0.00016355	0.000860804	0.00683583	0.00155017	0.00027269	0.00685618	0.00687509	0.863175	0.113411
ó	0.000360601	0.000759841	0.00825735	0.00135114	0.000319468	0.00539592	0.00475832	0.419868	0.558929
</S>	0.0020179	0.00292286	0.0141094	0.00209918	0.00464431	0.0185193	0.0419823	0.117764	0.795941
