 	la	journée	leur	village	est	désert	</S>
p	0.804701	0.0884867	0.0198006	0.0731789	0.0131107	0.000581364	0.000140834
o	0.064094	0.438603	0.00111067	0.473499	0.00644023	0.0157988	0.00045433
o	0.0673994	0.137645	0.0107092	0.619845	0.0190597	0.121008	0.0243339
y	0.655507	0.214534	0.102851	0.00387211	0.0115143	0.000526676	0.0111944
á	0.356381	0.293317	0.126358	0.0719003	0.0388624	0.0299764	0.0832049
b	0.243185	0.0340167	0.63694	0.0472304	0.013373	0.00765004	0.0176049
á	0.269728	0.0215665	0.695271	0.0101373	0.00253031	6.82622e-05	0.000698783
a	0.0997607	0.00497709	0.743907	0.130198	0.014448	0.00171961	0.00499
l	0.0854083	0.00692211	0.676934	0.106051	0.0949708	0.00451821	0.025195
a	0.170998	0.0266772	0.289952	0.212283	0.130699	0.00346805	0.165922
m	0.105202	0.00697735	0.499747	0.185129	0.142426	0.0211809	0.039337
w	0.140247	0.00793652	0.206392	0.169178	0.255835	0.090707	0.129704
é	0.0177912	0.00827114	0.095938	0.547939	0.152767	0.078872	0.0984212
s	0.689268	0.00653013	0.166404	0.0123604	0.0698996	0.00811747	0.0474199
é	0.0176167	0.0131987	0.0548335	0.0601857	0.112602	0.0968489	0.644714
é	0.0224541	0.00191389	0.254393	0.013468	0.479116	0.120418	0.108236
d	0.0472232	0.0209833	0.093499	0.0132851	0.410027	0.152871	0.262111
i	0.00495712	0.00115223	0.00621283	0.000939749	0.0628362	0.0611698	0.862732
p	0.0175387	0.00124969	0.0438728	0.00212963	0.225376	0.119598	0.590235
ó	0.00173812	0.00327773	0.00874202	0.0240665	0.0401831	0.833601	0.0883914
p	0.000101204	0.00059885	0.00198472	0.00554541	0.0405667	0.847691	0.103513
ó	0.0010681	0.00134153	0.00526277	0.0242615	0.103477	0.661	0.203588
</S>	0.000767417	0.00205228	0.0184879	0.00899188	0.119794	0.523214	0.326692
