 	mes	nasses	sont	intactes	</S>
i	0.317337	0.658137	0.0191541	0.00426587	0.00110611
k	0.016181	0.976399	0.00393346	0.00181359	0.00167319
ω	0.00396523	0.992153	0.00191561	0.000406377	0.00156015
n	0.00536392	0.987671	0.00377563	0.0017669	0.0014228
y	0.215899	0.697125	0.0187178	0.0120197	0.0562389
i	0.076981	0.351348	0.0378267	0.0200108	0.513833
á	0.470751	0.0664712	0.265655	0.0241132	0.173009
n	0.636236	0.0348974	0.24511	0.0207142	0.063043
g	0.773987	0.0125167	0.123621	0.0387253	0.0511494
á	0.637045	0.08299	0.186384	0.0631471	0.0304337
í	0.184165	0.0213746	0.59429	0.101901	0.0982693
s	0.11967	0.0340267	0.537088	0.0474045	0.261811
á	0.0439921	0.00142149	0.242034	0.0397797	0.672773
a	0.134606	0.00790635	0.187037	0.26267	0.407781
o	0.0186575	0.00456535	0.109463	0.46579	0.401525
m	0.00962605	0.0222443	0.117369	0.590302	0.260459
í	0.00752507	0.00390978	0.086481	0.656766	0.245318
a	0.00717191	0.00157522	0.105877	0.188023	0.697353
m	0.0292165	0.00482469	0.0806166	0.422257	0.463085
έ	0.00305007	0.000886338	0.0265038	0.879465	0.0900953
n	0.00333634	0.00400108	0.15858	0.630939	0.203144
έ	0.00830866	0.00766214	0.043728	0.425132	0.515169
</S>	0.00970273	0.00183551	0.141853	0.250033	0.596576
