 	cet	homme	entend	le	vrombissement	d'	un	camion	</S>
m	0.738108	0.134245	0.0219151	0.0205738	0.0180235	0.0161836	0.0495526	0.00129831	9.97908e-05
o	0.846228	0.0272436	0.0609612	0.0339876	0.00211181	0.00681977	0.00842405	0.00276125	0.0114625
r	0.453707	0.391099	0.026002	0.0132571	0.0117073	0.0021471	0.00196181	0.0321771	0.067941
o	0.872246	0.0760678	0.00787543	0.0111581	0.00306317	0.00223771	0.00118647	0.00939817	0.0167666
w	0.843709	0.0965212	0.025451	0.00553165	0.00105769	0.00264234	0.00277459	0.00103792	0.021275
ó	0.273266	0.0595258	0.153738	0.0497366	0.0374377	0.0718467	0.0616892	0.0331409	0.259618
l	0.111499	0.0248785	0.264635	0.0702945	0.0225656	0.0483398	0.060732	0.00841859	0.388637
á	0.0980123	0.0280245	0.143239	0.0887889	0.0485442	0.105327	0.12815	0.0118452	0.348068
a	0.459632	0.0280388	0.197189	0.202696	0.0478868	0.0186003	0.0143755	0.0059076	0.0256735
w	0.0122054	0.0738892	0.414073	0.229842	0.157854	0.0140928	0.0159168	0.023305	0.0588212
ó	0.0060955	0.156862	0.0974903	0.0922363	0.319717	0.0174529	0.0101047	0.228638	0.0714026
ó	0.00459957	0.0206681	0.21428	0.225188	0.388471	0.0189001	0.0103125	0.0628652	0.0547152
n	0.03914	0.00152493	0.175555	0.418276	0.132228	0.145357	0.0656262	0.00791669	0.0143748
y	0.0146799	0.00639898	0.161952	0.346259	0.302408	0.0719588	0.0298639	0.0306167	0.0358635
á	0.0136708	0.00169997	0.144888	0.355654	0.203497	0.0860645	0.019576	0.0871174	0.0878325
l	0.00357692	0.000662125	0.051232	0.171997	0.245581	0.360537	0.0770178	0.0116806	0.0777152
o	0.00144774	0.00311639	0.0581651	0.239362	0.379264	0.18301	0.0365748	0.0225897	0.0764697
b	0.00577788	0.00165246	0.0155438	0.0579374	0.268673	0.364836	0.0795807	0.12357	0.0824283
h	0.00292572	0.00926152	0.0135818	0.0308493	0.322834	0.253646	0.15143	0.121938	0.0935343
o	0.00184189	0.00577749	0.00510145	0.0178593	0.408417	0.173039	0.0565386	0.283039	0.0483857
l	0.00103498	0.000531694	0.00368912	0.0126461	0.135291	0.45231	0.26531	0.0970535	0.0321343
ó	0.00390766	0.00442398	0.0374094	0.0539977	0.0964027	0.235594	0.182226	0.22222	0.163819
t	0.00181331	0.00128199	0.0111333	0.00989567	0.0146248	0.162079	0.182562	0.238309	0.378302
ω	0.00126183	0.00241353	0.0106631	0.0163531	0.0456659	0.191483	0.244908	0.364366	0.122886
m	0.000215447	0.00120016	0.00240959	0.00714445	0.0396843	0.0729047	0.0988749	0.679135	0.0984318
b	0.0425049	0.00387904	0.00197784	0.00655414	0.0219549	0.14724	0.116357	0.437407	0.222125
í	0.038717	0.0178697	0.0208086	0.0194333	0.0315212	0.26932	0.115976	0.301594	0.184761
l	0.00466413	0.00146531	0.00477827	0.00258794	0.0105313	0.101724	0.0685104	0.0400384	0.765701
i	0.0203501	0.0212461	0.0404118	0.0403609	0.0696473	0.118389	0.153416	0.210643	0.325537
m	0.00555775	0.000376742	0.0121676	0.011225	0.00474967	0.0823278	0.36721	0.0107267	0.505659
ó	0.0327508	0.00343825	0.0135345	0.0260013	0.00290006	0.0779657	0.637616	0.01559	0.190204
ó	0.00169742	0.00124348	0.00599655	0.00837545	0.0106503	0.058072	0.312018	0.0419025	0.560044
f	0.001901	0.00754761	0.0287836	0.0304366	0.0213048	0.0463053	0.521955	0.0554007	0.286365
ú	0.000152699	0.0148856	0.0167166	0.0169798	0.0979109	0.0941506	0.330831	0.125097	0.303277
n	0.00883856	0.0011697	0.00607167	0.0263031	0.0307816	0.0504691	0.347098	0.300424	0.228845
g	0.00810292	0.00103367	0.0120548	0.0314447	0.020787	0.13538	0.394254	0.259298	0.137645
a	0.000885237	0.000994053	0.00912716	0.0242572	0.0401812	0.163889	0.221176	0.363425	0.176065
</S>	0.000504305	0.000103665	0.0075857	0.00486473	0.00146367	0.0436014	0.228068	0.00435803	0.70945
