 	elle	se	prépara	deux	jours	en	avance	</S>
w	0.977127	0.0158866	0.00239507	0.00219059	0.000208066	0.000779579	0.00138171	3.16618e-05
a	0.935823	0.0533523	0.00240671	0.00421408	4.92653e-05	0.000850174	0.00327744	2.72513e-05
a	0.73416	0.216363	0.015757	0.0153636	0.00139308	0.00848854	0.0020469	0.00642773
b	0.351715	0.516382	0.0243637	0.0333465	0.0221576	0.0245914	0.0045594	0.0228837
á	0.160146	0.728746	0.0162463	0.0333989	0.0232049	0.00909587	0.00288104	0.0262806
á	0.0860551	0.393528	0.0351374	0.0395178	0.0235841	0.0524309	0.00859979	0.361147
n	0.174088	0.537912	0.159331	0.0732301	0.0117364	0.0178293	0.00690233	0.0189707
d	0.197484	0.593456	0.13099	0.0398879	0.00146106	0.00462174	0.000694731	0.0314041
í	0.157784	0.544318	0.25278	0.0156	0.00150782	0.00251473	0.00177805	0.0237177
o	0.128338	0.178725	0.436876	0.1593	0.00359918	0.0162841	0.00588979	0.0709889
l	0.0181997	0.13885	0.75455	0.00671136	0.0564468	0.00876733	0.0105452	0.00592908
o	0.00679534	0.184842	0.66151	0.00938346	0.0585005	0.0148032	0.00813631	0.0560294
n	0.00528126	0.143899	0.597601	0.00399807	0.0617884	0.0133538	0.0151113	0.158967
d	0.00382994	0.081331	0.594891	0.00718314	0.0611682	0.0480078	0.0110659	0.192523
á	0.00952011	0.0782945	0.596366	0.00542435	0.0269744	0.0104132	0.00649946	0.266508
n	0.013877	0.059777	0.499502	0.248139	0.0742792	0.0454591	0.0142198	0.0447465
d	0.00998135	0.0229342	0.622637	0.217168	0.0118833	0.00674712	0.00245286	0.106197
z	0.0019862	0.00916118	0.460278	0.186962	0.136403	0.0440357	0.00645422	0.15472
ó	0.0018873	0.029517	0.650426	0.0246983	0.0588744	0.0345995	0.044314	0.155684
r	0.00572197	0.0355629	0.287939	0.0469792	0.0637707	0.0825876	0.0436893	0.43375
o	0.00178001	0.0093332	0.500316	0.0862669	0.117483	0.0521469	0.0263986	0.206275
i	0.0038391	0.0127517	0.125732	0.388569	0.132914	0.142971	0.00899684	0.184226
k	0.00207735	0.00595525	0.0438235	0.114229	0.523623	0.146947	0.0189951	0.14435
ω	0.000100767	0.00041368	0.00986533	0.00280692	0.958603	0.0108335	0.00449232	0.0128844
ω	0.00019237	0.00117448	0.0371634	0.0154106	0.84731	0.0423824	0.00617739	0.0501894
í	0.000959916	0.00273275	0.0163417	0.138444	0.0487473	0.484973	0.0953132	0.212488
b	0.00583065	0.0263712	0.0150704	0.0718159	0.0536523	0.588909	0.0916502	0.1467
a	0.00208117	0.0167369	0.0157049	0.108049	0.168288	0.388805	0.193278	0.107058
a	0.000549002	0.00268438	0.0100154	0.0334402	0.142216	0.320566	0.141464	0.349065
m	0.00124798	0.00279585	0.00741796	0.0946406	0.00991374	0.385416	0.186965	0.311602
ó	0.000542736	0.00825298	0.00952522	0.0357944	0.00543355	0.589094	0.122884	0.228474
b	0.000489006	0.00366311	0.022494	0.218048	0.0287977	0.282099	0.26787	0.17654
o	0.00118333	0.00371037	0.0118616	0.0635349	0.118743	0.162771	0.589824	0.048372
s	0.000414316	0.00187886	0.00538011	0.0116944	0.113605	0.0656485	0.729163	0.0722164
ó	0.000177897	0.000664662	0.0086795	0.00473681	0.0334976	0.169655	0.509016	0.273573
</S>	0.00130545	0.00234925	0.00738128	0.103461	0.00774766	0.22343	0.0344906	0.619835
