 	voilà	la	marmite	que	tu	cherchais	</S>
n	0.640591	0.258907	0.0885728	0.00870865	0.00256095	0.00025231	0.00040749
z	0.200869	0.481671	0.234022	0.0163786	0.0535012	0.0116607	0.00189713
ú	0.0790113	0.222976	0.460793	0.0143636	0.105996	0.0799747	0.0368854
n	0.0150158	0.110481	0.77106	0.00253498	0.00188033	0.079686	0.0193413
g	0.230844	0.272542	0.332424	0.0232229	0.0190222	0.0212928	0.100651
u	0.185221	0.128248	0.64023	0.00485006	0.00440365	0.0118251	0.0252218
y	0.122265	0.454172	0.245943	0.0902935	0.0137473	0.025923	0.047656
é	0.0944746	0.404569	0.146431	0.293952	0.0207455	0.0132947	0.0265333
é	0.143631	0.200685	0.227898	0.266517	0.093787	0.0496824	0.0177989
y	0.124034	0.304622	0.0745888	0.0241255	0.0433232	0.290135	0.139171
é	0.0199452	0.137162	0.0416285	0.0294836	0.0162794	0.513625	0.241876
n	0.0152454	0.0594412	0.0460389	0.0296029	0.00964493	0.384699	0.455328
g	0.00714819	0.101863	0.0818797	0.163569	0.222666	0.317861	0.105012
i	0.0110625	0.114987	0.32978	0.126841	0.122704	0.259581	0.0350438
n	0.0186142	0.0477246	0.0433555	0.481253	0.185131	0.0521781	0.171744
ω	0.00519933	0.0366537	0.0757844	0.14281	0.256977	0.240688	0.241888
é	0.00339586	0.0381517	0.037101	0.17486	0.0786873	0.187362	0.480442
e	0.033935	0.10674	0.0230298	0.0282052	0.048054	0.545293	0.214743
y	0.0111445	0.0665253	0.0150898	0.01657	0.0272725	0.320064	0.543334
í	0.00241911	0.0136527	0.00431662	0.0117448	0.0489724	0.194785	0.72411
</S>	0.00034174	0.00286717	0.00342786	0.0723797	0.0899933	0.0431044	0.787886
