 	aujourd'	hui	je	me	suis	réveillé	en	retard	</S>
n	0.560926	0.320037	0.0813956	0.0161865	0.0116362	0.00299341	0.00639094	0.00013275	0.000301302
g	0.377159	0.0606387	0.449604	0.0864407	0.00762501	0.0159302	0.00197271	0.000352164	0.000277399
á	0.0428858	0.118166	0.674437	0.132244	0.0090085	0.0202292	0.00167083	0.00114726	0.000211025
p	0.207427	0.372742	0.220945	0.0630401	0.0336709	0.0131141	0.00922356	0.00428972	0.0755475
á	0.0567616	0.831334	0.00848706	0.00612176	0.0313599	0.00921114	0.0087395	0.0217944	0.0261903
b	0.0809188	0.809376	0.0189844	0.0180766	0.0243136	0.00496165	0.00455254	0.0108464	0.0279701
h	0.292836	0.524268	0.043313	0.00842956	0.0279229	0.00410021	0.0111707	0.00488716	0.0830724
a	0.203892	0.755235	0.0136417	0.0139896	0.00676018	0.000506083	0.000343423	0.000477196	0.0051544
í	0.150932	0.0209238	0.129978	0.118028	0.357338	0.108063	0.0891236	0.00359456	0.0220185
s	0.0125687	0.00288318	0.0342126	0.0293791	0.432269	0.351253	0.102851	0.0181657	0.0164176
é	0.00205597	0.000744936	0.0040711	0.016187	0.159074	0.661588	0.083381	0.0502088	0.0226888
i	0.00680153	0.00127026	0.0130083	0.0299504	0.114237	0.564988	0.103625	0.0890308	0.0770882
l	0.00463055	0.00115229	0.0503316	0.08704	0.116908	0.361398	0.300502	0.0411445	0.0368924
o	0.00545104	0.00348599	0.00668055	0.0217876	0.172167	0.366247	0.146621	0.146994	0.130567
k	0.0114533	0.000542097	0.00725812	0.0323749	0.0882184	0.239349	0.270939	0.249776	0.100089
á	0.0242163	0.0268393	0.00346304	0.00756386	0.130934	0.118648	0.150579	0.393021	0.144736
n	0.00516561	0.0455704	0.00234444	0.00938258	0.0802128	0.0548589	0.0676203	0.616422	0.118423
g	0.00775806	0.00683437	0.00569915	0.00824099	0.0614559	0.274675	0.203102	0.305122	0.127112
a	0.0104575	0.00248395	0.1089	0.171545	0.0842256	0.242456	0.0656094	0.081819	0.232505
</S>	0.0108643	0.00063241	0.00374929	0.00817928	0.0318252	0.170731	0.330385	0.0795578	0.364076
