 	elle	changea	d'	avis	et	rentra	chez	son	mari	</S>
w	0.905965	0.0349702	0.0360573	0.00426357	0.00541215	0.00644969	0.00208416	0.00470903	5.23958e-05	3.66163e-05
a	0.924295	0.00849046	0.0265797	0.00128066	0.00865686	0.00298721	0.0139479	0.0132463	0.000512237	4.1615e-06
a	0.170594	0.491661	0.160332	0.0187098	0.0668247	0.026901	0.0143137	0.0217799	0.017531	0.0113526
b	0.0784375	0.510195	0.149362	0.0381223	0.0445546	0.0192079	0.0272512	0.0347071	0.0182231	0.0799396
v	0.0777534	0.718184	0.117848	0.00828964	0.0177202	0.00426744	0.031912	0.0142912	0.0012274	0.00850642
ú	0.0704786	0.42874	0.30848	0.0197157	0.0628624	0.0156921	0.0620952	0.0182349	0.00148243	0.0122191
ú	0.0392074	0.487055	0.312628	0.0733425	0.0161163	0.00335639	0.0304182	0.00257113	0.00489845	0.0304064
s	0.0154616	0.22985	0.592312	0.0722572	0.0262515	0.0192145	0.0106805	0.0134032	0.00165392	0.0189157
ú	0.00775294	0.282036	0.363671	0.248947	0.020766	0.026296	0.0101875	0.016125	0.00178118	0.0224376
o	0.00643317	0.0381378	0.35075	0.458556	0.0444277	0.0134472	0.034238	0.00611625	0.012065	0.035828
t	0.000367861	0.0890268	0.188867	0.624744	0.0566762	0.00492752	0.0127959	0.00140615	0.0150234	0.00616488
é	0.00024112	0.0257423	0.079489	0.835868	0.0403966	0.00519337	0.00346476	0.000632269	0.0047489	0.00422398
m	0.000501712	0.0562268	0.125777	0.636941	0.0812927	0.0106557	0.0137686	0.00351097	0.0133784	0.057947
a	0.000387057	0.0110512	0.0523842	0.737781	0.136815	0.0176216	0.0110592	0.00456068	0.00127993	0.0270609
n	0.0108261	0.0468015	0.12355	0.146244	0.403024	0.0290459	0.0422026	0.0303048	0.00477558	0.163225
g	0.0230598	0.0358826	0.0746456	0.0699619	0.361019	0.173233	0.0415635	0.048926	0.0179799	0.153729
ω	0.00323434	0.00704301	0.0520712	0.107174	0.505984	0.197873	0.0322471	0.019231	0.0251648	0.0499778
n	0.00265026	0.00294058	0.0330714	0.0447573	0.338079	0.447554	0.0297186	0.0206005	0.0144215	0.0662066
g	0.00361488	0.0113684	0.0253442	0.0765605	0.474878	0.146172	0.0153761	0.0259597	0.0102131	0.210513
ω	0.00163633	0.000921299	0.0154609	0.0848814	0.46723	0.344292	0.0237841	0.01697	0.00245196	0.0423715
a	0.00228883	0.00599468	0.0202773	0.0253222	0.499593	0.315706	0.0427831	0.0453189	0.00824364	0.034472
b	0.0042583	0.0490133	0.0561092	0.0280268	0.196566	0.351913	0.128428	0.123621	0.0319421	0.0301223
v	0.000789521	0.0375688	0.0384959	0.005722	0.110661	0.0696325	0.526606	0.190997	0.00451689	0.0150105
ú	0.00118288	0.00623662	0.00782245	0.00399465	0.0594674	0.0863879	0.71785	0.0828967	0.00327853	0.0308829
r	0.000324048	0.00381877	0.00700975	0.0191495	0.0446195	0.213306	0.485868	0.194868	0.0044764	0.02656
ú	0.000792667	0.00141859	0.0125634	0.0655552	0.139621	0.349928	0.221857	0.137125	0.00517604	0.0659626
n	0.000306745	0.000747744	0.00331843	0.00254306	0.0743606	0.306858	0.0634957	0.477605	0.012189	0.0585759
d	0.00163097	0.00141442	0.00484764	0.00773493	0.0446816	0.752883	0.058636	0.054655	0.00487871	0.0686381
é	0.000178551	0.000275242	0.00102958	0.00271466	0.0229007	0.791627	0.0426778	0.064903	0.015976	0.0577179
e	0.000116398	0.000293621	0.0016458	0.00576967	0.104104	0.576173	0.0158678	0.0513926	0.12258	0.122057
y	0.000694193	0.00170322	0.0035438	0.00294091	0.0462745	0.192307	0.0536744	0.525905	0.0334681	0.139489
á	0.00543608	0.00944395	0.0360095	0.0289227	0.0416276	0.138965	0.0367838	0.530091	0.111066	0.0616546
o	0.000378253	0.00182036	0.00776003	0.00218042	0.00759196	0.123672	0.0331283	0.697688	0.112325	0.0134557
l	6.58179e-05	0.00610528	0.00752221	0.00356327	0.0147659	0.0365916	0.0975706	0.137425	0.581502	0.114888
ó	1.59405e-05	0.00457173	0.0039096	0.00174109	0.00777989	0.013781	0.0267561	0.023503	0.890741	0.0272003
m	1.78469e-05	0.000552852	0.000735801	0.000488542	0.00139628	0.00574066	0.00486372	0.00817882	0.955421	0.0226043
i	4.91913e-06	0.00064658	0.00111618	0.00444308	0.00387246	0.0131331	0.034438	0.0281458	0.631544	0.282655
</S>	0.000744329	0.000784922	0.004358	0.010785	0.0148061	0.0988233	0.0209621	0.138126	0.0418716	0.668739
