 	nous	désherbons	notre	parcelle	</S>
b	0.978062	0.00613955	0.0130421	0.00255093	0.000205742
í	0.974057	0.00560688	0.0177812	0.00211587	0.000438804
s	0.987071	0.000958182	0.00867106	0.00115094	0.00214889
í	0.968686	0.00132741	0.0239944	0.00242589	0.00356594
l	0.194246	0.147579	0.0434943	0.0388031	0.575878
é	0.0835223	0.239377	0.144501	0.0317055	0.500894
e	0.0844365	0.774226	0.087884	0.0222722	0.0311811
w	0.00501339	0.977232	0.0062821	0.00426431	0.00720853
o	0.00889003	0.966544	0.0119577	0.00332091	0.00928772
á	0.00810711	0.92758	0.00897327	0.0189099	0.03643
l	0.00304066	0.0597632	0.762718	0.12606	0.0484185
e	0.00505064	0.119839	0.439979	0.214514	0.220617
p	0.0026057	0.0313952	0.189838	0.634073	0.142089
á	0.00124776	0.0619171	0.12701	0.719636	0.0901888
n	0.00131778	0.0686322	0.362058	0.23461	0.333382
g	0.00121151	0.0637349	0.463033	0.35815	0.11387
e	0.116889	0.0332283	0.210677	0.588335	0.0508707
l	0.000319567	0.00536239	0.172653	0.298815	0.522851
á	0.00343356	0.0109376	0.0796326	0.413729	0.492267
b	0.0100448	0.00385958	0.298461	0.437637	0.249997
i	0.0101338	0.00177479	0.745956	0.194395	0.047741
s	0.00598808	0.00283508	0.499132	0.0961624	0.395883
i	0.00241206	0.00409313	0.220743	0.277778	0.494974
</S>	0.000218144	0.00507004	0.117409	0.122371	0.754932
