 	les	hérissons	et	les	oiseaux	se	nourrissent	des	arachides	tardives	</S>
a	0.701797	0.238028	0.0234707	0.00611054	0.0137085	0.0150095	0.000533415	0.00070921	0.000284232	0.00032914	2.01736e-05
m	0.233966	0.707742	0.0162069	0.00130428	0.0175714	0.00329876	0.016137	0.00101926	0.00139696	0.000621565	0.000736489
b	0.0197157	0.919936	0.0187576	0.00413398	0.00164551	0.00375374	0.00742958	0.0022765	0.000666165	0.000200805	0.0214841
é	0.00358391	0.991052	0.000967287	0.000561478	0.000950079	0.000177596	0.000344246	0.000717757	0.000160211	0.000241472	0.001244
b	0.0178151	0.979703	0.00108691	0.000398447	4.47631e-05	0.000178071	0.000116189	0.000132933	1.41941e-05	6.89431e-05	0.000441013
h	0.176393	0.687957	0.0770976	0.0130436	0.00179976	0.00826551	0.00315936	0.00150023	0.000965626	0.00709535	0.0227227
á	0.219282	0.553268	0.113848	0.018618	0.00186089	0.00603137	0.00667892	0.00438369	0.00310775	0.004383	0.068539
l	0.145266	0.0238162	0.497866	0.279101	0.00897161	0.0217828	0.00461761	0.00365846	0.00115909	0.00172534	0.0120356
á	0.0851788	0.00155404	0.273189	0.161531	0.230071	0.0399731	0.0153782	0.032401	0.00317864	0.0105647	0.146981
n	0.198912	0.00444532	0.223407	0.401575	0.104525	0.0384356	0.00650236	0.00783465	0.00329906	0.00183482	0.00922872
y	0.00439138	0.000261207	0.0218442	0.0232084	0.938979	0.00296446	0.000363101	0.00404779	0.00111124	0.000325936	0.00250322
ω	0.00135052	0.000661718	0.0183848	0.0291534	0.891429	0.00437404	0.0032368	0.0215144	0.0245173	0.00101561	0.00436216
s	0.00511057	0.00404063	0.046616	0.0289667	0.809533	0.0392238	0.00952963	0.00820514	0.036757	0.00406624	0.00795155
í	0.0223491	0.0104416	0.262924	0.169741	0.0791264	0.0526249	0.0734032	0.0434762	0.0212206	0.0110414	0.253652
b	0.025274	0.000863505	0.168086	0.275356	0.0184934	0.3453	0.0827447	0.051957	0.0132333	0.00869319	0.0099989
á	0.0711949	0.0063296	0.260168	0.377242	0.00572995	0.160281	0.0153529	0.0175691	0.0015592	0.0462421	0.038331
a	0.0354475	0.000601323	0.117314	0.492462	0.0292021	0.239642	0.031857	0.0193403	0.00744582	0.0115896	0.0150984
d	0.00146602	0.00134314	0.00790476	0.0107495	0.0263696	0.139907	0.701195	0.057066	0.0360424	0.00361204	0.0143443
z	0.000399971	0.00125164	0.00123301	0.00261204	0.0011373	0.00912403	0.901657	0.0385962	0.0109532	0.00313803	0.0298977
á	0.000515913	0.00127966	0.0026577	0.00420867	0.000631221	0.00651214	0.932399	0.038006	0.00808293	0.000243885	0.00546335
á	0.00262162	0.000193073	0.0178018	0.0564147	0.0041696	0.0987635	0.311366	0.208712	0.1514	0.0489888	0.0995695
m	0.00352235	0.000761933	0.0154141	0.0346615	0.00619165	0.0385681	0.0563917	0.395129	0.217025	0.205427	0.0269074
í	0.00499049	0.0108925	0.00385385	0.00351211	0.00038507	0.030839	0.0749779	0.261468	0.0732641	0.0891471	0.44667
b	0.00256691	0.000539433	0.00540726	0.00578281	0.00114595	0.0304316	0.0490093	0.0736942	0.170592	0.594131	0.0666996
v	0.0019448	0.00224661	0.00384661	0.00571184	0.000266278	0.0166858	0.0306171	0.044295	0.0213344	0.834987	0.0380645
ú	0.000332878	0.00166712	0.00329592	0.00218411	0.000451911	0.00579583	0.0072797	0.0172566	0.00801412	0.884828	0.0688934
ú	0.00201491	0.000114846	0.00196038	0.00627115	0.000193051	0.00371564	0.0436804	0.133911	0.196161	0.481413	0.130565
g	0.00192519	0.000164162	0.00489674	0.00514337	9.6746e-05	0.00915474	0.0057258	0.0707911	0.0528452	0.420381	0.428876
h	0.00165183	0.000317722	0.00884621	0.0150116	0.000225619	0.00377029	0.0091716	0.0344512	0.0401538	0.615213	0.271187
á	0.002834	0.00034038	0.00182576	0.00266228	0.000309814	0.00112811	0.00661001	0.09588	0.089456	0.54455	0.254404
</S>	0.00036938	2.93797e-05	0.00170868	0.00208498	8.25059e-05	0.00170772	0.00539372	0.0317009	0.023565	0.188945	0.744413
