 	cette	jeune	fille	se	cure	les	ongles	à	longueur	de	journée	</S>
m	0.463858	0.48739	0.012641	0.0187934	0.000508139	0.00986006	0.00132351	0.00352386	0.000342723	0.00150397	0.000151326	0.000103389
w	0.0595229	0.41926	0.501666	0.00967689	0.000962885	0.00180447	0.00110383	0.00028688	0.0027886	0.000330091	0.000143605	0.00245379
á	0.0151128	0.505564	0.476234	0.00193126	0.000199065	9.06717e-05	0.000423141	8.87277e-05	0.00021962	1.78699e-05	3.4392e-05	8.39191e-05
n	0.0633271	0.883829	0.0450951	0.0041479	0.000120452	0.00024823	0.000306385	0.000381466	0.000753582	9.98536e-05	2.2551e-05	0.00166878
a	0.00600308	0.433077	0.48367	0.0495204	0.00142687	0.00144903	0.000817791	0.00098987	0.00741391	0.000237192	9.58401e-05	0.0152997
o	0.875041	0.0672658	0.0237272	0.010545	0.00391229	0.00461336	0.00132538	0.00420915	0.00163342	0.00553448	0.000346935	0.00184554
y	0.300884	0.0405213	0.179869	0.0929741	0.206654	0.0319547	0.0437371	0.0129727	0.0554128	0.00733968	0.0206364	0.00704407
ú	0.640523	0.0903282	0.247448	0.00410145	0.00879328	0.00107442	0.00279467	0.00103955	0.00132203	0.000319365	0.000952201	0.00130401
r	0.932995	0.00906809	0.00744694	0.00236828	0.00330653	0.00361129	0.0132449	0.00423017	0.00168231	0.00514731	0.0032069	0.0136925
u	0.880398	0.0684626	0.00998358	0.00886947	0.00246631	0.00539714	0.00711291	0.0028301	0.00166321	0.00520849	0.00168088	0.00592725
w	0.113343	0.0581795	0.0700284	0.386577	0.109865	0.0745056	0.00987865	0.0352872	0.0376891	0.0483239	0.002778	0.0535455
ó	0.0123633	0.00779825	0.00404154	0.35307	0.139487	0.0921094	0.0528023	0.0694663	0.0420017	0.0673219	0.00641279	0.153125
i	0.0337961	0.00588743	0.011573	0.476473	0.199423	0.138881	0.0102927	0.0320448	0.0318437	0.0223537	0.000613964	0.0368174
s	0.00599023	0.000730315	0.00862963	0.135946	0.601696	0.0927849	0.0421664	0.00967562	0.0294473	0.0180822	0.00643637	0.0484151
á	0.0204772	0.00591187	0.0442695	0.12958	0.612771	0.0495634	0.0653903	0.0125082	0.0115718	0.00845866	0.00364398	0.0358537
l	0.0209468	0.00651678	0.0360854	0.138335	0.25753	0.176966	0.217797	0.0261181	0.0136046	0.0207973	0.00851387	0.0767897
a	0.0024095	0.000521668	0.00216299	0.186612	0.420822	0.164254	0.0870831	0.0209568	0.0150097	0.0223687	0.00301427	0.0747849
i	0.00417206	0.001786	0.00619416	0.139436	0.131037	0.4636	0.10565	0.0611448	0.0365513	0.0159688	0.00484954	0.0296103
b	0.0032578	0.000462187	0.00458173	0.0220227	0.623707	0.0603997	0.188083	0.0170928	0.0461685	0.00159718	0.0226126	0.0100149
h	0.0026572	0.000463106	0.0018473	0.0289191	0.710131	0.0378782	0.0937223	0.0414623	0.0499675	0.00333529	0.0104315	0.0191855
a	0.00831837	0.000206972	0.00143115	0.0196113	0.553757	0.0305541	0.177215	0.0769501	0.055642	0.0097826	0.00557549	0.060956
a	0.0129651	0.000667029	0.00305839	0.0243809	0.0370356	0.0654487	0.530679	0.202094	0.0176695	0.0141908	0.00581193	0.0859986
g	0.00225149	0.000165062	0.000453544	0.0349404	0.0120517	0.417306	0.162767	0.27828	0.026614	0.0259867	0.0010676	0.0381162
h	0.00799471	0.000686267	0.000197733	0.0188099	0.0356116	0.0400528	0.147988	0.379247	0.119038	0.0663426	0.00631467	0.177716
a	0.00795969	0.000741662	0.000379414	0.0123554	0.0119719	0.0333897	0.163165	0.472286	0.0546451	0.0265952	0.00667816	0.209833
l	0.00233188	0.000226677	0.000285706	0.0092252	0.00260735	0.0819918	0.223878	0.509825	0.0548705	0.0235717	0.00149553	0.0896902
á	0.00315765	0.000280765	0.000120779	0.010625	0.0156459	0.0397233	0.136594	0.186134	0.0946741	0.0371354	0.0183985	0.45751
n	0.00457585	0.000389477	0.000374605	0.0101609	0.0056878	0.0521524	0.0648752	0.314172	0.417686	0.0638924	0.011305	0.0547283
d	0.074976	0.0338451	0.0119396	0.0219143	0.0109175	0.0692742	0.0809478	0.34648	0.201261	0.0390385	0.009084	0.100322
z	0.00878182	0.00745296	0.00964725	0.0097585	0.00880957	0.0454042	0.320969	0.240278	0.203818	0.0271038	0.0262113	0.0917663
ώ	0.00158506	0.000248355	0.00207299	0.000996149	0.00135895	0.0120431	0.669497	0.169795	0.0923192	0.00581063	0.0240305	0.0202434
n	0.00447012	0.00146013	0.00205569	0.0063577	0.00720072	0.0357659	0.34961	0.287837	0.0400279	0.033165	0.0684224	0.163626
d	0.00386054	0.000207246	0.0020346	0.00226667	0.00102813	0.032469	0.359973	0.332282	0.109221	0.0376753	0.0159958	0.102987
z	0.00402006	0.000317412	0.00112649	0.00307361	0.00177892	0.0198294	0.306076	0.211956	0.142853	0.0199534	0.0298891	0.259128
i	0.0104296	0.000392574	0.000154755	0.00162987	0.00140196	0.0116358	0.349697	0.19754	0.0362441	0.0145356	0.020694	0.355645
m	0.00704906	0.000170167	0.00015825	0.00708888	0.00105336	0.0282919	0.036342	0.164439	0.325073	0.282002	0.00902234	0.139311
w	0.0118189	0.0437544	0.0228507	0.036469	0.000768902	0.0215985	0.00205629	0.0718762	0.395045	0.133028	0.00417443	0.25656
é	0.0292834	0.117922	0.0480736	0.0255423	0.00150349	0.00746745	0.0160886	0.0834117	0.529947	0.0193554	0.0435895	0.0778161
s	0.190063	0.0782825	0.0102322	0.0226312	0.000575046	0.0824208	0.0126392	0.155336	0.199545	0.170792	0.00369918	0.0737848
é	0.0927645	0.0149851	0.0106996	0.00428754	0.000791786	0.0104873	0.0657557	0.0969685	0.281168	0.0539703	0.0215298	0.346592
o	0.00283429	6.89066e-05	9.96419e-05	0.00535188	0.00110761	0.0184267	0.0197351	0.0977982	0.276494	0.393961	0.0333479	0.150774
t	0.000951384	7.56364e-05	0.000133635	0.00233512	0.00282176	0.00414163	0.00635349	0.0209214	0.21344	0.153839	0.522949	0.0720393
s	0.000320824	8.48316e-05	0.00010514	0.00182639	0.00434623	0.00179598	0.0207857	0.0172565	0.0504251	0.0803245	0.707996	0.114733
i	0.00107104	0.000104227	4.08422e-05	0.00228965	0.00953633	0.00309677	0.0480024	0.0957416	0.0835712	0.137134	0.464559	0.154853
i	0.0126881	0.00308958	0.00110871	0.00639263	0.00114421	0.00710892	0.0227896	0.0532195	0.0619842	0.149946	0.196872	0.483656
n	0.000793619	0.000163595	0.000172594	0.0041125	0.00113062	0.00369532	0.00534423	0.00867141	0.0595052	0.329147	0.0785274	0.508736
a	0.00509671	0.000738623	0.000382256	0.00683167	0.00137127	0.00760176	0.0151998	0.0274703	0.0825502	0.121787	0.247938	0.483033
</S>	0.000116972	3.97416e-05	2.14513e-05	0.00102916	0.000491086	0.00249253	0.00346007	0.0200142	0.0415696	0.249448	0.0587944	0.622522
