 	j'	ai	planté	un	safoutier	au	champ	</S>
n	0.992423	0.00502933	0.000156407	0.00116952	0.000134875	0.000900574	0.000123844	6.2644e-05
g	0.994135	0.00414651	0.000105177	0.000522916	7.10472e-06	0.00017516	0.000885721	2.27308e-05
á	0.945922	0.0430649	0.00138002	0.00279417	0.000118365	0.000146537	0.00652171	5.25107e-05
í	0.0791948	0.356715	0.0580221	0.0812608	0.0113569	0.0677921	0.00341257	0.342246
k	0.00205698	0.0502028	0.8762	0.0369599	0.0325157	0.000480098	5.85234e-05	0.00152635
u	0.00116783	0.0234951	0.692964	0.129187	0.14856	0.00145736	2.46217e-05	0.003144
n	0.00169015	0.0213684	0.257363	0.555156	0.154226	0.00930682	0.000625123	0.000265004
d	0.00441998	0.0220337	0.222129	0.460611	0.207677	0.0667259	0.00446761	0.0119358
u	0.00031534	0.00307949	0.101503	0.6039	0.184711	0.0880809	0.00468903	0.0137214
o	0.00192954	0.0259837	0.018601	0.197166	0.127369	0.252576	0.323427	0.0529472
s	3.70117e-05	0.00149269	0.0123114	0.0594521	0.899646	0.00737185	0.013103	0.00658626
á	0.000378998	0.00523466	0.0299896	0.0460812	0.909132	0.00198672	0.000755759	0.0064409
á	0.000401594	0.00853298	0.0327914	0.0778364	0.667624	0.0465594	0.0316016	0.134653
s	0.00103461	0.00744585	0.0142277	0.0611147	0.0878713	0.513034	0.258278	0.0569934
á	0.0037117	0.00739057	0.0171899	0.0376457	0.138447	0.245593	0.0859927	0.46403
n	0.000500488	0.000777654	0.000250733	0.0017381	0.00312788	0.0966863	0.881525	0.0153934
g	0.000563222	0.000196749	5.23535e-05	0.00130501	0.000397421	0.0180019	0.960397	0.0190865
o	0.00030341	8.04217e-05	2.6347e-05	0.000188814	5.08017e-05	0.000865005	0.993002	0.00548296
n	3.58689e-05	0.000106676	0.000145233	0.00182282	0.00448121	0.00198961	0.940567	0.050852
d	0.000152836	0.00104263	0.00191806	0.0143155	0.0108708	0.0524798	0.00854573	0.910675
a	0.000130492	0.000135358	9.35036e-05	0.00269152	0.000985151	0.0214828	0.279701	0.69478
</S>	0.00136184	0.0013514	0.00350483	0.0596243	0.00659512	0.201812	0.0461729	0.679578
