 	nous	avons	mangé	le	porc-épic	en	entier	</S>
b	0.760615	0.218633	0.0078036	0.00798329	0.00146486	0.00229724	0.000950129	0.000253569
í	0.924065	0.0571061	0.00174099	0.0074769	0.00272518	0.00576313	0.000972256	0.000150572
s	0.977087	0.0165913	0.00431044	0.000968981	0.000207617	0.000690124	3.72947e-05	0.000106916
í	0.854328	0.0996892	0.00814885	0.020173	0.00379812	0.00797385	0.00108412	0.00480442
l	0.10661	0.15862	0.22477	0.0419308	0.027208	0.0223904	0.0192657	0.399206
é	0.00924205	0.0259881	0.197037	0.157199	0.157564	0.0521048	0.0616288	0.339235
d	0.0085466	0.221089	0.695453	0.0288934	0.00439228	0.0105616	0.00818204	0.0228822
z	0.00273026	0.0588273	0.911549	0.0143566	0.00159693	0.0010788	0.00502071	0.00484077
é	0.00217803	0.0663604	0.924973	0.00332554	0.00120935	0.000308665	0.000459155	0.00118632
e	0.125817	0.0949788	0.292901	0.112451	0.0179068	0.0247969	0.0275051	0.303643
n	0.0166685	0.0368053	0.0743215	0.57071	0.18622	0.0464419	0.0220589	0.0467741
g	0.0127168	0.0256988	0.0119331	0.492266	0.368479	0.0280868	0.0437289	0.0170908
o	0.00649934	0.0189893	0.00486756	0.149552	0.792435	0.00428757	0.0188362	0.00453353
m	0.000914769	0.00205471	0.0032272	0.0623706	0.702299	0.0053776	0.138213	0.0855436
b	0.0301744	0.0138537	0.014761	0.191166	0.474426	0.123733	0.0310297	0.120857
á	0.00593194	0.00507013	0.0067114	0.145641	0.612064	0.0925706	0.0073019	0.12471
o	0.00212319	0.00692296	0.00316984	0.125675	0.104217	0.651852	0.0282399	0.0778008
t	0.00047697	0.00481264	0.00867701	0.0319757	0.0800794	0.0642313	0.715818	0.0939291
s	0.000719644	0.00216569	0.0028953	0.0319081	0.183662	0.0287938	0.483573	0.266282
i	0.000821767	0.00108246	0.00434511	0.111538	0.132837	0.105605	0.553574	0.0901963
i	0.00101015	0.000895031	0.000654191	0.00938401	0.00424766	0.14667	0.0839365	0.753202
n	0.00200848	0.0024635	0.000608553	0.0121193	0.0130828	0.0821174	0.216779	0.670821
a	0.00633132	0.00355817	0.000582433	0.0187283	0.0316883	0.0724362	0.66274	0.203935
</S>	0.00064575	0.000252571	0.000259819	0.00931793	0.00742014	0.0452731	0.482315	0.454515
