 	le	récolteur	du	vin	de	palme	traverse	le	fleuve	dans	sa	pe	tite	pirogue	</S>
o	0.98984	0.00707655	0.00100327	0.000236941	0.000518744	0.00016552	0.000340163	0.00041784	0.000215334	0.000103929	2.18099e-05	3.18994e-06	2.49156e-05	1.82002e-05	1.32762e-05
b	0.0893839	0.889946	0.00387653	0.0128503	0.000688263	0.0011215	0.000780175	0.000260556	0.000142963	7.31881e-05	8.09521e-05	0.000130021	0.000253204	0.000129448	0.000283421
a	0.0784281	0.916049	0.00053007	0.00137879	0.000419124	0.000369448	0.00148448	0.000226291	0.000186643	3.14856e-05	2.69758e-05	3.04869e-05	9.93233e-05	0.000664374	7.58566e-05
l	0.0443065	0.935072	0.00188839	0.00205536	0.000319723	0.000385136	0.00102594	0.000414858	0.00061799	0.00030877	0.000242391	5.00493e-05	0.000215675	0.000612587	0.0124845
e	0.945228	0.024195	0.0143074	0.0013241	0.00221333	0.000795343	0.00112839	0.00129365	0.00115181	0.00102917	0.000516992	7.52397e-05	0.000452991	0.000756056	0.00553272
l	0.230139	0.0242288	0.465028	0.170815	0.0488316	0.0157925	0.00461799	0.00966573	0.00760721	0.00628799	0.00567756	0.00117711	0.00101365	0.000146568	0.00897172
á	0.0321969	0.00472562	0.509739	0.116256	0.0462121	0.0203158	0.0114852	0.012169	0.0143206	0.0201147	0.0300194	0.0136408	0.0341029	0.0192774	0.115424
a	0.0206933	0.00190261	0.710323	0.150563	0.0520428	0.02167	0.00532353	0.00554638	0.00550573	0.0055309	0.0056771	0.0017981	0.00307292	0.00120299	0.00914789
k	0.000703628	0.00133861	0.0284551	0.57894	0.0752319	0.11957	0.187293	0.00152963	0.000861742	0.000514904	0.000659284	0.00182276	0.000286486	0.000271571	0.00252176
y	0.00030203	0.00106363	0.0188606	0.364364	0.128963	0.170205	0.275529	0.0161498	0.00730447	0.00310685	0.00277093	0.0016181	0.000326277	0.000185237	0.00925054
é	0.00790618	0.00228593	0.0127729	0.204366	0.120316	0.182811	0.437358	0.0102258	0.0028539	0.00170978	0.00194609	0.00800991	0.00145485	0.00175783	0.00422664
n	0.000554241	0.000118554	0.0250311	0.0385804	0.226651	0.399979	0.213023	0.0401515	0.0127268	0.0192112	0.00932412	0.00479093	0.00215138	0.00185487	0.00585146
á	0.00173153	0.000190884	0.0453602	0.023937	0.152888	0.134849	0.465191	0.0714485	0.0363232	0.00961311	0.00651989	0.00109011	0.00473255	0.00280065	0.0433247
n	0.000992699	0.000172081	0.0530023	0.00349006	0.0946273	0.0676221	0.112187	0.339636	0.16839	0.0983113	0.0291936	0.00250541	0.00878852	0.0122035	0.00887842
d	0.00316549	0.000201875	0.00556726	0.00170407	0.0189119	0.0412666	0.0479522	0.497948	0.155811	0.0448644	0.0282599	0.00530398	0.1164	0.00956241	0.0230813
z	0.00195634	0.000315068	0.0044647	0.006114	0.019465	0.105804	0.0566574	0.428146	0.132589	0.0338722	0.0301847	0.0425026	0.0982971	0.00127301	0.0383591
á	0.000622383	7.17021e-05	0.00207506	0.000801013	0.0136769	0.0805188	0.0336927	0.427015	0.19009	0.0421985	0.0560841	0.0259515	0.080837	0.000992288	0.0453737
l	0.000231852	4.12132e-05	0.00505273	0.00204335	0.020669	0.0548815	0.0567716	0.317505	0.189588	0.0936302	0.0792819	0.0479489	0.0709038	0.0251957	0.0362553
é	0.000384738	7.4354e-05	0.00187817	0.00110511	0.0125393	0.0441924	0.102928	0.294046	0.234342	0.139249	0.0706087	0.0299595	0.0369993	0.00230533	0.029388
m	0.000122411	3.56497e-05	0.00526767	0.00143716	0.00747472	0.0122007	0.0200126	0.0945004	0.151932	0.232825	0.205077	0.138176	0.0968208	0.00510254	0.029015
é	0.000945848	2.34924e-05	0.00183333	0.000212612	0.00582662	0.00624931	0.00553392	0.136899	0.285073	0.133212	0.155198	0.0345972	0.0583033	0.00227801	0.173815
s	0.000737376	0.000367733	0.00322887	0.000561555	0.00398888	0.00753315	0.00847955	0.0398967	0.0740594	0.119359	0.147413	0.296874	0.183766	0.0738924	0.0398411
ε	0.000391529	1.02812e-05	0.000158255	0.000287054	0.0020022	0.00652495	0.00147449	0.0283156	0.0645233	0.0573033	0.169012	0.450825	0.188968	0.0129927	0.0172121
n	3.99694e-05	1.21438e-06	3.22594e-05	4.67762e-05	0.000199794	0.00112437	0.000440857	0.0161056	0.0441014	0.0470931	0.15164	0.338838	0.299793	0.0094371	0.0911069
g	9.04947e-05	6.37577e-06	6.74083e-05	0.000127195	0.0015572	0.00620265	0.0014073	0.040922	0.0597188	0.113483	0.263515	0.18309	0.300317	0.00356741	0.025928
í	0.00135217	6.38995e-05	0.000696594	0.000111936	0.00271802	0.00669253	0.00973362	0.109236	0.155534	0.151788	0.210422	0.0466154	0.252926	0.0122131	0.0398977
</S>	0.000319804	3.00166e-06	0.00105665	0.000138526	0.00192254	0.00254365	0.00164849	0.0276879	0.0457871	0.0613996	0.115404	0.0536177	0.317679	0.143204	0.227589
