 	le	hibou	bouboule	</S>
e	0.904288	0.0937923	0.00111914	0.000800681
s	0.0762196	0.917819	0.0032753	0.00268636
u	0.0346739	0.951565	0.009378	0.00438266
l	0.0659745	0.895175	0.00279325	0.0360571
ú	0.679829	0.193407	0.00913206	0.117632
u	0.589554	0.293208	0.0368954	0.0803426
b	0.455028	0.206121	0.135453	0.203398
ó	0.214532	0.0968422	0.472027	0.216598
y	0.0689272	0.10014	0.256761	0.574171
é	0.287918	0.11978	0.402161	0.190141
e	0.114904	0.0224047	0.162306	0.700386
l	0.0307009	0.0253824	0.119374	0.824542
e	0.0164455	0.045686	0.258037	0.679832
a	0.0157331	0.0107687	0.26399	0.709508
</S>	0.0529278	0.015753	0.0892134	0.842106
