 	cette	maison	est	encombrée	</S>
n	0.365283	0.628143	0.00636347	0.000119736	9.07258e-05
d	0.0607617	0.938958	0.000137658	6.37226e-05	7.90267e-05
é	0.0117551	0.987709	0.000195358	0.000120307	0.000220467
e	0.179554	0.809996	0.00495052	0.00309075	0.00240869
y	0.148411	0.140882	0.68254	0.00636035	0.0218063
é	0.385013	0.0663906	0.496834	0.0122633	0.0394997
é	0.307781	0.0805279	0.559541	0.0256335	0.0265173
d	0.0141479	0.0127297	0.74682	0.186346	0.0399567
í	0.00690236	0.00219102	0.464015	0.208978	0.317914
l	0.00730439	0.0018938	0.113372	0.494706	0.382724
a	0.010883	0.00369956	0.23815	0.518954	0.228313
p	0.0290076	0.00380909	0.131902	0.756054	0.079227
í	0.015207	0.0125944	0.0669292	0.835087	0.0701823
á	0.00347805	0.00100787	0.0460441	0.847962	0.101508
</S>	0.0104006	0.00290468	0.0838696	0.276812	0.626013
