 	il	épluche	la	mangue	</S>
w	0.834474	0.135433	0.0296994	0.000230975	0.000162453
a	0.905054	0.0614377	0.0328068	0.000557624	0.000143796
l	0.369529	0.252873	0.34545	0.00912247	0.023025
á	0.091965	0.131924	0.12754	0.0633289	0.585243
a	0.0776597	0.0736939	0.256772	0.47062	0.121255
b	0.0255553	0.319714	0.285292	0.241239	0.1282
o	0.0162141	0.848319	0.103105	0.0275939	0.00476744
r	0.0277279	0.75953	0.133534	0.0239501	0.055258
á	0.166654	0.231706	0.289304	0.00470954	0.307627
m	0.0662916	0.0418554	0.71417	0.113694	0.0639886
b	0.00293992	0.00498306	0.0545416	0.905987	0.0315489
á	7.90463e-05	0.00246953	0.000706239	0.994782	0.00196324
n	0.000959861	0.00122935	0.00453959	0.982322	0.0109489
g	0.0154414	0.0119278	0.0408868	0.909339	0.0224051
é	0.0220037	0.0256413	0.0148729	0.811628	0.125854
</S>	0.0338645	0.0168856	0.261337	0.0151073	0.672805
