 	trop	de	saleté	abîme	les	habits	</S>
m	0.763994	0.202375	0.0200252	0.00288255	0.0093441	0.00132763	5.11187e-05
b	0.176753	0.480891	0.0836856	0.038647	0.0714847	0.00577964	0.142759
i	0.104604	0.738832	0.132026	0.0128841	0.00463227	0.00353896	0.00348316
n	0.164908	0.602937	0.0729433	0.0217351	0.0646491	0.0219439	0.0508838
d	0.180012	0.351237	0.0997712	0.0738484	0.0291368	0.0127329	0.253262
i	0.161933	0.324492	0.160133	0.0393294	0.0121515	0.0140738	0.287888
y	0.250586	0.576148	0.0747413	0.0170392	0.0402703	0.00228081	0.0389347
é	0.161043	0.428028	0.146334	0.0891746	0.0351082	0.00482647	0.135485
é	0.12523	0.327036	0.253354	0.0871835	0.0626431	0.0112534	0.1333
p	0.0611183	0.205749	0.425489	0.240142	0.0223944	0.00901951	0.0360889
é	0.0207973	0.0606642	0.793328	0.0819057	0.00601471	0.0148981	0.0223926
n	0.0414555	0.0966036	0.784204	0.0575902	0.00570945	0.00498039	0.00945633
d	0.0451554	0.12694	0.707995	0.0412306	0.00938239	0.00895098	0.0603455
i	0.0358637	0.142801	0.668207	0.0500676	0.0073125	0.00664139	0.0891064
y	0.0229158	0.114524	0.504791	0.224115	0.0951411	0.00545721	0.0330564
é	0.0055102	0.0275211	0.215075	0.618109	0.0842125	0.0072646	0.0423071
e	0.00275003	0.0142128	0.0549394	0.555348	0.321001	0.0184314	0.0333171
t	0.0041702	0.0127034	0.0719407	0.785286	0.0567899	0.0438825	0.0252275
ú	0.000791053	0.00395519	0.0852317	0.788454	0.0385091	0.0597044	0.0233548
n	0.00112369	0.00271626	0.139781	0.750329	0.0357454	0.0288318	0.0414727
g	0.00170092	0.00938312	0.185159	0.719499	0.0421045	0.0137485	0.0284051
ú	0.00210744	0.0154503	0.150546	0.787221	0.0334872	0.00391538	0.00727316
s	0.00169315	0.0063312	0.0253329	0.262955	0.610732	0.0341832	0.0587725
á	0.000777139	0.0031733	0.0149866	0.167751	0.531544	0.128162	0.153606
i	0.00190605	0.00249667	0.00538048	0.0633871	0.349615	0.554607	0.0226078
k	0.00114297	0.00225725	0.00926836	0.059258	0.0618769	0.802275	0.0639217
á	0.000477799	0.000971308	0.00795588	0.00407803	0.0085669	0.963167	0.0147827
n	0.00200381	0.00181158	0.00772561	0.0553891	0.0754649	0.814123	0.0434823
d	0.000517581	0.00135321	0.0108683	0.0157187	0.130055	0.721519	0.119968
á	0.00274701	0.00806449	0.0599687	0.0606705	0.0739484	0.608348	0.186253
</S>	0.00199332	0.00484672	0.0107671	0.0170295	0.115027	0.276938	0.573398
