 	tu	ne	dois	pas	voler	autrui	</S>
k	0.653079	0.120808	0.152639	0.0629867	0.00683314	0.00281522	0.000838661
á	0.441004	0.296005	0.173006	0.060012	0.0128236	0.00991257	0.00723764
a	0.0983558	0.26202	0.163871	0.124045	0.0313401	0.0729101	0.247458
n	0.572289	0.285701	0.0355576	0.0207111	0.0168661	0.00990322	0.0589724
ω	0.888812	0.0297092	0.00588563	0.0029079	0.00193948	0.00333882	0.0674072
o	0.253474	0.49738	0.046301	0.0107534	0.0159947	0.0100565	0.166041
d	0.00600393	0.553337	0.335507	0.060355	0.0338492	0.000240396	0.0107076
í	0.0507557	0.4391	0.092877	0.0397634	0.194086	0.000309077	0.183109
b	0.0186393	0.0948575	0.0779399	0.0811388	0.437562	0.00384455	0.286018
e	0.0257462	0.0647068	0.459847	0.2653	0.0210962	0.153817	0.00948676
a	0.0110705	0.0745516	0.390244	0.2695	0.0271087	0.136345	0.091181
b	0.0241002	0.0274304	0.155509	0.397486	0.296288	0.0647479	0.0344382
á	0.0118745	0.0208422	0.203232	0.36527	0.132021	0.103708	0.163053
b	0.0266133	0.0209553	0.137347	0.292309	0.0854317	0.251536	0.185809
a	0.00307681	0.00361583	0.0553249	0.0793162	0.0234311	0.823039	0.0121958
r	0.0049108	0.00155195	0.0251165	0.0369004	0.00602371	0.916227	0.00926917
e	0.0124483	0.0109193	0.092279	0.139138	0.0920937	0.290457	0.362665
o	0.00460863	0.0311847	0.126273	0.199115	0.255056	0.0823845	0.301378
y	0.000795601	0.0423531	0.0616933	0.0963702	0.620559	0.0159094	0.162319
í	0.000397074	0.00930168	0.00802039	0.020315	0.816628	0.00113102	0.144207
b	0.000496842	0.00479475	0.0105098	0.0313472	0.543798	0.00523237	0.403821
h	0.000623916	0.0140798	0.110637	0.302876	0.279864	0.0442048	0.247715
a	0.000549487	0.00344783	0.08316	0.118823	0.183711	0.137041	0.473268
k	0.000695432	0.00870739	0.0257876	0.0721086	0.138392	0.135553	0.618756
a	0.00267773	0.00606993	0.0380134	0.157153	0.120925	0.246324	0.428837
á	0.000150142	0.00043654	0.00539882	0.0235747	0.0157291	0.158512	0.796199
</S>	0.00345191	0.00873224	0.00956347	0.0109354	0.0463915	0.051728	0.869197
