 	il	a	vraiment	faim	</S>
w	0.842227	0.13614	0.0167621	0.0039495	0.000921926
a	0.929722	0.0512223	0.00964057	0.00765256	0.00176229
a	0.277692	0.582839	0.0949312	0.0068262	0.0377119
d	0.0522057	0.488479	0.395667	0.0181104	0.0455379
í	0.026025	0.501793	0.26482	0.0347963	0.172565
l	0.0116617	0.0783365	0.314523	0.100171	0.495308
a	0.0418895	0.104745	0.291857	0.0958048	0.465704
n	0.0533478	0.191957	0.141988	0.540394	0.0723134
d	0.0174627	0.101221	0.229306	0.525789	0.126222
z	0.00412798	0.0417376	0.0668874	0.821207	0.0660396
a	0.00236154	0.00757759	0.00512029	0.954283	0.0306571
a	0.00955461	0.0170777	0.0162472	0.330126	0.626994
m	0.0084245	0.034739	0.127327	0.03771	0.791799
b	0.0319421	0.0422057	0.226082	0.395998	0.303772
v	0.00296569	0.00351086	0.0479676	0.195791	0.749765
a	0.00248058	0.00343152	0.0235651	0.296566	0.673956
m	0.000620667	0.00543591	0.0552269	0.0535467	0.88517
b	0.0456949	0.0178303	0.0939196	0.201274	0.641282
v	0.00493352	0.00175244	0.0123959	0.336016	0.644903
a	0.00334673	0.00142425	0.00446483	0.441683	0.549081
</S>	0.000558961	0.000775475	0.00592994	0.0382668	0.954469
