 	il	faut	que	tu	passes	la	nuit	chez	nous	</S>
n	0.212161	0.59451	0.0869116	0.0385602	0.0488233	0.0042594	0.00444498	0.00980275	0.000431706	9.53049e-05
ω	0.294896	0.346415	0.0673582	0.197923	0.0427013	0.0277605	0.00627363	0.0105182	0.00450791	0.00164618
k	0.170278	0.56729	0.16107	0.0654988	0.0153095	0.00925093	0.00514017	0.00216714	0.00254066	0.00145439
á	0.0489315	0.18102	0.0973696	0.0600454	0.210636	0.0346	0.0496889	0.0742038	0.0324539	0.211051
a	0.160867	0.220077	0.173812	0.137701	0.11392	0.0303844	0.0197114	0.0176332	0.0226687	0.103227
ó	0.0470692	0.0350641	0.372459	0.181389	0.169638	0.119873	0.0226413	0.00829859	0.00924467	0.0343227
b	0.000472651	0.00125986	0.00883736	0.0484301	0.39039	0.32469	0.210674	0.00705205	0.00218226	0.0060121
v	0.00124873	0.00122488	0.00408555	0.0200354	0.615455	0.0916724	0.222872	0.0328249	0.0042779	0.00630295
a	0.00109514	0.000655421	0.00658126	0.0351839	0.707395	0.0885176	0.0993206	0.0344932	0.0238089	0.00294888
f	6.99701e-05	7.40135e-05	0.00159416	0.020431	0.60563	0.171986	0.129117	0.0223117	0.00419255	0.0445937
u	0.0134521	0.016772	0.0716337	0.253788	0.0771079	0.175491	0.257258	0.0450338	0.0302377	0.0592264
l	0.00219125	0.0035285	0.0790168	0.100914	0.0974663	0.238102	0.195736	0.099015	0.0171932	0.166837
u	0.00297881	0.00268701	0.0257526	0.0497357	0.104006	0.286323	0.421605	0.0147272	0.00966608	0.082518
m	0.000748843	0.000548781	0.0233002	0.0213951	0.0314083	0.329128	0.313672	0.0994296	0.0270118	0.153357
b	0.00465237	0.00105128	0.015649	0.0118748	0.0278853	0.159361	0.034637	0.341156	0.0143161	0.389417
v	0.000449205	0.00045104	0.00244812	0.00731962	0.0111422	0.0236465	0.00659174	0.917549	0.0191902	0.0112126
á	0.000443981	0.000740154	0.00184553	0.0165844	0.0239826	0.0418074	0.0195943	0.754004	0.0910424	0.0499548
a	0.00205617	0.000922934	0.00716398	0.0341271	0.0103236	0.0635563	0.0360903	0.400186	0.158499	0.287075
b	0.00437638	0.00333379	0.0159147	0.011761	0.00586176	0.0761962	0.0427896	0.131383	0.145994	0.56239
í	0.0274252	0.00618864	0.010567	0.0306141	0.00605083	0.0286886	0.0321487	0.323868	0.338058	0.19639
s	0.00869805	0.00370777	0.0100828	0.0450207	0.00267733	0.014648	0.00858572	0.11143	0.425947	0.369203
í	0.000623917	0.000109043	0.000588389	0.00536211	0.00221871	0.00841488	0.00412492	0.0773131	0.753715	0.14753
</S>	0.000677267	0.000910997	0.00467401	0.00627645	0.00539181	0.0208741	0.00719297	0.0523284	0.168915	0.732759
