 	celui	qui	assiste	au	dépeçage	d'	un	animal	s'	en	sort	toujours	avec	une	part	aussi	petite	soit-elle	</S>
o	0.818331	0.115928	0.0312655	0.0112432	0.0057509	0.00456752	0.00433177	0.000841469	0.000804883	0.00052076	0.000427231	0.000685045	0.00126622	0.000762302	0.00100036	0.000542582	0.00146905	7.62368e-05	0.00018592
k	0.00953798	0.102158	0.862819	0.0108183	0.00409056	0.00138731	0.00118831	0.000282905	0.000235204	0.000210608	0.00107974	0.000440626	0.00075227	0.000472003	0.000330121	0.000355564	0.00117618	0.00217911	0.000486091
y	0.000352961	0.0249931	0.942886	0.00846893	0.00713992	0.00260518	0.00150196	0.000270799	0.000395527	0.000744273	0.000656516	0.00109399	0.00182234	0.000916144	0.000216683	0.00156987	0.00113282	0.00124041	0.00199278
é	0.00123161	0.0337259	0.944937	0.0106153	0.00595026	0.00135924	0.000672142	0.000225701	7.4577e-05	0.000109372	6.12184e-05	8.00866e-05	0.000204989	0.000111361	2.60383e-05	0.000236521	6.89362e-05	0.000127831	0.000181727
l	0.0207842	0.202803	0.724009	0.0165699	0.0119096	0.00235786	0.00108538	0.000540277	0.000597403	0.00086105	0.000515471	0.00105749	0.000936652	0.00092845	0.000984974	0.00181307	0.00310176	0.00072529	0.00841867
i	0.0115572	0.0600706	0.818336	0.0212681	0.0280914	0.00851243	0.0039252	0.00102281	0.00208713	0.00197296	0.000947169	0.00295635	0.00299026	0.00250066	0.00321398	0.00571046	0.00378004	0.000700719	0.020356
i	0.165631	0.276784	0.158845	0.155374	0.0928615	0.0274777	0.0123626	0.0047809	0.00969158	0.00787381	0.00298232	0.00691241	0.00607712	0.00476416	0.00637402	0.0107458	0.0128617	0.000566399	0.0370335
e	0.059388	0.107841	0.0189526	0.448919	0.163025	0.0645891	0.0203871	0.012081	0.0163335	0.0105263	0.011151	0.0102139	0.00950058	0.00683379	0.00543574	0.00359391	0.0138319	0.00104961	0.0163476
b	0.00293752	0.0443073	0.0488036	0.446465	0.340011	0.0483273	0.0081905	0.00258725	0.00473537	0.00295717	0.00544885	0.0046107	0.0043523	0.00186858	0.00109427	0.00550791	0.00386838	0.00500254	0.0189241
é	0.000651662	0.0342296	0.0213459	0.346507	0.487199	0.0405081	0.0124188	0.00468074	0.00606393	0.00435949	0.00255673	0.00363504	0.00407644	0.00131385	0.0040368	0.0111218	0.00451951	0.000634626	0.0101411
e	0.00143859	0.0474493	0.0201742	0.362722	0.313177	0.0501987	0.0188572	0.0113434	0.00973825	0.00676831	0.00480043	0.00715654	0.00791053	0.00386743	0.00635949	0.0164802	0.00682733	0.00245206	0.102278
