 	tout	le	village	fut	avisé	de	mon	arrivée	</S>
p	0.420917	0.305289	0.225272	0.0203572	0.00350811	0.0111891	0.0122073	0.000773455	0.000486993
o	0.188288	0.192102	0.554827	0.00951853	0.0033736	0.0224353	0.00431921	0.0231397	0.00199667
o	0.0875707	0.140823	0.518939	0.0181731	0.00457155	0.0757569	0.0186135	0.0673043	0.0682473
έ	0.34209	0.508434	0.054151	0.0113637	0.00891512	0.010426	0.0174719	0.00259874	0.0445492
t	0.0906717	0.187438	0.24568	0.0170286	0.0462465	0.114744	0.0222226	0.0492998	0.226669
s	0.0374585	0.154673	0.290623	0.00681799	0.0167314	0.135679	0.0102663	0.101727	0.246023
ω	0.145817	0.31952	0.293528	0.0154804	0.0300193	0.0770563	0.0201962	0.0217526	0.0766298
e	0.105844	0.186973	0.184308	0.0225587	0.0313943	0.0465093	0.0240413	0.0118529	0.386518
t	0.107612	0.119456	0.136855	0.0619284	0.134077	0.0950612	0.0330981	0.0364765	0.275435
i	0.0317564	0.0689371	0.161167	0.0127066	0.0308042	0.2351	0.0209633	0.17028	0.268286
i	0.027315	0.0397961	0.0774577	0.0192154	0.0382695	0.126029	0.0115463	0.0525121	0.607859
n	0.0204999	0.0207402	0.0564826	0.23999	0.36859	0.188895	0.0374794	0.0134555	0.0538667
a	0.00508549	0.00905503	0.0525532	0.137258	0.685606	0.0233483	0.0533669	0.000988705	0.0327387
á	0.00560985	0.0111077	0.0219871	0.125411	0.235842	0.31233	0.160413	0.016932	0.110368
y	0.0101933	0.0127005	0.0112641	0.0284483	0.179783	0.539146	0.0706574	0.0983068	0.0495
é	0.00391039	0.0108841	0.0133372	0.0434645	0.247352	0.322062	0.197344	0.0414798	0.120165
b	0.00348729	0.0051971	0.00908824	0.0312548	0.0843226	0.314413	0.112998	0.0826269	0.356611
h	0.00524825	0.00693921	0.0175285	0.037611	0.0672808	0.391185	0.0700903	0.306426	0.0976908
á	0.00748435	0.00658026	0.0193763	0.0155974	0.0268726	0.163788	0.0145646	0.053322	0.692414
ω	0.00418699	0.00498102	0.00766235	0.0761891	0.155488	0.209829	0.289896	0.0996361	0.152131
k	0.00363026	0.00677535	0.00221419	0.00350559	0.0229624	0.118385	0.115338	0.673837	0.0533525
ω	0.000411628	0.000871289	0.00974883	0.000634846	0.0011294	0.104454	0.0174006	0.758825	0.106524
m	0.000345686	0.000880288	0.00595143	0.00332723	0.00782281	0.152738	0.0594453	0.53676	0.232728
ώ	0.000892408	0.00181155	0.00371219	0.0022655	0.0116026	0.194403	0.0663131	0.26568	0.453319
ώ	0.00596453	0.00621844	0.00339968	0.0175591	0.0340692	0.0602615	0.30136	0.0770749	0.494093
y	0.00961881	0.00954786	0.00331556	0.00577783	0.0309413	0.0716276	0.291508	0.229943	0.347719
a	0.00168733	0.00569321	0.0045821	0.00515044	0.0187306	0.0613939	0.633169	0.0895602	0.180033
á	0.000576758	0.0010087	0.00163559	0.00631717	0.0118252	0.0308843	0.312541	0.086734	0.548478
n	0.00130486	0.00178986	0.00179418	0.0211784	0.0505536	0.0410926	0.520477	0.0465692	0.31524
g	0.00111688	0.00200632	0.00680429	0.0306702	0.257029	0.0097996	0.627584	0.00653046	0.0584587
á	0.000368144	0.00129794	0.00465271	0.0393988	0.151841	0.00736736	0.70598	0.00874833	0.0803455
</S>	0.00144933	0.00197385	0.0110105	0.00381284	0.0201435	0.0426059	0.476825	0.165198	0.27698
