 	ma	mère	a	un	foulard	de	couleur	noire	</S>
n	0.54254	0.0914634	0.137332	0.0546714	0.124324	0.043523	0.00322655	0.00213606	0.000783715
g	0.652442	0.334873	0.00592558	0.00555885	0.00048991	0.000568231	1.47134e-05	0.000110737	1.77418e-05
ó	0.145227	0.849035	0.00252436	0.00221312	0.000387372	0.000263721	2.46173e-05	0.000194399	0.000130139
o	0.0376109	0.959451	0.000771139	0.00158275	0.000221939	8.51674e-05	1.21633e-05	0.000213545	5.13878e-05
y	0.744422	0.0888458	0.108338	0.0286844	0.00539974	0.014152	0.00213647	0.00107952	0.00694248
a	0.957086	0.0104122	0.0168438	0.00412557	0.00218426	0.00358321	0.00149451	0.000605702	0.00366465
n	0.949093	0.00549117	0.0272128	0.00703985	0.00143006	0.00253962	0.00119654	0.000739826	0.00525743
g	0.853337	0.0929362	0.0240037	0.0182097	0.00151311	0.00235354	0.000234639	0.0013189	0.00609378
á	0.407377	0.531647	0.027523	0.022368	0.00175238	0.00190164	0.000290578	0.00127323	0.00586714
a	0.0467504	0.0175999	0.727706	0.125349	0.036492	0.0291792	0.00759637	0.00211513	0.00721219
d	0.0140402	0.00320823	0.399217	0.371421	0.109792	0.0152579	0.0573826	0.00883007	0.0208511
í	0.0427918	0.000546683	0.262551	0.331817	0.0465414	0.0236868	0.0802691	0.0111681	0.200628
l	0.176254	0.000216706	0.170317	0.25397	0.125651	0.0791756	0.100358	0.0239795	0.0700784
e	0.00463117	0.000371538	0.1392	0.511269	0.142988	0.0720203	0.0359176	0.00962637	0.0839759
b	0.00138802	0.000305839	0.0481403	0.281949	0.476292	0.0551571	0.040275	0.0450144	0.0514785
v	0.0218515	0.000190752	0.0720394	0.237008	0.589953	0.0353855	0.00346049	0.030615	0.00949609
u	0.00604689	0.000149762	0.0603436	0.21801	0.584387	0.0951684	0.0122379	0.0173181	0.00633753
l	0.00369052	5.48459e-05	0.0277574	0.176381	0.633719	0.0736254	0.0213044	0.0224409	0.0410269
ú	0.0023472	1.66436e-06	0.0179729	0.250759	0.511438	0.0643078	0.0373654	0.04382	0.0719884
y	0.000164418	1.43238e-05	0.0159071	0.11359	0.269824	0.1653	0.2189	0.103958	0.112343
á	0.000746993	6.1773e-05	0.00894787	0.141423	0.197354	0.0395858	0.196226	0.339865	0.0757886
p	0.00120422	0.000204109	0.00842276	0.0253748	0.0746851	0.175713	0.238922	0.420389	0.0550852
i	9.45392e-05	2.36035e-05	0.00143159	0.00663397	0.0728121	0.0333924	0.494197	0.35893	0.0324848
</S>	2.88982e-05	1.42979e-05	0.00155132	0.00948999	0.0386222	0.045616	0.542709	0.205966	0.156003
