 	j'	ai	mal	à	la	tête	</S>
n	0.744244	0.0611362	0.0500147	0.0610978	0.0718045	0.0109129	0.000789832
g	0.988787	0.00862939	0.000778361	0.000653305	0.00110779	3.05108e-05	1.41049e-05
á	0.964265	0.0306365	0.0027533	0.00120599	0.000948641	0.000170386	2.06215e-05
i	0.25952	0.335595	0.12064	0.0505917	0.114968	0.0320367	0.0866482
b	0.00684442	0.309087	0.514452	0.0658065	0.0108405	0.0253076	0.0676621
o	0.00639418	0.208658	0.190234	0.0699468	0.0193583	0.49329	0.0121195
ó	0.00298662	0.145218	0.393712	0.271429	0.0891432	0.0698802	0.0276315
l	0.0308126	0.0897765	0.246569	0.320236	0.252433	0.0112078	0.0489652
í	0.00429268	0.0367753	0.0968173	0.119317	0.0723577	0.0192524	0.651187
i	0.113244	0.0767461	0.0687131	0.147735	0.200957	0.171464	0.221141
l	0.000619166	0.0174067	0.0689646	0.32585	0.153606	0.261745	0.171809
a	0.000107819	0.0102019	0.144493	0.349368	0.103389	0.246516	0.145923
n	0.0003496	0.0241308	0.142993	0.359011	0.134896	0.119613	0.219006
d	0.000956486	0.028827	0.198601	0.312442	0.136368	0.110802	0.212004
a	0.00285382	0.021254	0.0800968	0.14026	0.172373	0.0475017	0.535661
</S>	0.00183911	0.00716216	0.028688	0.0826249	0.272502	0.0959927	0.511191
