 	son	bras	lui	fait	mal	</S>
e	0.543314	0.447324	0.00569316	0.00125716	0.0021755	0.000236153
b	0.0332778	0.889864	0.0443987	0.0150617	0.0116273	0.0057704
ώ	0.00577674	0.975161	0.0044622	0.00154598	0.011874	0.00117993
ω	0.0179707	0.933878	0.00983549	0.00241355	0.0182439	0.0176586
y	0.435503	0.124994	0.357352	0.0525547	0.0048598	0.024736
á	0.513764	0.0303744	0.303764	0.0530481	0.0122789	0.08677
w	0.70743	0.00341511	0.0981805	0.14963	0.0289733	0.0123715
a	0.600097	0.00767561	0.180032	0.128212	0.0591168	0.0248666
y	0.257487	0.00417042	0.386003	0.236296	0.0437694	0.0722745
é	0.363862	0.00230567	0.129546	0.218365	0.201656	0.0842653
e	0.318802	0.0029854	0.0952422	0.136377	0.328505	0.118088
l	0.00400019	0.00583636	0.0722944	0.293786	0.316486	0.307597
a	0.000464679	0.00128069	0.0381161	0.40891	0.366376	0.184853
n	0.0028369	0.000575526	0.0680111	0.396385	0.353472	0.178719
d	0.00668608	0.0050185	0.130821	0.203485	0.299837	0.354153
a	0.0080236	0.00210474	0.0847423	0.073098	0.204273	0.627758
</S>	0.017698	0.000907457	0.0550817	0.125	0.231127	0.570186
