 	nous	avons	nettoyé	le	champ	</S>
b	0.98003	0.0190168	4.07347e-05	0.000570437	0.000249615	9.23018e-05
í	0.801718	0.16381	0.000529199	0.0323032	0.000515896	0.00112364
s	0.986733	0.00955507	0.000267924	0.00158914	3.77953e-05	0.0018174
í	0.829045	0.0481923	0.00730701	0.0891185	0.00879419	0.0175427
l	0.0838837	0.286199	0.100043	0.00773883	0.00162101	0.520514
é	0.0211731	0.338538	0.108032	0.0736555	0.0185734	0.440029
w	0.00773445	0.5532	0.395045	0.0209012	0.00378344	0.0193361
á	0.00401256	0.169066	0.722569	0.046181	0.00647565	0.0516956
n	0.107541	0.06543	0.750207	0.0257773	0.0120265	0.0390183
g	0.521953	0.0450066	0.288718	0.0874854	0.0248448	0.0319922
i	0.313278	0.0384515	0.279632	0.259017	0.0801149	0.0295063
s	0.00482059	0.0551684	0.0164949	0.82795	0.0534925	0.0420731
i	0.00372934	0.00389769	0.0868258	0.75627	0.0943027	0.0549749
n	0.00478695	0.0143523	0.00737191	0.475379	0.435607	0.062503
g	0.000858285	0.000630367	0.00443251	0.200504	0.771483	0.0220915
o	0.000229181	0.000459987	0.000820496	0.0155123	0.978727	0.0042508
n	0.000398755	0.000677585	0.00514235	0.0145223	0.95116	0.028099
d	0.000335521	0.00440358	0.00681419	0.049696	0.0394999	0.899251
a	4.78781e-05	0.000160179	0.0192479	0.0292412	0.65909	0.292213
</S>	0.00032782	0.00308771	0.00227294	0.119339	0.0756451	0.799328
