 	les	abeilles	font	beaucoup	de	miel	</S>
a	0.650274	0.33647	0.00330684	0.00295393	0.00654362	0.000410177	4.10539e-05
n	0.06253	0.933117	0.000862078	0.00201375	0.000573499	0.000543047	0.000360723
d	0.0557603	0.910949	0.00579385	0.00210369	0.00279935	0.016572	0.00602132
z	0.0124503	0.964962	0.00263579	0.00119353	0.000370838	0.0139836	0.00440335
ú	0.00493493	0.984212	0.000622499	0.000237951	0.000274474	0.00850025	0.0012181
e	0.00539976	0.94018	0.0121413	0.0032194	0.00349675	0.0270688	0.00849424
b	0.338888	0.219184	0.0892016	0.056628	0.0171676	0.00667359	0.272257
á	0.374364	0.0543034	0.343028	0.104843	0.0338068	0.0123355	0.0773196
b	0.16256	0.0479289	0.65719	0.0520532	0.0281942	0.0095105	0.0425627
á	0.283786	0.0485774	0.487754	0.0707918	0.0328366	0.0235994	0.0526542
a	0.317245	0.0397821	0.422422	0.0550117	0.0662866	0.0284173	0.0708352
b	0.0287025	0.017876	0.435967	0.385882	0.0612881	0.00579491	0.064489
ω	0.144471	0.0108794	0.526781	0.220991	0.0289572	0.0290627	0.0388573
n	0.0543849	0.018372	0.299582	0.375193	0.0684438	0.0334597	0.150564
g	0.113837	0.107769	0.290673	0.346911	0.0426242	0.025146	0.0730403
ώ	0.169172	0.0834763	0.58011	0.07326	0.0338996	0.0321448	0.027938
n	0.0134271	0.00562019	0.233324	0.256095	0.420019	0.0601757	0.0113389
d	0.0175872	0.0505984	0.380021	0.0994692	0.0953497	0.285316	0.0716588
z	0.00207751	0.0427905	0.0909719	0.178707	0.0901236	0.486475	0.108854
ú	0.00155032	0.0629103	0.0341359	0.0513064	0.0323077	0.737869	0.07992
e	0.0115711	0.137613	0.0791074	0.0337153	0.031943	0.444458	0.261592
n	0.00665488	0.00124334	0.0607383	0.339609	0.226013	0.0900984	0.275643
d	0.00813347	0.00644153	0.0636017	0.151761	0.159945	0.223769	0.386348
z	0.00130383	0.00439763	0.0202128	0.098408	0.116843	0.440765	0.318069
í	0.000485161	0.00343078	0.00708581	0.0513453	0.0453815	0.688363	0.203909
í	0.00109037	0.00407822	0.0348288	0.0842333	0.0558969	0.120547	0.699325
</S>	0.00125852	0.000355188	0.00878204	0.0753449	0.0988441	0.0473206	0.768095
