 	celui	qui	vient	après	moi	va	ramasser	l'	argent	que	j'	ai	fait	tomber	</S>
o	0.688682	0.140881	0.0404104	0.0674485	0.0309423	0.0089693	0.00435697	0.00552679	0.00380622	0.00278164	0.00308562	0.00113854	0.00153761	0.000310931	0.000123022
l	0.0632124	0.0613091	0.316332	0.397733	0.0296305	0.0329687	0.0162356	0.00393563	0.00435059	0.00333907	0.00917226	0.00300466	0.00678992	0.0436359	0.00835048
ω	0.00703628	0.0354663	0.214301	0.28532	0.00816948	0.0710255	0.216274	0.00611138	0.0114661	0.0109846	0.00835001	0.0164521	0.0155441	0.0265094	0.0669899
n	0.0221214	0.109564	0.312688	0.199652	0.0182093	0.106331	0.107884	0.0154709	0.0246754	0.00863542	0.00268027	0.00431668	0.0136352	0.0416931	0.0124444
d	0.104114	0.123746	0.278018	0.275864	0.0478403	0.0381415	0.0410273	0.0140626	0.00272862	0.0115675	0.00226748	0.0129573	0.012353	0.00625499	0.0290571
i	0.0605603	0.0495023	0.0988854	0.360512	0.0706721	0.0602221	0.0764108	0.0305382	0.0123924	0.0250153	0.00361059	0.0162941	0.0143994	0.00816497	0.11282
i	0.0249772	0.0836353	0.0523981	0.221915	0.239433	0.187389	0.0427915	0.0535396	0.0227692	0.0317244	0.00600151	0.0100144	0.00752971	0.00319286	0.0126884
n	0.000797627	0.00913011	0.0258763	0.131703	0.150431	0.482726	0.0722183	0.0345136	0.0349186	0.00948365	0.00335858	0.00717151	0.00492902	0.0126161	0.0201272
g	0.00150314	0.00237549	0.00197564	0.198891	0.712678	0.033937	0.00599812	0.016589	0.011225	0.00184392	0.00852818	0.00123422	0.000545202	0.000920778	0.00175568
á	0.000616417	0.00127245	0.00137344	0.233658	0.579481	0.0623841	0.0382079	0.0429586	0.0299398	0.00158305	0.00509811	0.00108265	0.000326337	0.000405359	0.00161356
l	0.00117315	0.00464564	0.0055375	0.0454712	0.123279	0.414603	0.189757	0.141568	0.0283995	0.013992	0.000847271	0.0093904	0.0129027	0.00283902	0.00559426
á	0.00156574	0.00736029	0.0198229	0.0746806	0.108959	0.314151	0.219157	0.0563267	0.0102374	0.0135536	0.00945809	0.0203854	0.0117845	0.00422685	0.12833
a	0.0101103	0.0172065	0.00677885	0.0823916	0.157814	0.19004	0.125649	0.259514	0.0783686	0.0350356	0.01224	0.0093836	0.00678862	0.00323361	0.00544537
t	0.000692688	0.003794	0.0152197	0.0200574	0.0163525	0.210657	0.639432	0.0326529	0.0173096	0.00603303	0.00160915	0.00704203	0.00812689	0.00682423	0.0141964
