 	la	mère	fait	pisser	l'	enfant	avant	de	le	mettre	au	lit	</S>
n	0.958846	0.0350366	0.00079927	0.000378125	0.0026472	0.000800127	0.000674798	0.000141526	0.000166062	0.000337303	8.84506e-05	7.15409e-05	1.28906e-05
g	0.842797	0.149776	0.000773787	0.000549728	0.00592318	6.2877e-05	1.65883e-05	1.46117e-05	1.73442e-05	3.05946e-05	3.16414e-05	2.58969e-06	3.68804e-06
ó	0.22694	0.761258	0.000639613	0.0017817	0.00686754	0.00209159	7.50144e-05	2.6327e-05	7.88258e-05	9.47699e-05	0.000105338	2.91021e-05	1.15481e-05
o	0.0138953	0.977698	0.000188316	0.0048186	0.00198432	0.00101056	7.46742e-05	1.75143e-05	3.13253e-05	2.90042e-05	6.35576e-05	3.15975e-05	0.000156921
l	0.165632	0.00540203	0.684553	0.0757902	0.0161685	0.00567868	0.00154113	0.0145216	0.00584161	0.00282767	0.00974025	0.00223375	0.01007
á	0.0758281	0.0216086	0.0797847	0.150865	0.0570704	0.0109497	0.00439079	0.0578402	0.0444735	0.0351197	0.041701	0.0105441	0.409824
a	0.357538	0.00146381	0.402049	0.065726	0.0645108	0.054016	0.00194673	0.00769303	0.00612849	0.00583357	0.00859797	0.00312536	0.0213707
s	0.00551578	0.000529759	0.175147	0.678007	0.0416474	0.0614488	0.00837316	0.00300213	0.00340815	0.00286399	0.00202844	0.00445206	0.0135764
í	0.000723868	2.59925e-05	0.00361923	0.976276	0.0111418	0.00287765	0.00320744	5.98734e-05	0.000152339	0.000123176	0.00012705	0.000500362	0.00116558
n	0.0266125	3.361e-05	0.159437	0.290179	0.208413	0.162677	0.00762771	0.00431251	0.00750262	0.00477238	0.00791073	0.00564808	0.114873
y	0.00448054	1.59462e-05	0.0734733	0.507942	0.353808	0.0194418	0.00713308	0.00567425	0.00494328	0.00509057	0.00447015	0.00195747	0.0115701
í	0.00232213	1.8094e-06	0.068361	0.486779	0.118372	0.0132175	0.0222219	0.0201538	0.0250989	0.0255208	0.0113632	0.0152622	0.191326
s	0.005409	8.37168e-06	0.15963	0.155711	0.554157	0.0370808	0.0187638	0.0260768	0.0110351	0.00597734	0.0117407	0.00229303	0.0121161
á	0.00516591	1.07638e-06	0.00387824	0.121926	0.780133	0.0429192	0.0118756	0.00882348	0.00665623	0.00545293	0.00252678	0.00190734	0.00873485
m	0.00217134	0.000114191	0.00633887	0.0339162	0.68953	0.216793	0.0166922	0.00997143	0.00734407	0.0052073	0.00640844	0.00167479	0.00383757
w	2.09227e-05	8.04956e-07	0.000901031	0.000295737	0.00411175	0.986081	0.00481948	0.000765986	0.000648811	0.000186303	0.000287647	8.43864e-05	0.00179653
á	1.05718e-05	1.9168e-07	3.92308e-05	6.53957e-05	0.00019444	0.99848	0.000913189	5.42834e-05	6.14478e-05	4.92939e-05	4.5155e-06	1.46438e-05	0.00011332
n	0.00131082	2.7949e-05	0.0100556	0.000603698	0.0496734	0.882817	0.0359939	0.00722912	0.00599151	0.00228169	0.00177882	0.000354544	0.00188177
a	0.0010782	3.56157e-05	0.0168421	0.0020144	0.0468429	0.886966	0.0221204	0.00437055	0.00347213	0.0011332	0.00184673	0.00096472	0.0123127
o	0.00145923	3.26442e-05	0.0107198	0.00962772	0.0758572	0.0120202	0.11723	0.493274	0.147056	0.0485086	0.0584703	0.00604659	0.0196977
