 	la	peau	est	bien	assouplie	maintenant	</S>
e	0.83333	0.152963	0.00590338	0.0066152	0.000718337	0.000418629	5.13204e-05
k	0.0377238	0.955007	0.00628718	0.000362314	0.000146764	0.000335801	0.000137419
ó	0.0162125	0.972039	0.00645257	0.000900961	5.12218e-05	0.00362439	0.000719045
r	0.0086217	0.973344	0.0146079	0.00128361	0.000135366	0.000699151	0.0013084
ó	0.165434	0.769426	0.0158056	0.00533115	0.00762161	0.00412309	0.0322588
é	0.533217	0.264508	0.153039	0.0220713	0.00812384	0.00592578	0.0131148
b	0.119588	0.127626	0.515532	0.149844	0.0258085	0.014633	0.0469693
h	0.0896799	0.131734	0.296226	0.415592	0.0134455	0.022848	0.0304753
i	0.0829473	0.0602896	0.199231	0.588658	0.0136535	0.0192699	0.0359508
w	0.0280988	0.0115288	0.160087	0.349814	0.126128	0.0857816	0.238562
a	0.0598802	0.00670688	0.0803267	0.301535	0.433138	0.0765915	0.0418215
n	0.00628168	0.000901747	0.0278662	0.177218	0.563678	0.133836	0.0902185
g	0.00355641	0.0004949	0.00117031	0.0210217	0.953467	0.00927221	0.0110177
a	0.00124393	0.000453223	0.00154461	0.00674559	0.978037	0.00903689	0.00293893
w	0.0073247	0.00872653	0.0364282	0.0742955	0.424036	0.14468	0.304509
a	0.0237169	0.0210224	0.0677153	0.120445	0.16227	0.524962	0.0798687
n	0.00446253	0.00184845	0.0213713	0.0494606	0.107567	0.435406	0.379884
g	0.0109098	0.00402764	0.00171947	0.0390165	0.694445	0.0509491	0.198932
a	0.00120455	0.0012578	0.000859316	0.00787334	0.903857	0.0398152	0.0451331
</S>	0.00178498	0.00163178	0.00748458	0.0349141	0.0759402	0.365045	0.5132
