 	les	sorciers	envoûtent	les	gens	</S>
a	0.938534	0.0489728	0.00965749	0.000715037	0.0020951	2.59536e-05
n	0.208327	0.783245	0.00692986	0.000739475	0.000502466	0.000256049
d	0.0643914	0.763709	0.0844557	0.0282651	0.0175227	0.041656
z	0.0977136	0.872881	0.0148268	0.00374279	0.0021462	0.00868984
i	0.0982659	0.870621	0.00369821	0.00435284	0.00540484	0.0176576
m	0.383893	0.566652	0.0123108	0.00721849	0.00146736	0.028458
b	0.439285	0.521755	0.019544	0.0104099	0.00136547	0.00764046
á	0.450681	0.418211	0.0565763	0.0171367	0.00775431	0.0496398
b	0.149337	0.399813	0.347655	0.0526094	0.00414169	0.0464447
á	0.183147	0.0664617	0.310445	0.246465	0.110163	0.083318
a	0.182799	0.0914763	0.59942	0.0573668	0.0518278	0.0171104
p	0.0196885	0.187028	0.237214	0.232768	0.0158472	0.307453
έ	0.0291206	0.117703	0.339692	0.183057	0.0280947	0.302332
b	0.335252	0.205058	0.135076	0.082052	0.0130614	0.229501
a	0.219553	0.037404	0.476551	0.168718	0.0529922	0.044781
r	0.0140419	0.00802607	0.509514	0.163842	0.232926	0.07165
e	0.0881825	0.054335	0.109813	0.418853	0.107578	0.221239
i	0.0067576	0.00953628	0.0912559	0.718474	0.0579995	0.115977
s	0.0218512	0.0250089	0.0130887	0.322093	0.397015	0.220943
ó	0.00435723	0.00433041	0.0012168	0.327495	0.0560867	0.606514
n	0.00225586	0.00387438	0.00299626	0.225842	0.177652	0.587379
g	0.00482838	0.0450427	0.0186109	0.419977	0.207332	0.304209
í	0.00963035	0.0920617	0.027792	0.201929	0.109051	0.559535
s	0.00623243	0.00969025	0.002924	0.382066	0.0499554	0.549132
í	0.023949	0.0170309	0.00268532	0.284176	0.0613625	0.610797
</S>	0.0360441	0.00651297	0.0106698	0.222502	0.183248	0.541023
