 	comment	je	vais	faire	</S>
n	0.621118	0.364425	0.0111425	0.00190145	0.00141313
g	0.14919	0.845484	0.00463598	0.000371128	0.000318939
á	0.0698913	0.924535	0.00413408	0.00127505	0.000164122
l	0.454757	0.351733	0.0650906	0.0389971	0.0894228
í	0.0751649	0.522185	0.11395	0.0337719	0.254929
i	0.23354	0.28946	0.236396	0.0940963	0.146508
k	0.0481567	0.185382	0.421333	0.206195	0.138934
y	0.112239	0.0603306	0.18508	0.492856	0.149494
á	0.0373261	0.0205247	0.166197	0.529418	0.246534
b	0.040343	0.0516625	0.0944754	0.362943	0.450576
o	0.0396759	0.0497315	0.0243043	0.690995	0.195293
</S>	0.00607301	0.0151399	0.0273268	0.633206	0.318254
