 	la	manière	dont	il	regarde	ma	femme	montre	qu'	il	a	un	problème	</S>
e	0.131923	0.813612	0.0418478	0.0083025	0.000947142	0.00181106	1.85708e-05	0.000488982	0.00019664	9.80989e-05	0.00016311	0.000182794	0.000176114	0.000231588
l	0.0253322	0.0213546	0.166209	0.104414	0.166817	0.0764845	0.0271628	0.0218521	0.0292598	0.00632079	0.0694073	0.197833	0.0796198	0.0079329
é	0.0127895	0.022307	0.0628314	0.059338	0.484471	0.0414719	0.0177252	0.0821737	0.040161	0.00585157	0.0619672	0.0572483	0.0112089	0.0404556
n	0.00163985	0.00637483	0.145476	0.199024	0.314659	0.0863186	0.0230154	0.0537289	0.0303819	0.00804642	0.040101	0.071605	0.00764621	0.0119826
í	0.0572923	0.10584	0.0808094	0.258682	0.102492	0.153682	0.0621322	0.0349539	0.0242945	0.0165404	0.0256763	0.0141667	0.00771287	0.0557248
í	0.0195157	0.0159029	0.0296834	0.277129	0.253065	0.209588	0.0335455	0.0298123	0.0369898	0.0275065	0.0243116	0.0245256	0.00784913	0.0105755
l	0.0543247	0.0522281	0.111625	0.120087	0.282453	0.0234918	0.0265969	0.0430783	0.0337657	0.0200716	0.0404605	0.02521	0.0107504	0.155857
í	0.175422	0.111501	0.170342	0.0713218	0.0585478	0.0100461	0.0118394	0.0496463	0.027386	0.0186735	0.0453983	0.0217765	0.00794822	0.220151
y	0.0448639	0.100843	0.240186	0.210967	0.102215	0.0595104	0.0131569	0.0355124	0.0525342	0.0339927	0.0214986	0.0339661	0.00205623	0.0486976
é	0.0111555	0.0879486	0.545823	0.068	0.0989682	0.0432041	0.0221024	0.0288805	0.0177985	0.0191616	0.0127389	0.00573017	0.000928467	0.0375597
é	0.0379645	0.131649	0.379769	0.110624	0.126564	0.0340657	0.0128729	0.0253705	0.0257492	0.0202405	0.0117996	0.0150699	0.0026379	0.0656233
l	0.00816729	0.00328993	0.0357762	0.174307	0.509224	0.0255662	0.0350209	0.0418384	0.00912195	0.00594382	0.0509282	0.0389625	0.0142915	0.0475624
é	0.0014158	0.00135273	0.0595102	0.22706	0.457436	0.0342249	0.0260064	0.0489901	0.0100202	0.00768243	0.0402654	0.0374755	0.00419633	0.0443645
n	0.00114633	0.00321202	0.0802849	0.27338	0.376565	0.0542373	0.0500503	0.039694	0.0206598	0.0115015	0.0157659	0.0245027	0.00295527	0.046045
á	0.00170627	0.0041351	0.0753623	0.309364	0.271208	0.257013	0.0220147	0.0173089	0.00930776	0.0100665	0.00865103	0.00606923	0.000622237	0.00717038
á	0.00117595	0.0022336	0.0295982	0.3823	0.23333	0.0974062	0.0429866	0.0488073	0.056953	0.0576798	0.016847	0.0101936	0.00404766	0.0164406
w	0.00123774	0.00209923	0.014381	0.34175	0.145854	0.240622	0.0889861	0.0586164	0.0490345	0.0263282	0.00944906	0.0113245	0.00271358	0.00760306
a	0.00240379	0.00187029	0.00412101	0.257122	0.178095	0.0872477	0.0109292	0.109382	0.105159	0.10156	0.0589127	0.026514	0.0191174	0.0375653
n	0.000364552	0.000765093	0.00893705	0.168424	0.290548	0.126164	0.0618638	0.133332	0.0929165	0.0715226	0.0182561	0.0105606	0.00671858	0.00962742
g	0.0218634	0.0352215	0.0734765	0.160302	0.0506095	0.4601	0.0304759	0.0581177	0.0274475	0.0216203	0.0133687	0.00448952	0.00127652	0.0416309
á	0.00115757	0.00600736	0.0800297	0.104791	0.105555	0.502401	0.0548739	0.0667053	0.0229497	0.0164182	0.013779	0.00909575	0.00286193	0.0133758
m	0.00140939	0.000439008	0.0015414	0.0320065	0.0333562	0.245391	0.0163515	0.224272	0.275195	0.112213	0.0245942	0.0257465	0.00386628	0.00361821
w	0.00212706	0.00140057	0.000931007	0.0128136	0.00457311	0.101573	0.716096	0.0723655	0.0222301	0.0238107	0.0205389	0.0101657	0.000890923	0.0104837
á	0.000609408	0.00029176	0.000563116	0.0186705	0.0273153	0.0274277	0.726405	0.0822467	0.0186999	0.0575633	0.0234323	0.00250067	0.00508515	0.00918957
s	0.00449385	0.0139903	0.00450237	0.0411728	0.0053505	0.494689	0.0211608	0.0379715	0.101097	0.233833	0.0235748	0.00506274	0.00463644	0.00846532
í	0.0166993	0.0117248	0.00925585	0.0465208	0.100888	0.0516795	0.0417052	0.17518	0.164391	0.135201	0.0418916	0.00991577	0.00953678	0.185411
a	0.00532497	0.00306478	0.0124985	0.0241985	0.0156143	0.069338	0.0123097	0.211425	0.349623	0.143934	0.0725147	0.0657941	0.00678429	0.00757675
d	0.00234661	0.00102984	0.00523774	0.0134616	0.0314131	0.0644613	0.0112842	0.1729	0.0956746	0.0867273	0.26033	0.200011	0.0452385	0.00988382
í	0.000592951	0.000374692	0.00106185	0.0073592	0.00632248	0.0810172	0.00942085	0.103448	0.0711987	0.0461652	0.221164	0.159737	0.0372	0.254937
l	0.00174948	0.0023237	0.002677	0.00674807	0.00177159	0.07165	0.00185081	0.0478121	0.109687	0.051345	0.135193	0.379325	0.062911	0.124957
i	0.00158382	0.000591414	0.00209714	0.0101353	0.00752588	0.0121673	0.000598689	0.0393027	0.0614799	0.0553695	0.131198	0.18409	0.0753278	0.418532
b	0.000902976	0.000830527	0.000702608	0.00142989	0.00538517	0.014232	0.00104904	0.0289932	0.0347876	0.0332343	0.0991741	0.178922	0.405697	0.194659
h	0.000613257	0.00015665	0.00038296	0.0104736	0.00970673	0.0489968	0.000373208	0.00785672	0.0163604	0.0266564	0.0764804	0.0953683	0.683989	0.0225859
ώ	0.000176473	8.84768e-05	4.47776e-05	0.000722448	0.00190196	0.00324753	0.00014106	0.00763629	0.013486	0.00490471	0.0227523	0.0473935	0.852836	0.0446691
ω	3.16784e-05	0.000128877	0.000452182	0.000216108	0.000183329	0.00309093	3.32156e-05	0.0133941	0.0343812	0.0108974	0.0510641	0.177254	0.485574	0.223299
</S>	0.00028733	8.43707e-05	0.00032455	0.000427672	0.000101304	0.00469338	2.30181e-05	0.0110998	0.0204822	0.00824124	0.0749087	0.456764	0.160483	0.26208
