 	écrase-moi	bien	ces	feuilles	de	manioc	</S>
b	0.458401	0.129597	0.152419	0.131288	0.114685	0.0121254	0.00148487
h	0.430918	0.303549	0.125098	0.0601919	0.0554457	0.0221472	0.0026505
ω	0.580346	0.135249	0.192534	0.0617859	0.0145869	0.00881406	0.00668394
ω	0.373693	0.174232	0.126177	0.100912	0.0641273	0.117742	0.0431172
s	0.128371	0.490023	0.200547	0.114627	0.0347146	0.0102291	0.0214877
ώ	0.0794862	0.170141	0.323244	0.22366	0.058786	0.00325066	0.141432
n	0.011399	0.2705	0.35691	0.133653	0.0822088	0.0098566	0.135472
g	0.0447295	0.205354	0.373485	0.0891031	0.170176	0.00350808	0.113645
á	0.0503389	0.163411	0.323853	0.158312	0.155602	0.0100569	0.138427
a	0.0319954	0.0834845	0.327043	0.156362	0.279301	0.0857534	0.0360598
y	0.0100144	0.0347309	0.177122	0.360333	0.229267	0.160478	0.0280552
a	0.00354612	0.0146093	0.165575	0.32812	0.130896	0.0804517	0.276801
a	0.00327126	0.0126055	0.133682	0.118866	0.254876	0.168123	0.308576
m	0.000534874	0.0395503	0.127529	0.141959	0.2568	0.171477	0.26215
έ	0.0159982	0.0534294	0.217801	0.0777686	0.2879	0.0498168	0.297285
</S>	0.00404047	0.020608	0.172767	0.117457	0.265752	0.255209	0.164167
