 	il	tord	les	brins	de	la	corde	</S>
w	0.915062	0.0623836	0.0139802	0.00221618	0.00249373	0.00270921	0.000859654	0.00029555
a	0.914905	0.022637	0.0398185	0.000876586	0.00373916	0.0167342	0.00113198	0.00015768
l	0.419748	0.302978	0.204405	0.0239194	0.0141095	0.0107958	0.00251202	0.0215325
á	0.135568	0.109527	0.366012	0.0375878	0.0597807	0.0316515	0.00815256	0.251721
a	0.20222	0.165278	0.353632	0.0715708	0.026977	0.0239728	0.0556318	0.100718
n	0.0210602	0.717179	0.180341	0.0714808	0.00460946	0.000995443	0.000766631	0.00356691
y	0.0112182	0.950824	0.0219079	0.00601273	0.00149123	0.000493075	0.00455239	0.00350018
i	0.0661004	0.675141	0.114241	0.102783	0.0130791	0.0031958	0.018331	0.00712888
á	0.0111412	0.153322	0.336637	0.301683	0.152035	0.0175995	0.00849134	0.0190911
n	0.0128036	0.0130343	0.200248	0.424315	0.256278	0.0672013	0.0170994	0.00901943
d	0.0240702	0.0926482	0.259784	0.200691	0.234194	0.0788882	0.0498459	0.0598788
z	0.00330163	0.0200854	0.0708368	0.196663	0.196283	0.0580132	0.360562	0.0942546
í	0.00203591	0.0214272	0.0522304	0.535527	0.213884	0.0318926	0.109035	0.033968
m	0.00126541	0.0243888	0.0340716	0.129543	0.337371	0.116461	0.185731	0.171169
b	0.00303099	0.00140589	0.0587375	0.164979	0.375241	0.117685	0.0743515	0.204568
á	0.0043667	0.017731	0.0416582	0.142106	0.348872	0.125387	0.096524	0.223355
y	0.00551313	0.00390538	0.0542847	0.0180154	0.183115	0.360786	0.0756557	0.298724
á	0.00442134	0.00054096	0.0194644	0.0518711	0.0651891	0.130462	0.655367	0.0726833
s	0.0013681	0.000119525	0.00235504	0.00385477	0.00378004	0.0399904	0.928395	0.0201368
i	0.000260194	3.52833e-05	0.000501246	0.000577641	0.0013822	0.0116927	0.964268	0.0212822
n	0.000130667	0.000119204	0.00053365	0.00113969	0.00328301	0.0196709	0.759278	0.215845
g	4.85486e-05	0.000262262	0.0012859	0.00434362	0.00991536	0.0445284	0.804228	0.135388
a	5.38741e-05	0.000383034	0.000880162	0.00445616	0.0105115	0.029445	0.7905	0.16377
</S>	0.000905965	0.0015643	0.0151952	0.00229724	0.0484764	0.187803	0.0799949	0.663763
