 	as-tu	achevé	ton	travail	</S>
o	0.977217	0.00472866	0.0091871	0.00700372	0.00186377
m	0.0961558	0.644721	0.0196357	0.220857	0.0186298
i	0.0539436	0.603378	0.0274048	0.231945	0.0833289
s	0.0194778	0.607955	0.00698395	0.0692894	0.296294
í	0.0154189	0.646993	0.0433056	0.0491885	0.245094
á	0.129805	0.325104	0.103102	0.133689	0.308299
o	0.408985	0.147806	0.333469	0.0835755	0.0261631
s	0.00623365	0.542304	0.0960586	0.32051	0.0348934
í	0.00839383	0.80644	0.0233364	0.125255	0.0365745
í	0.0378059	0.168248	0.102355	0.203031	0.488561
s	0.0227659	0.0792468	0.482049	0.328211	0.087727
á	0.00411587	0.0922193	0.206937	0.391341	0.305386
i	0.0262287	0.0132343	0.332782	0.606319	0.0214354
s	0.00144861	0.015306	0.0443732	0.868865	0.0700072
á	0.000579059	0.0540716	0.0808508	0.765643	0.0988552
l	0.000989259	0.00770316	0.0789169	0.742942	0.169448
a	0.00198895	0.011758	0.264255	0.527407	0.194591
l	0.0020537	0.0109454	0.205891	0.282611	0.498499
á	0.00484827	0.0271858	0.119887	0.383329	0.46475
n	0.0275736	0.0113331	0.727875	0.131892	0.101326
ω	0.0206477	0.0225258	0.819847	0.0344022	0.102577
</S>	0.00360932	0.0226476	0.12597	0.224867	0.622907
