 	il	m'	a	aidé	à	faire	ma	case	</S>
w	0.754738	0.165093	0.0716245	0.00247301	0.00171081	0.00040741	0.00375397	0.000177619	2.18796e-05
a	0.663415	0.217683	0.103802	0.0057863	0.00406413	0.00062703	0.00442246	0.000190016	1.02408e-05
á	0.109531	0.332636	0.512733	0.0277051	0.0102071	0.00300232	0.0019572	0.00047423	0.00175442
y	0.0312964	0.119594	0.567293	0.241438	0.00924454	0.0129482	0.00319112	0.0012477	0.0137477
a	0.00859456	0.235022	0.455403	0.252429	0.00335188	0.00555368	0.0035308	0.00282709	0.0332886
m	0.0127342	0.0984648	0.442912	0.412016	0.00466749	0.00335417	0.003125	0.00387032	0.0188564
b	0.0212495	0.127826	0.395503	0.402038	0.00933975	0.00220155	0.00522061	0.0299728	0.00664938
i	0.0553622	0.0392723	0.269194	0.483635	0.100581	0.0195569	0.00308189	0.00228784	0.0270295
n	0.185959	0.49171	0.0947015	0.0454013	0.0892455	0.0221228	0.0288423	0.0136829	0.0283346
g	0.0144132	0.583556	0.0233128	0.026494	0.0167505	0.00472811	0.0919789	0.225737	0.0130296
á	0.00398787	0.695994	0.0334017	0.0217237	0.0258964	0.00937041	0.0693644	0.123685	0.0165766
m	0.00890737	0.0172394	0.0572588	0.118342	0.641142	0.102231	0.0300809	0.0129858	0.0118126
ó	0.00415044	0.00212804	0.00379449	0.0298988	0.64408	0.127407	0.0515955	0.0353333	0.101613
i	0.00241079	0.00268552	0.0175654	0.0899621	0.556477	0.29997	0.00694202	0.00591574	0.0180715
t	0.000145552	0.000122447	0.00161854	0.0422387	0.49517	0.445482	0.000498724	0.000252457	0.0144715
ó	0.000372226	0.000104286	0.00126412	0.0126147	0.15756	0.816081	0.000330924	0.000130361	0.0115416
n	0.000231902	0.000300119	0.00517172	0.0923228	0.222361	0.608533	0.00208567	0.000281614	0.0687128
g	0.000846033	0.000476254	0.00575098	0.102002	0.346988	0.404228	0.00694863	0.000923542	0.131837
a	0.0137996	0.0322478	0.0154707	0.0869423	0.328507	0.298256	0.0938505	0.020276	0.11065
l	0.00243516	0.00604845	0.0139276	0.0084859	0.131044	0.367988	0.270368	0.00836107	0.191342
á	0.00107124	0.00414095	0.00581834	0.0100937	0.0259327	0.15643	0.232636	0.015736	0.548141
n	0.00149317	0.0094134	0.00471534	0.00310545	0.0150763	0.042779	0.599102	0.297048	0.0272672
d	0.000108478	0.0105161	0.000285834	0.00046466	0.00306937	0.00615864	0.396616	0.578484	0.00429704
é	0.000124622	0.00236603	0.000248923	0.000272096	0.00299741	0.00889905	0.611155	0.353846	0.020091
e	6.06096e-05	0.000289141	0.000760939	0.00241756	0.0491513	0.172314	0.223572	0.118625	0.43281
</S>	0.000289532	0.000226863	0.00233492	0.00359511	0.0220279	0.0882734	0.172395	0.0438234	0.667034
