 	il	est	coordonnier	</S>
w	0.957385	0.0422445	0.000275174	9.47351e-05
a	0.926993	0.0681366	0.00159008	0.00328035
a	0.484702	0.454934	0.0210109	0.0393528
d	0.0719455	0.804267	0.0645922	0.0591952
í	0.048858	0.665354	0.0766884	0.209099
o	0.0492676	0.24029	0.0707572	0.639685
l	0.00375966	0.110527	0.860497	0.0252158
o	0.00103283	0.124922	0.85613	0.0179145
n	0.00238028	0.0541185	0.894899	0.048602
d	0.0182009	0.12579	0.626757	0.229253
i	0.0766118	0.132776	0.522319	0.268294
m	0.127274	0.0416404	0.159168	0.671918
y	0.155322	0.0191834	0.120844	0.704651
e	0.00689772	0.0316793	0.530116	0.431307
r	0.0015594	0.00862043	0.198015	0.791805
é	0.00241102	0.00732244	0.296372	0.693895
m	0.00372055	0.0146329	0.137991	0.843656
á	0.0623104	0.045698	0.0837379	0.808254
a	0.0388538	0.0530189	0.691862	0.216266
k	0.00493404	0.0755607	0.788113	0.131392
o	0.0108571	0.0503065	0.619748	0.319089
o	0.00269438	0.0178105	0.668035	0.31146
</S>	0.00637207	0.0160918	0.154783	0.822753
