 	notre	maman	a	un	champ	d'	oseille	</S>
n	0.193534	0.793072	0.00509626	0.00143839	0.00572256	0.000316052	0.000736438	8.38824e-05
g	0.154243	0.742087	0.020437	0.061773	0.0197814	0.00050156	0.000521997	0.000654982
ó	0.0720755	0.787359	0.00618646	0.00981926	0.124037	0.00017797	0.000211787	0.000133321
o	0.0474883	0.805702	0.00991869	0.0182927	0.11826	9.78987e-05	0.000155737	8.40249e-05
y	0.357241	0.214125	0.243603	0.119301	0.0200903	0.026311	0.00205681	0.017272
a	0.903567	0.0366153	0.0258013	0.0136417	0.00702356	0.00868888	0.000173778	0.00448832
b	0.884672	0.0101517	0.0672615	0.0288104	0.00459843	0.00235691	3.24635e-05	0.00211624
í	0.919359	0.00827391	0.0367292	0.015055	0.000339314	0.00266854	0.0149853	0.00259005
s	0.959711	0.0188501	0.0119923	0.00571327	0.000859478	0.00104908	0.00125136	0.000573397
í	0.449119	0.12283	0.135475	0.0942296	0.0183587	0.0162813	0.000704008	0.163003
a	0.059061	0.00973522	0.451406	0.334719	0.0802402	0.0340015	0.00152374	0.0293132
d	0.000718538	0.00162782	0.53181	0.357639	0.0151114	0.033027	0.00163939	0.0584269
í	0.0271847	0.00257593	0.333039	0.522584	0.0261492	0.0131157	0.000135505	0.075216
l	0.00424551	0.000101792	0.229481	0.484555	0.0068462	0.12689	0.000822806	0.147058
a	0.00248631	6.48148e-05	0.302121	0.526764	0.0111918	0.0480871	0.000956544	0.108329
k	0.00464393	9.61526e-05	0.148368	0.357591	0.278131	0.0886483	0.00510761	0.117414
ú	0.00136977	6.84126e-05	0.134448	0.492839	0.221303	0.0364768	0.0664382	0.0470572
b	0.0052245	0.000345238	0.10372	0.696185	0.0780345	0.0748494	0.00241187	0.039229
h	0.529918	0.000144266	0.0126882	0.150777	0.0417159	0.0909886	0.0513163	0.122452
á	0.0015589	1.11786e-05	0.0133525	0.199571	0.0450832	0.528518	0.0101195	0.201786
y	0.000102588	9.05489e-06	0.0185473	0.0399336	0.0160296	0.456001	0.05915	0.410227
á	0.00401385	0.000105735	0.0432536	0.238043	0.0692294	0.3598	0.0108267	0.274727
b	0.00927292	0.000391197	0.0103108	0.0562836	0.0341451	0.460173	0.237296	0.192127
v	0.00244039	5.50441e-05	0.00520363	0.0132252	0.000766263	0.0720817	0.889742	0.016486
i	0.000912892	2.37125e-06	0.00029215	0.00219508	0.00011735	0.00894036	0.980457	0.00708256
á	8.56453e-05	4.23588e-06	0.00241138	0.0178298	0.00102809	0.245371	0.298443	0.434827
</S>	0.000629582	7.50869e-05	0.0258396	0.038963	0.00694138	0.212382	0.35393	0.361239
