 	beaucoup	de	voleurs	sont	prudents	mais	certain	d'	entre	eux	ne	sont	pas	intelligents	</S>
m	0.27339	0.339291	0.342116	0.00969561	0.0106885	0.00869268	0.00525863	0.00484194	0.000809317	0.00206637	0.000949536	0.000704101	0.00126712	4.64913e-05	0.000183365
í	0.0788761	0.359258	0.458808	0.0257983	0.00175086	0.0184571	0.00224415	0.0122805	0.00234197	0.00866038	0.000864743	0.008122	0.00395261	0.00170214	0.0168833
b	0.347601	0.492866	0.0881131	0.0281374	0.00368073	0.00852454	0.010991	0.00542215	0.00269747	0.00679913	0.00054683	0.00170308	0.000424259	0.000666727	0.00182605
i	0.16078	0.577625	0.127377	0.026905	0.0204183	0.0032476	0.0463464	0.0110785	0.00439383	0.00592757	0.00551661	0.00164058	0.000739374	0.000221421	0.00778302
i	0.18472	0.3189	0.327099	0.0976768	0.00685159	0.0052955	0.011076	0.0122964	0.00293131	0.00549769	0.00675346	0.00402504	0.00260846	0.000310621	0.0139587
y	0.148462	0.119819	0.184172	0.247159	0.0356224	0.0130151	0.0161855	0.0280699	0.0118038	0.0116025	0.0236201	0.0209979	0.0177842	0.00174927	0.119937
í	0.185116	0.266394	0.0194482	0.226821	0.0147882	0.0301313	0.0324947	0.0354668	0.0268748	0.0173257	0.0068454	0.0176943	0.00556095	0.0209091	0.094129
í	0.063662	0.0707586	0.0726249	0.37591	0.0179465	0.0184332	0.0203346	0.0433951	0.0328946	0.0394519	0.00942071	0.0270438	0.0142323	0.0142092	0.179683
í	0.0644593	0.0291063	0.0255464	0.644831	0.0839494	0.0255152	0.014299	0.0185818	0.00760759	0.00807733	0.00904342	0.0147845	0.00784688	0.00201269	0.0443394
d	0.0156859	0.0132247	0.0254501	0.429414	0.324385	0.0333436	0.0336023	0.0218997	0.0137148	0.00699252	0.0203776	0.0142532	0.00941633	0.00475439	0.0334859
í	0.0144189	0.00442864	0.00634208	0.347561	0.258748	0.03639	0.023878	0.0239212	0.00965772	0.00865112	0.0163612	0.0287811	0.0173322	0.0257128	0.177816
a	0.0115356	0.00487183	0.00863957	0.259638	0.353785	0.0475893	0.0256213	0.0218676	0.00761953	0.0113095	0.0336734	0.0282236	0.0425733	0.0164008	0.126652
k	0.00668342	0.00545799	0.00369547	0.048562	0.673113	0.160932	0.0505512	0.0129701	0.00811545	0.00402832	0.00490289	0.00434567	0.00407955	0.00401065	0.0085519
a	0.000358816	0.000211635	0.000606285	0.00340455	0.9435	0.00693351	0.0277645	0.00171049	0.00151514	0.000256081	0.00306349	0.000444902	0.000553709	0.000855104	0.00882163
n	0.00250661	0.00196874	0.0034858	0.0133416	0.755674	0.0175187	0.145959	0.00910961	0.00263227	0.00178542	0.010182	0.00207299	0.0030861	0.00150874	0.0291679
í	0.0129412	0.0162464	0.000717734	0.0339529	0.713284	0.0528955	0.0579524	0.0335118	0.00987071	0.0111004	0.00933001	0.00579068	0.00490504	0.000486335	0.037015
w	0.00675248	0.0064055	0.00206774	0.0931127	0.299178	0.174353	0.283283	0.0397229	0.0164974	0.00916973	0.0188476	0.00692003	0.00664959	0.000744207	0.0362964
a	0.00636752	0.00647775	0.000936616	0.0320966	0.0947539	0.0905375	0.251935	0.119761	0.161574	0.061458	0.0640368	0.0217661	0.0179949	0.0023309	0.0679734
m	0.00236479	0.00185834	0.00204428	0.0562102	0.0805214	0.195365	0.331551	0.113859	0.0424479	0.0379132	0.0185836	0.01767	0.00916944	0.00148536	0.0889572
έ	0.0194439	0.049045	0.022858	0.0328997	0.0190994	0.110878	0.284645	0.169258	0.0303796	0.190045	0.0301012	0.0232639	0.00539412	0.00112342	0.0115663
n	0.0054098	0.0110663	0.00377268	0.039713	0.0466123	0.213447	0.294145	0.211684	0.0553979	0.034704	0.0485169	0.0145642	0.010494	0.00169256	0.0087804
d	0.0056441	0.00953243	0.000173856	0.00444142	0.0182512	0.536228	0.0460196	0.173032	0.0815179	0.0560946	0.00277263	0.0158916	0.00555985	0.00208284	0.0427584
e	0.00126743	0.00185038	2.94045e-05	0.0015857	0.0183703	0.512093	0.0758027	0.129363	0.131935	0.0236404	0.00351898	0.010046	0.00493043	0.0142974	0.0712703
n	0.000461673	0.00108096	1.78839e-05	0.00626842	0.0234041	0.158869	0.0897874	0.240213	0.298167	0.0485453	0.00776978	0.0225939	0.00910912	0.0258102	0.0679016
d	0.00444552	0.00912862	0.000134069	0.00705381	0.0560147	0.273481	0.161082	0.229834	0.0769319	0.0327871	0.00695234	0.0184997	0.00987079	0.00383086	0.109954
