 	ces	jeunes	filles	ont	le	même	âge	</S>
b	0.641838	0.276776	0.0494122	0.0155593	0.00407557	0.00607292	0.00563468	0.000631429
á	0.181146	0.702679	0.0744652	0.0172192	0.00449311	0.00648173	0.012163	0.00135346
n	0.0857025	0.838588	0.0204005	0.027827	0.00520343	0.00267355	0.00700454	0.012601
a	0.302659	0.57669	0.0413195	0.0104888	0.00796121	0.00136407	0.0110094	0.0485071
b	0.439465	0.2727	0.163995	0.0408446	0.0171495	0.0254405	0.0096629	0.0307426
á	0.129802	0.443323	0.243961	0.0662981	0.0248617	0.0221836	0.0154646	0.054106
y	0.146049	0.399173	0.134689	0.0958661	0.0275599	0.02471	0.0260728	0.14588
u	0.480015	0.227823	0.159578	0.0441644	0.0363845	0.00533894	0.00291503	0.0437809
r	0.561835	0.119915	0.138851	0.0633598	0.0552737	0.0132016	0.00469447	0.0428684
u	0.604181	0.186916	0.132676	0.019422	0.0311981	0.0053326	0.00310755	0.0171661
b	0.0434047	0.0358546	0.361519	0.393533	0.0821596	0.0469855	0.00228071	0.034263
á	0.146243	0.2597	0.211441	0.164472	0.0935402	0.0488949	0.0313768	0.0443323
á	0.0657494	0.132387	0.250503	0.266112	0.0982879	0.0591218	0.0267014	0.101137
d	0.00637708	0.00565578	0.0579768	0.33519	0.243672	0.237735	0.0155344	0.0978584
í	0.00591589	0.0011869	0.0085406	0.179445	0.220346	0.0884977	0.0113952	0.484673
a	0.00919056	0.00329063	0.0253681	0.0731264	0.233672	0.370897	0.0497275	0.234727
b	0.0113678	0.00356015	0.0183949	0.0391637	0.282744	0.30668	0.237332	0.100757
i	0.0138793	0.0191685	0.0283749	0.0316489	0.0874708	0.0811789	0.697622	0.0406571
a	0.00327807	0.00243003	0.00566916	0.0191405	0.092395	0.0809111	0.356326	0.43985
b	0.00264956	0.00107545	0.00517641	0.0126981	0.114711	0.347837	0.252751	0.263102
é	0.0370371	0.0360553	0.0963384	0.0478029	0.122029	0.200008	0.321162	0.139567
k	0.00462565	0.00336138	0.0094023	0.0179836	0.0581554	0.0657135	0.324316	0.516442
ó	0.00529975	0.00411983	0.0140396	0.0161144	0.127962	0.160455	0.304021	0.367989
</S>	0.00039182	0.000281632	0.0155538	0.015936	0.123688	0.160122	0.178727	0.505299
