 	les	petits	villages	sont	bâtis	avec	deux	rangées	de	maisons	</S>
a	0.638827	0.253263	0.105739	0.000706094	0.000124604	0.000294888	0.00052549	0.000312993	0.000161154	3.65373e-05	8.96051e-06
p	0.148327	0.0942173	0.746193	0.00316403	0.0021285	0.00173878	0.00171377	0.000943066	0.000453474	0.000449721	0.00067166
o	0.115527	0.123317	0.600214	0.065359	0.028519	0.0213943	0.0157589	0.013735	0.00384191	0.00382776	0.00850684
o	0.0457768	0.0393104	0.698115	0.035992	0.0301457	0.0279575	0.0261789	0.0293742	0.00639236	0.00702737	0.0537294
m	0.231064	0.29822	0.202508	0.175872	0.0271066	0.0144522	0.00768833	0.00659404	0.00659769	0.00193348	0.0279637
á	0.128169	0.209174	0.030916	0.216277	0.244982	0.105634	0.0140343	0.00261135	0.0175041	0.00334567	0.0273524
t	0.1436	0.372257	0.299908	0.140647	0.0261866	0.00546939	0.00398242	0.0017734	0.00191003	0.00114485	0.0031223
á	0.0508593	0.0973416	0.286027	0.287979	0.221385	0.0226209	0.0101499	0.0100386	0.0047154	0.00336925	0.00551396
a	0.0380351	0.101742	0.304931	0.211041	0.263461	0.0135826	0.0060106	0.00322089	0.00365163	0.00487939	0.0494451
t	0.0176853	0.0371637	0.0231288	0.499039	0.260299	0.0947571	0.0254283	0.00964756	0.0133833	0.0035874	0.0158803
í	0.00229747	0.00318517	0.0565928	0.251428	0.592844	0.036068	0.0195194	0.01625	0.00717955	0.00239865	0.0122367
á	0.00158725	0.0118343	0.0498774	0.194306	0.524078	0.0353543	0.0267775	0.0137723	0.00753997	0.00766698	0.127206
d	0.00548185	0.00885532	0.00331323	0.163883	0.329951	0.245306	0.140045	0.046297	0.0162524	0.00726173	0.0333533
i	0.00122941	0.00144773	0.000279619	0.0324171	0.337946	0.276087	0.122192	0.0646128	0.0205848	0.00912088	0.134082
í	0.0019285	0.00332887	0.000201028	0.0199788	0.0890444	0.244265	0.413307	0.131473	0.0579131	0.00938544	0.0291752
l	0.00342525	0.003744	0.000207192	0.0283275	0.0720826	0.24315	0.312761	0.255622	0.0572638	0.01141	0.0120078
a	0.00289076	0.00166311	0.000383982	0.0117736	0.0425179	0.117488	0.173822	0.388759	0.0935129	0.0520795	0.115109
l	0.00595787	0.00829434	0.000679086	0.021846	0.0407223	0.149022	0.320593	0.311575	0.0686693	0.050671	0.0219702
ω	0.00351014	0.00194286	0.000386631	0.00895253	0.0247616	0.0845335	0.232425	0.489719	0.0590922	0.0571357	0.0375404
n	0.00066859	0.000428342	0.000105311	0.00574991	0.0125103	0.0564379	0.136585	0.704397	0.0432523	0.0254817	0.0143844
g	0.000713112	0.0004147	0.000202131	0.00664175	0.0155798	0.097168	0.263565	0.495696	0.0628713	0.0267616	0.0303871
ω	0.00469991	0.00534902	0.000625407	0.0119857	0.00657774	0.0827714	0.194465	0.534708	0.0728497	0.0376096	0.0483577
á	0.000313747	0.000200647	0.000103782	0.00926571	0.0116861	0.0636544	0.171346	0.419905	0.201534	0.0358394	0.086151
b	0.00175501	0.000469128	0.000132653	0.00499617	0.0106785	0.102243	0.09797	0.142076	0.416999	0.179689	0.0429916
a	0.0064544	0.0199882	0.000305404	0.0178114	0.013369	0.070489	0.283133	0.122669	0.213067	0.135106	0.117607
á	0.00254305	0.00325485	0.000523664	0.00687777	0.0114602	0.0263934	0.114772	0.0841716	0.0850683	0.385341	0.279594
</S>	0.00149027	0.00141864	0.000214128	0.00693483	0.0100917	0.0309231	0.023199	0.0590537	0.3266	0.266347	0.273727
