 	il	est	bossu	</S>
w	0.912858	0.0656002	0.0184515	0.00308981
a	0.958246	0.0371768	0.00294311	0.00163392
a	0.123943	0.794258	0.00967507	0.0721243
d	0.101728	0.635616	0.0361015	0.226554
í	0.0447724	0.527693	0.00536185	0.422173
l	0.0202091	0.160903	0.0283279	0.79056
e	0.0663659	0.0781511	0.270225	0.585258
n	0.0122322	0.0767718	0.661029	0.249967
g	0.000529296	0.00458643	0.981264	0.0136205
ú	0.000904046	0.00479346	0.990229	0.00407341
l	0.000464989	0.00263363	0.9513	0.0456014
ε	0.0845176	0.0552206	0.618594	0.241668
</S>	0.029501	0.0266028	0.132946	0.81095
