 	la	mangue	est	tombée	</S>
m	0.948233	0.0471159	0.00435713	0.000249853	4.42873e-05
b	0.0529023	0.91549	0.017882	0.00150348	0.0122221
á	0.00845295	0.989504	0.000174462	0.00131667	0.000551714
n	0.00829653	0.988217	0.000157303	0.000131947	0.00319719
g	0.213835	0.694106	0.00278664	0.00709451	0.0821776
é	0.158603	0.820721	0.00397235	0.00448933	0.0122145
á	0.0617773	0.00487461	0.767546	0.0225491	0.143253
m	0.0120269	0.0106009	0.512471	0.340488	0.124413
i	0.0291445	0.00377174	0.497431	0.250182	0.21947
b	0.00467542	0.00704842	0.145711	0.683147	0.159418
v	0.00682368	0.0229658	0.20427	0.687463	0.0784776
a	0.00125512	0.0074031	0.127539	0.817234	0.0465685
</S>	0.00106166	0.000825012	0.00797766	0.262131	0.728005
