 	je	connais	tous	tes	enfants	</S>
n	0.944003	0.0226461	0.00706476	0.0243932	0.00174957	0.000143668
g	0.978322	0.00166678	0.000765567	0.0186086	0.000601619	3.54505e-05
á	0.976214	0.00896071	0.00119603	0.0106801	0.00287803	7.07228e-05
l	0.285318	0.328718	0.0928977	0.181497	0.0120159	0.0995542
í	0.534225	0.1109	0.0819793	0.097924	0.0311049	0.143867
i	0.0614867	0.218881	0.23531	0.307353	0.0242662	0.152703
y	0.00425332	0.912587	0.0680765	0.00260338	0.000532397	0.0119477
é	0.000274489	0.870876	0.120745	0.00122718	7.69757e-05	0.00680024
b	0.0131015	0.513985	0.31161	0.0813244	0.00539914	0.07458
h	0.0178942	0.354169	0.498481	0.111523	0.00102291	0.0169095
á	0.00278949	0.0268574	0.123905	0.460712	0.0290447	0.356691
b	0.0184251	0.065473	0.187499	0.620769	0.0874623	0.0203715
á	0.0653483	0.0199599	0.0803056	0.194599	0.615583	0.0242036
n	0.0508273	0.0213323	0.0815996	0.263942	0.511275	0.0710237
a	0.0251059	0.0103786	0.0781021	0.308694	0.461485	0.116234
b	0.00323661	0.0989856	0.296459	0.457782	0.0679132	0.0756242
á	0.0125326	0.0382111	0.323395	0.166526	0.0825983	0.376738
n	0.00654025	0.0106231	0.144066	0.28012	0.256558	0.302093
ω	0.00834745	0.00363553	0.042311	0.629297	0.179923	0.136486
á	0.00258335	0.0118444	0.0990475	0.219188	0.175218	0.492118
t	0.000927352	0.041366	0.224134	0.1598	0.0788579	0.494914
s	0.000579181	0.0514554	0.34767	0.340633	0.00851798	0.251144
ω	0.000930629	0.0291269	0.424972	0.302241	0.0491577	0.193572
</S>	0.000363678	0.00897523	0.154951	0.148253	0.00947536	0.677982
