 	cesse	d'	enforcer	tes	doigts	dans	la	nourriture	</S>
y	0.9308	0.0198935	0.0231565	0.00524763	0.00583102	0.00773813	0.00691111	0.000271865	0.000149809
í	0.926137	0.0123658	0.0274573	0.00955657	0.00281154	0.00453495	0.00458331	0.0024722	0.0100815
á	0.853443	0.0726717	0.0127719	0.0154285	0.00322855	0.00304182	0.000788532	0.000373215	0.0382525
b	0.410837	0.451568	0.0269646	0.0196003	0.00706572	0.00797885	0.00468949	0.00149757	0.0697985
e	0.0362133	0.294897	0.0638366	0.232563	0.0939287	0.0339163	0.0429452	0.155272	0.0464281
a	0.0204332	0.643705	0.0935469	0.0820623	0.0394154	0.0199863	0.011801	0.0179775	0.071072
o	0.0131387	0.759425	0.128657	0.0361347	0.0147103	0.0116968	0.0038411	0.00218603	0.03021
p	0.00804449	0.213612	0.75242	0.00781982	0.00519456	0.00328748	0.0013038	0.00260875	0.00570971
ε	0.00114506	0.0406643	0.948314	0.0029705	0.00137132	0.000963155	0.000287082	0.000395539	0.00388947
n	0.00623195	0.105324	0.755001	0.0314073	0.00624219	0.00838476	0.00520115	0.00309286	0.0791144
y	0.048721	0.233071	0.509867	0.161095	0.0161164	0.0102116	0.00401598	0.00347774	0.0134233
ε	0.00223261	0.108622	0.81273	0.0395511	0.0049044	0.0054377	0.00228088	0.0019028	0.022339
ε	0.000554133	0.107969	0.214761	0.331441	0.215477	0.0821806	0.0298719	0.00778103	0.00996379
</S>	0.00247498	0.0162631	0.185717	0.257915	0.328196	0.127041	0.0430244	0.0303489	0.0090199
