 	notre	maison	est	en	train	de	s'	écrouler	</S>
n	0.198423	0.630552	0.0597638	0.0744786	0.0134865	0.0155725	0.00745258	9.76607e-05	0.000172793
d	0.0330709	0.954876	0.00603937	0.00408673	0.000953955	0.000699272	0.000198224	4.77966e-05	2.81262e-05
é	0.00568665	0.987673	0.00236164	0.00211291	0.00135012	0.000467064	0.000259312	2.56314e-05	6.40822e-05
e	0.0170324	0.95107	0.00544945	0.00911918	0.0136527	0.00109986	0.000650858	0.000174207	0.00175145
y	0.213824	0.426644	0.153213	0.043342	0.00392623	0.0514061	0.053084	0.00111594	0.0534447
á	0.48809	0.135318	0.189421	0.0680608	0.00361827	0.0677551	0.0235535	0.000211989	0.0239709
b	0.86295	0.0567283	0.0481623	0.0255102	0.00112587	0.00271478	0.00122306	0.00028842	0.00129728
í	0.744946	0.00442173	0.0117487	0.0313322	0.205982	0.00100843	0.00049847	1.24679e-05	5.02803e-05
s	0.941658	0.000723959	0.00199379	0.0148811	0.0404451	0.000164798	0.000124872	1.81941e-06	6.06831e-06
í	0.170807	0.526389	0.0977036	0.124312	0.0300416	0.0329695	0.0114024	1.02679e-05	0.00636474
é	0.0119917	0.0242327	0.481987	0.156773	0.0132019	0.148396	0.129047	0.000811417	0.0335595
b	0.00488315	0.0113164	0.236464	0.0943562	0.00769805	0.297378	0.259467	0.0422452	0.0461925
h	0.0034457	0.000648457	0.0658109	0.229152	0.0499488	0.21891	0.407697	0.00459326	0.0197937
i	0.015246	0.00221708	0.108378	0.268833	0.0288497	0.238743	0.30001	0.00131222	0.0364113
y	0.0610057	0.00504414	0.0873894	0.0881653	0.0173956	0.181196	0.240258	0.0322864	0.28726
é	0.105385	0.00536365	0.174539	0.0891092	0.0273953	0.154609	0.0876063	0.0732166	0.282776
e	0.0578965	0.00486321	0.127772	0.17191	0.0461595	0.319839	0.148292	0.0534357	0.0698324
p	0.000678121	0.000696257	0.00970062	0.00549356	0.000709977	0.0880978	0.203444	0.585245	0.105934
f	5.9858e-06	8.59799e-06	0.000223238	0.000232881	5.75414e-05	0.00222669	0.00414752	0.979536	0.013562
u	8.50703e-05	0.000161241	0.00106599	0.0012246	5.21219e-05	0.00706947	0.0135873	0.91521	0.0615446
u	0.00166452	0.000108236	0.00133365	0.00170575	0.000332348	0.0080016	0.0101158	0.791782	0.184956
g	0.000756547	0.00013172	0.00499766	0.00299813	8.37613e-05	0.0350243	0.111003	0.131826	0.713179
h	0.016822	0.000473074	0.0413391	0.0259982	0.000646378	0.100758	0.132875	0.0363206	0.644767
a	0.0135053	0.000806046	0.0288355	0.04959	0.00320964	0.0525988	0.128454	0.36728	0.35572
</S>	0.00243947	0.000376636	0.0207687	0.016715	0.000950549	0.0358548	0.125433	0.0854609	0.712001
