 	leur	fils	est	mort	</S>
b	0.79659	0.195189	0.00696664	0.00108664	0.000167447
á	0.406013	0.533873	0.0494747	0.00553732	0.00510181
a	0.556152	0.342477	0.0349562	0.0187325	0.047683
m	0.601549	0.268383	0.094171	0.00335111	0.0325456
w	0.00505831	0.918003	0.0515733	0.00495879	0.0204069
á	0.00539349	0.910379	0.0475075	0.0119449	0.0247747
n	0.0977969	0.543345	0.0719588	0.00877782	0.278122
a	0.4175	0.446518	0.0259628	0.0202586	0.0897601
á	0.291767	0.079947	0.546063	0.052864	0.0293589
m	0.0281356	0.0681012	0.700669	0.161293	0.041802
i	0.00448311	0.103821	0.469232	0.175619	0.246845
d	0.000585859	0.0285792	0.334285	0.523915	0.112635
z	0.00166571	0.0049839	0.128877	0.62954	0.234933
w	0.0227647	0.0514222	0.116804	0.385353	0.423656
á	0.00297735	0.105953	0.205823	0.348598	0.336649
t	0.00181758	0.0180731	0.0854528	0.440256	0.4544
s	0.0286695	0.00734184	0.0220141	0.757305	0.18467
ε	0.0129398	0.00509647	0.0318872	0.728898	0.221179
n	0.0017906	0.0045806	0.0384141	0.142442	0.812772
g	0.00389223	0.00468523	0.0287094	0.140115	0.822598
ε	0.120114	0.0131294	0.0331008	0.171677	0.661979
</S>	0.00228281	0.0051426	0.0394311	0.100524	0.85262
