 	certaines	affaires	sont	dans	la	maison	mais	prends	seulement	ceux-là	</S>
m	0.576944	0.333079	0.0364458	0.0173313	0.0184774	0.00818043	0.00197536	0.00251346	0.00431517	0.000639425	9.88226e-05
y	0.130851	0.346517	0.347031	0.0445486	0.0272145	0.00786163	0.0167106	0.00194012	0.0142842	0.00539758	0.0576447
e	0.371677	0.476819	0.0826186	0.0190295	0.0197016	0.00826002	0.00472541	0.000271061	0.000745012	0.00488849	0.0112643
r	0.367603	0.277987	0.0684287	0.0589165	0.0342367	0.00936176	0.00603135	0.00506418	0.00375325	0.0113495	0.157269
é	0.577881	0.115429	0.0690151	0.0534137	0.0655137	0.0685085	0.0081431	0.00353023	0.00310904	0.00500641	0.0304503
m	0.302243	0.122952	0.470852	0.0566039	0.0149555	0.00857988	0.00127113	0.00317659	0.00139491	0.00159302	0.0163775
i	0.0915908	0.177307	0.509019	0.0759769	0.0805966	0.0206802	0.00827063	0.00371452	0.00444117	0.0133598	0.0150436
n	0.288947	0.168651	0.276863	0.135994	0.0351782	0.0226452	0.0131851	0.0108756	0.0024038	0.00828204	0.036975
á	0.446582	0.00932909	0.0762689	0.0261642	0.047732	0.320198	0.0524857	0.000817443	0.00582413	0.000846276	0.0137528
i	0.0251668	0.0209664	0.444633	0.245019	0.112291	0.102623	0.0175914	0.00202266	0.00705358	0.00181106	0.0208215
d	0.016585	0.034495	0.125668	0.438311	0.237494	0.0815638	0.0181717	0.0244018	0.00408701	0.00492959	0.0142939
i	0.00182997	0.000966849	0.0760624	0.618104	0.194743	0.0422998	0.00979065	0.00483013	0.000613709	0.00417909	0.0465803
s	0.00381887	0.00151182	0.0296511	0.58044	0.284767	0.0436159	0.00863239	0.0116646	0.000794973	0.00591017	0.0291933
á	0.00599769	0.00196167	0.0401077	0.350768	0.318934	0.199066	0.0362474	0.0120955	0.00257096	0.00220967	0.0300423
n	0.00507719	0.00369529	0.016425	0.0756533	0.238872	0.466373	0.122589	0.0317172	0.0265561	0.00526173	0.00778002
d	0.00529228	0.000564223	0.00199638	0.00551379	0.047089	0.836058	0.0866558	0.00193396	0.00889449	0.000535281	0.00546677
é	0.00277918	0.000293736	0.00133886	0.00254169	0.0209453	0.746065	0.219015	0.00163765	0.00309362	0.000287692	0.00200214
e	0.000865961	0.00665407	0.0273385	0.0777807	0.203672	0.171047	0.313728	0.10183	0.0312401	0.0158892	0.0499539
n	0.00110513	0.00671328	0.0310897	0.0785279	0.144028	0.139281	0.267221	0.268536	0.0213737	0.0140736	0.0280507
d	0.00379552	0.00732132	0.0186494	0.044078	0.107568	0.296702	0.333092	0.0486066	0.0280922	0.00652258	0.105573
z	0.000393886	0.00085433	0.00233735	0.00531173	0.0364968	0.265427	0.632647	0.0221908	0.0158417	0.00170515	0.0167942
á	0.000210451	0.00200453	0.00408501	0.0239093	0.129369	0.145089	0.529213	0.0784516	0.0106192	0.0171821	0.0598673
á	0.000597374	0.00110961	0.00432232	0.0261612	0.037586	0.0151518	0.131076	0.287908	0.0100671	0.0637098	0.42231
k	0.00299194	0.00195679	0.0119324	0.0170888	0.0258695	0.0560007	0.222384	0.20165	0.249463	0.0606964	0.149966
o	0.000168764	0.00155541	0.000817736	0.00494279	0.00656452	0.00189689	0.0181782	0.85765	0.0384585	0.0378762	0.0318907
b	0.000266432	0.00107083	0.000608456	0.0102254	0.0107814	0.00208143	0.0106704	0.837343	0.0310224	0.0433456	0.0525852
h	0.00043817	0.00334276	0.00148966	0.00671791	0.006961	0.00110209	0.012511	0.788882	0.0332812	0.0297392	0.115535
á	0.00203587	0.0144332	0.00183397	0.0103198	0.0606629	0.0340845	0.0252852	0.337484	0.130896	0.168257	0.214708
m	0.000545183	0.000858398	0.00208364	0.00427274	0.00601662	0.00786668	0.0219112	0.0325564	0.254219	0.195734	0.473936
í	0.000434868	0.000904663	0.0035814	0.00361528	0.00912321	0.00106551	0.00857324	0.00553969	0.0195875	0.827106	0.120469
a	0.000927943	0.000507894	0.00240226	0.00573905	0.013176	0.0100577	0.0332648	0.0307057	0.108981	0.677463	0.116776
m	0.000314152	0.000572799	0.00181507	0.00574873	0.00489934	0.00372224	0.0114732	0.0202137	0.297786	0.289699	0.363757
í	0.000117461	0.000789803	0.00318617	0.00413198	0.00849962	0.000300952	0.00209568	0.00302869	0.0111672	0.894519	0.0721639
i	0.000251467	0.000834174	0.00371676	0.0144026	0.0237793	0.00443397	0.0120241	0.0379827	0.153898	0.565237	0.18344
</S>	0.000363561	0.00161297	0.00226641	0.00864732	0.00897787	0.00221883	0.00721423	0.0193447	0.0789627	0.339021	0.53137
