 	j'	ai	manqué	de	la	nourriture	</S>
n	0.916241	0.0533447	0.00302632	0.00259159	0.00307336	0.0213057	0.000417816
g	0.91534	0.0817776	0.00111693	0.000884035	0.000565551	0.000254568	6.14525e-05
á	0.846381	0.150049	0.00254369	0.000529735	0.000337491	0.000116437	4.29269e-05
í	0.228034	0.416907	0.11053	0.0432032	0.0364752	0.0182306	0.146621
k	0.00651081	0.0581411	0.916212	0.0121035	0.00277478	0.00114691	0.00311092
á	0.000152617	0.00744445	0.946667	0.0320284	0.0038376	0.00230825	0.00756185
m	0.00700343	0.0738527	0.61534	0.200511	0.0847878	0.00306116	0.0154438
b	0.00265986	0.0340096	0.447422	0.376653	0.0813451	0.0206162	0.0372949
i	0.00776911	0.0658339	0.130563	0.328095	0.189498	0.195544	0.0826973
b	0.0165613	0.109055	0.0282355	0.131239	0.238035	0.351058	0.125817
e	0.0149703	0.0270992	0.00718259	0.0199352	0.0303442	0.878416	0.0220526
a	0.000256251	0.00688475	0.0376902	0.0719586	0.101969	0.581797	0.199444
</S>	0.000175064	0.00689063	0.00817149	0.115233	0.277481	0.134236	0.457812
