 	sa	mère	l'	a	habitué	à	l'	argent	</S>
n	0.967147	0.0310346	0.00113455	0.000214351	9.38292e-05	0.000187177	0.000151482	3.35696e-05	3.49676e-06
g	0.655808	0.303641	0.0330609	0.00306923	0.000297218	0.00116212	0.00203834	0.000828286	9.48014e-05
ó	0.061694	0.90437	0.0183351	0.00283543	0.000234324	0.000871426	0.000987359	0.0105535	0.000118396
o	0.0259733	0.954185	0.00658499	0.00193772	0.000388274	0.000310963	0.00061064	0.00976927	0.000239812
á	0.0389966	0.0312066	0.719625	0.1836	0.00996851	0.00337577	0.00275935	0.00216002	0.00830759
y	0.000907355	0.0043031	0.0120385	0.22338	0.752803	0.00381223	0.000797614	0.000263865	0.00169407
i	0.0215354	0.00468564	0.0209675	0.162164	0.785795	0.00189195	0.000385408	0.000391935	0.00218314
s	0.000679184	1.60729e-05	0.00304762	0.041588	0.938194	0.0139025	0.000926363	0.000106695	0.00153987
á	0.0118077	5.71019e-05	0.0134342	0.0678651	0.891586	0.0105982	0.00159727	0.000258299	0.00279656
á	0.0416654	0.000760962	0.188227	0.190931	0.462971	0.0650056	0.0150776	0.0040486	0.0313132
w	0.0887389	0.0010139	0.287276	0.146257	0.050287	0.154113	0.192369	0.0530344	0.0269103
a	0.025044	6.5923e-05	0.0287736	0.0802332	0.0119736	0.481346	0.222809	0.0394108	0.110344
m	0.00346706	0.000145533	0.0379194	0.0331501	0.0563148	0.539132	0.24397	0.0348032	0.0510981
ó	0.000572992	2.75525e-05	0.00392212	0.0108161	0.000533223	0.183178	0.416268	0.0931779	0.291504
m	0.000949886	6.46465e-05	0.00969432	0.00326526	0.00426988	0.193182	0.423117	0.308695	0.0567618
b	0.000214016	2.31456e-05	0.00103079	0.00123181	5.82088e-05	0.0336781	0.382119	0.430895	0.150749
ώ	7.94933e-05	1.97637e-06	6.84032e-05	8.49413e-05	5.78132e-06	0.00168272	0.0388466	0.951075	0.00815496
n	1.08443e-05	3.06776e-07	0.00024721	0.000381046	4.37792e-05	0.010475	0.0793905	0.864891	0.0445599
g	9.86818e-05	3.76294e-05	0.000737914	0.000596384	6.41961e-05	0.0695346	0.331446	0.455586	0.141898
ω	0.00114931	2.77976e-05	0.00188158	0.000482845	0.00014967	0.0267353	0.160198	0.722005	0.0873707
</S>	0.000636375	5.76346e-06	0.00568762	0.00357367	0.000249769	0.0907965	0.122005	0.0612735	0.715772
