 	la	manière	dont	il	exige	la	présence	de	sa	mère	est	celle	des	enfantq	</S>
e	0.303393	0.396899	0.0728906	0.0754716	0.0290945	0.0325723	0.00879804	0.0272221	0.0178133	0.0114018	0.00546588	0.00753671	0.00676603	0.00108225	0.00359258
l	0.00473296	0.00379668	0.00338569	0.0114324	0.884997	0.0292921	0.00594297	0.0218901	0.0056937	0.000873436	0.00553957	0.00892397	0.00236409	0.0108163	0.000319164
y	0.000948642	0.0107464	0.00366082	0.00761205	0.761223	0.0407907	0.0305448	0.0628605	0.0060006	0.0130076	0.0123243	0.0105896	0.0048126	0.0128401	0.0220381
e	0.00184495	0.00890997	0.00506397	0.0160325	0.813674	0.0467802	0.0155107	0.0456223	0.0068897	0.00388487	0.00924363	0.0103899	0.00562068	0.00376317	0.00676914
e	0.00835761	0.0525324	0.00417745	0.00653297	0.629341	0.2173	0.0236882	0.0204294	0.00800128	0.000935683	0.00596977	0.0069628	0.00786065	0.00387601	0.00403482
m	0.0267743	0.0247626	0.032878	0.0619061	0.340859	0.121727	0.0672793	0.0545682	0.0127828	0.0033507	0.0458035	0.0539975	0.0198522	0.0297249	0.103734
í	0.00847826	0.00446088	0.0110085	0.0428015	0.132267	0.100485	0.302958	0.0453201	0.0296084	0.002419	0.0810987	0.048838	0.0420675	0.0296322	0.118558
l	0.194768	0.119438	0.236917	0.0759516	0.0663363	0.12471	0.0408229	0.0316797	0.0337319	0.0101411	0.0109634	0.00776463	0.022211	0.00311566	0.0214484
í	0.00904978	0.0211796	0.148496	0.155754	0.0895548	0.0380998	0.0679517	0.0589746	0.0259443	0.0139703	0.052559	0.0427633	0.0401321	0.0327305	0.20284
y	0.0118507	0.109617	0.423658	0.0892503	0.0533011	0.0930914	0.0566119	0.0300764	0.0250812	0.0380057	0.013873	0.0122421	0.0207403	0.00436258	0.0182386
é	0.00685779	0.0628256	0.311146	0.0707289	0.114446	0.0368092	0.0285626	0.0477015	0.0382815	0.0443981	0.0443476	0.0540242	0.0231423	0.0407806	0.0759484
é	0.00561812	0.0172583	0.242112	0.147428	0.0840004	0.110219	0.115902	0.0637194	0.0487968	0.0316465	0.0213263	0.0212597	0.0201382	0.0110199	0.0595562
l	0.00170708	0.000669141	0.00245584	0.0696339	0.427746	0.0992447	0.187122	0.082395	0.00977478	0.0327639	0.0193194	0.0199589	0.00967297	0.00992512	0.0276117
y	0.000354482	0.00154141	0.00389572	0.072332	0.343689	0.14335	0.125122	0.0830546	0.0141033	0.110361	0.0172775	0.0290701	0.00712793	0.0144809	0.0342398
e	0.000283084	0.000190709	0.00159053	0.0321347	0.691064	0.101403	0.0287615	0.0626093	0.0125431	0.0268117	0.0080532	0.0161847	0.00367465	0.00482926	0.00986642
e	0.00023776	0.000915926	0.0226244	0.0648171	0.542096	0.208995	0.0237349	0.0478445	0.0116711	0.00892321	0.0120863	0.021821	0.0109222	0.00464578	0.0186653
m	0.000405331	0.00235552	0.0171756	0.129114	0.116681	0.251801	0.158853	0.16424	0.0320038	0.0225147	0.0299096	0.0279849	0.0182803	0.00260812	0.0260722
á	0.00190955	0.00209205	0.00817189	0.051309	0.0195091	0.126492	0.423793	0.0878164	0.0988685	0.0168291	0.07156	0.035414	0.0265784	0.0146756	0.0149814
w	0.00245924	0.00126182	0.00722624	0.08367	0.0108426	0.0833973	0.177355	0.12186	0.186682	0.109758	0.0835871	0.0590029	0.0346708	0.0154242	0.0228027
a	0.00280259	0.0025996	0.0246401	0.14994	0.0176841	0.0697063	0.0529936	0.0926662	0.206497	0.0489386	0.0982094	0.105844	0.0777478	0.0228882	0.026842
n	0.000235929	0.000678692	0.00720569	0.0228201	0.0069974	0.076806	0.0785857	0.13493	0.217206	0.161358	0.0968834	0.0928403	0.0575555	0.0135065	0.0323908
g	0.00662558	0.0175087	0.0290103	0.0520616	0.00534237	0.0475123	0.184185	0.10484	0.232737	0.117345	0.0562534	0.0629735	0.0267672	0.0132541	0.0435838
ó	8.50528e-05	0.00114815	0.00345723	0.011137	0.00123326	0.0201677	0.0583442	0.0351108	0.0924148	0.693132	0.0341954	0.0267237	0.0117299	0.00698199	0.00413913
o	5.92836e-05	0.000903321	0.00618602	0.017017	0.0044135	0.0431265	0.0161217	0.03795	0.0758098	0.392777	0.117123	0.130426	0.0921716	0.0170054	0.0489092
é	0.00131177	0.00101444	0.00231784	0.00974084	0.016874	0.0537448	0.0268661	0.102748	0.0901115	0.0599258	0.197576	0.225473	0.157843	0.0414272	0.0130255
d	0.000517148	0.000952449	0.00308133	0.0140508	0.0201771	0.0527605	0.0152523	0.06082	0.0302953	0.0221391	0.152305	0.305531	0.1591	0.124016	0.0390013
i	0.000187694	0.000277418	0.00105295	0.00412884	0.00414331	0.0276729	0.0640277	0.0367672	0.0313928	0.00243982	0.11842	0.281354	0.130811	0.128834	0.16849
y	0.00181332	0.000546885	0.00118373	0.00494361	0.00516671	0.0396303	0.0299271	0.0461479	0.0564648	0.0013764	0.104757	0.174452	0.367908	0.0720155	0.0936676
á	0.000664417	0.000581095	0.00159467	0.00645132	0.00878991	0.00789892	0.0174885	0.0608321	0.13232	0.011117	0.0832411	0.2428	0.106198	0.15519	0.164833
a	0.00163245	0.000364124	0.0044448	0.00442379	0.00084129	0.0115621	0.00450513	0.0274436	0.195491	0.00581591	0.0987222	0.110019	0.210614	0.271425	0.0526969
n	0.000322541	0.000164636	0.000524942	0.00294698	0.00869059	0.00784163	0.0180756	0.0314785	0.00928126	0.00424845	0.0743864	0.101851	0.130643	0.410946	0.198599
d	0.000591769	0.00252109	0.00329182	0.00590652	0.00234373	0.0095545	0.0331446	0.031448	0.0625991	0.00834962	0.0942849	0.117349	0.158299	0.37923	0.0910865
z	9.40114e-05	0.000287614	0.000956359	0.00154922	0.000430727	0.0020292	0.00646951	0.0111864	0.0329211	0.0160177	0.075696	0.103792	0.0770143	0.46337	0.208187
é	4.01904e-05	0.000112117	7.49223e-05	0.0002399	0.00107179	0.00118993	0.00154288	0.00644595	0.00994669	0.00148365	0.0311361	0.0475665	0.0345158	0.792865	0.0717689
s	5.42204e-05	0.000136153	0.000306929	0.00149883	0.00621876	0.00943164	0.00627294	0.0230019	0.0264788	0.00395767	0.0596293	0.0741475	0.0936906	0.310792	0.384382
i	0.000906703	0.000215521	0.000145644	0.000343507	0.00358488	0.00327349	0.00266153	0.0140158	0.0122497	0.0010179	0.0661482	0.110421	0.140641	0.480811	0.163564
</S>	0.000372118	0.000438617	0.00151597	0.0023163	0.00102599	0.00457463	0.00849113	0.0369121	0.0211342	0.00202386	0.0937772	0.0626379	0.124477	0.10473	0.535572
