 	mon	mari	sait	tendre	des	pièges	pour	prendre	les	rats	palmistes	</S>
o	0.872752	0.0626498	0.00726615	0.00950075	0.0171151	0.012315	0.01296	0.00154511	0.00256077	0.00116696	0.000122721	4.60969e-05
l	0.00880611	0.988517	0.00079569	0.000915232	0.000127732	0.000108817	0.000100175	6.00991e-05	6.50979e-05	8.93136e-05	0.000119034	0.000295609
ó	0.00100964	0.976147	0.0105377	0.00768335	0.00122008	0.000777476	0.000163344	0.00175974	0.000176862	6.70784e-05	0.000288933	0.000169085
m	0.000332483	0.981442	0.00506595	0.00486813	0.000549119	0.000440398	0.000227623	0.000822815	0.00010082	2.6452e-05	0.00562143	0.000503169
i	0.053792	0.821572	0.0232391	0.0181287	0.00757973	0.00916046	0.00552015	0.013565	0.00454204	0.00169545	0.00134856	0.0398565
y	0.514412	0.204624	0.104765	0.0300576	0.0192963	0.014325	0.0209439	0.00664315	0.0341183	0.0146364	0.00117464	0.0350041
a	0.849086	0.0616031	0.0269103	0.0190847	0.00929304	0.00666884	0.00547298	0.000594556	0.00379511	0.000285796	0.000293991	0.016912
n	0.978288	0.00295765	0.00445558	0.00469626	0.00293059	0.00215658	0.00174884	6.10986e-05	0.000484547	5.91894e-05	7.43825e-05	0.00208689
g	0.989873	0.00577586	0.000471543	0.00170811	0.000721711	0.000293726	0.000293864	5.53819e-05	0.000271557	3.86696e-05	1.27829e-05	0.000483469
á	0.681835	0.0955681	0.0220753	0.13424	0.0211511	0.00979501	0.00526476	0.00145183	0.00593722	0.000481743	0.00278469	0.0194154
l	0.323304	0.0363702	0.180194	0.234541	0.0890892	0.042232	0.0399699	0.00733219	0.023722	0.00792386	0.00204982	0.0132724
á	0.392079	0.00734329	0.159793	0.172337	0.0432938	0.0242171	0.0197512	0.00620659	0.0447374	0.00348606	0.00602774	0.120728
a	0.133425	0.00482732	0.248543	0.302095	0.132659	0.0785296	0.029316	0.00739908	0.0143925	0.00289011	0.00316523	0.0427574
y	0.00931592	0.0112619	0.629902	0.286516	0.016161	0.0118809	0.00303643	0.015723	0.00288949	0.00409932	0.00529453	0.00391941
é	0.0414156	0.0118417	0.626208	0.272292	0.0214816	0.0130567	0.00155903	0.00254999	0.00166854	0.00269776	0.00212688	0.00310158
b	0.107064	0.00286532	0.424486	0.244296	0.0641	0.0461952	0.0141744	0.00613706	0.0125288	0.00525518	0.00415645	0.0687418
h	0.0433667	0.00190484	0.354098	0.42228	0.0492487	0.032846	0.0123998	0.0248095	0.0163309	0.033412	0.00374416	0.00555926
á	0.0888114	0.00643301	0.1777	0.108555	0.0979394	0.0778156	0.0340725	0.115664	0.0698316	0.0389479	0.013438	0.170791
o	0.00673808	0.000303315	0.0286329	0.0678631	0.335746	0.256382	0.234261	0.0244379	0.0257619	0.00872753	0.00158769	0.00955891
b	0.000712252	0.0130263	0.0485145	0.0676519	0.146551	0.158165	0.109947	0.367023	0.0123981	0.0246203	0.0425096	0.00888161
h	3.12815e-05	0.00279783	0.00698966	0.0131995	0.0274903	0.0447368	0.0227685	0.835086	0.00767109	0.027414	0.0087346	0.00308083
í	7.9479e-06	0.000745488	0.00582637	0.013028	0.0215816	0.0315672	0.0139969	0.84423	0.0311282	0.0259574	0.0019914	0.00993961
á	0.000515945	0.000145203	0.00832416	0.0103002	0.0711208	0.0995009	0.131472	0.392201	0.113125	0.0483597	0.00307781	0.121858
a	0.00664467	0.000941187	0.00762101	0.00927239	0.0421757	0.0475876	0.209292	0.0464029	0.322734	0.212256	0.053532	0.041541
k	0.0034093	0.00422963	0.011823	0.0116737	0.0125224	0.0103706	0.0238129	0.120469	0.10304	0.173983	0.500023	0.0246435
ó	6.48072e-05	0.000356751	0.00324153	0.00460657	0.00401827	0.00517616	0.00655324	0.37598	0.0443016	0.193918	0.340233	0.0215506
l	1.2616e-05	0.000635376	0.00195563	0.00612124	0.00358968	0.00475559	0.00439258	0.23794	0.0286346	0.0664338	0.63313	0.0123989
ó	0.000186007	0.00157922	0.00244443	0.0125783	0.0113164	0.0121143	0.0236183	0.152383	0.128206	0.178625	0.382582	0.0943669
</S>	0.0010042	0.000636043	0.00145006	0.00568518	0.0108653	0.00751548	0.0297765	0.0252382	0.242775	0.145963	0.193616	0.335476
