 	cette	femme-ci	a	beaucoup	de	bracelets	au	bras	</S>
o	0.910498	0.058127	0.00264462	0.00646183	0.0104213	0.0107328	0.00107776	1.01314e-05	2.59299e-05
y	0.0173005	0.980698	0.00116058	0.000404135	0.000176318	7.97161e-05	4.91047e-05	4.30711e-05	8.82789e-05
ú	0.789512	0.205071	0.00122405	0.0010795	0.00092081	0.0014514	0.000272274	0.000214052	0.000254737
r	0.912335	0.0301658	0.00491079	0.00985125	0.00307709	0.00451234	0.00460035	0.000292111	0.0302555
u	0.822244	0.10408	0.0114544	0.0180348	0.0161527	0.011189	0.0046061	0.000868927	0.0113709
w	0.109128	0.0911666	0.543551	0.132086	0.0389036	0.0136607	0.0226577	0.00976691	0.0390798
ó	0.245417	0.0349468	0.277257	0.183959	0.0998717	0.0439185	0.0332591	0.0363641	0.0450078
a	0.0296919	0.00126501	0.527092	0.29912	0.0856884	0.00986432	0.0218789	0.00592047	0.0194792
d	0.00171665	0.000279261	0.315189	0.468378	0.112191	0.0177779	0.0110529	0.0112617	0.0621542
í	0.0189735	0.000758704	0.333659	0.318635	0.0925198	0.0279352	0.0149411	0.00126363	0.191314
l	0.132851	0.000224396	0.0977662	0.255973	0.24604	0.1486	0.0323975	0.00503753	0.0811105
i	0.00881574	0.000386361	0.0533114	0.192161	0.268757	0.185686	0.053485	0.0139773	0.223421
b	0.00942349	0.000408118	0.014581	0.0467421	0.209976	0.614304	0.0290968	0.045347	0.0301219
á	0.00722825	0.000180143	0.0170057	0.0895181	0.190594	0.645826	0.0136628	0.0325192	0.00346659
n	0.0107656	7.29038e-05	0.0159796	0.0713067	0.30745	0.451618	0.0236851	0.0340074	0.0851144
g	0.00225406	4.86905e-05	0.00673953	0.0497784	0.138258	0.76377	0.0161872	0.00675605	0.0162079
a	0.0201136	0.000260681	0.00399689	0.0199749	0.0386987	0.881635	0.022514	0.00313962	0.00966662
i	0.00261608	6.49491e-06	0.0132812	0.0850544	0.180837	0.300525	0.357326	0.0283828	0.031971
y	0.00448943	0.000119958	0.0093168	0.0376156	0.149796	0.264047	0.146683	0.264384	0.123548
í	0.00307726	0.000269997	0.0094342	0.043135	0.0747251	0.0925606	0.160567	0.16944	0.44679
í	0.0111783	0.000105495	0.00357467	0.0213402	0.0314899	0.0697853	0.16293	0.067057	0.632539
m	0.000549082	7.05366e-06	0.00942981	0.0256053	0.013477	0.0176311	0.239143	0.153699	0.540458
é	0.0147065	0.000287027	0.0135904	0.0160324	0.0359192	0.00791679	0.426885	0.113303	0.371359
b	0.000283047	5.47398e-05	0.00891535	0.0211843	0.0273054	0.0646318	0.257856	0.45245	0.167319
ώ	0.000407981	1.02664e-05	0.00123014	0.0109298	0.00650052	0.0169576	0.0211111	0.92431	0.0185428
ω	0.000383873	2.78798e-06	0.000450312	0.00405205	0.00915883	0.0182975	0.0355359	0.868979	0.0631398
</S>	0.00764085	4.45092e-05	0.0102372	0.031628	0.0334056	0.0158204	0.275406	0.105624	0.520194
