 	cette	femme	s'	est	accroupie	pour	bien	préparer	</S>
o	0.728733	0.23755	0.0222842	0.00319553	0.00162226	0.00251411	0.00402213	4.60885e-05	3.17892e-05
y	0.131171	0.751701	0.0857127	0.0139799	0.00621487	0.00213181	0.00145518	0.0047917	0.00284174
ú	0.443548	0.503574	0.019181	0.0120478	0.0120151	0.00233799	0.00037821	0.00484596	0.00207092
r	0.738475	0.10286	0.0210744	0.020213	0.0131827	0.0170699	0.00620516	0.0249824	0.0559372
u	0.474525	0.481628	0.01628	0.00971296	0.00491868	0.00308978	0.00105271	0.00243912	0.00635385
w	0.125757	0.122109	0.516683	0.147058	0.0175952	0.018996	0.010311	0.00846002	0.0330307
ó	0.153175	0.0634348	0.253518	0.221953	0.0873031	0.0723429	0.0571513	0.0273999	0.0637223
á	0.0354666	0.0103921	0.527037	0.318158	0.0541152	0.020996	0.00413249	0.00554847	0.0241548
m	0.00320164	0.00310557	0.0885461	0.359837	0.415847	0.0362374	0.0199396	0.0235297	0.0497563
i	0.0173153	0.00424036	0.172504	0.406593	0.103995	0.190611	0.0523354	0.0235947	0.0288115
y	0.003228	0.00051674	0.0385691	0.267728	0.5893	0.0550755	0.014114	0.0164655	0.0150025
ε	0.00554383	0.00141367	0.0219596	0.193869	0.695844	0.0278867	0.00424266	0.0249886	0.0242524
l	0.00190197	0.000428621	0.0253351	0.198665	0.488934	0.0809027	0.0228222	0.0407055	0.140304
έ	0.0190134	0.00154931	0.0459357	0.195092	0.509887	0.151414	0.0563641	0.00309288	0.017652
έ	0.0122599	0.000595533	0.0213187	0.0816472	0.347892	0.339418	0.152703	0.0112855	0.0328798
m	0.00494854	0.00161426	0.00563609	0.0245083	0.102964	0.447147	0.341819	0.0654841	0.00587823
í	0.00149271	0.00177217	0.003622	0.00842843	0.00948607	0.275924	0.247424	0.159206	0.292644
l	0.00224064	0.000457499	0.00245359	0.00540682	0.00577054	0.0965274	0.0922249	0.778038	0.0168808
á	0.000256743	0.000318779	0.00234526	0.00530235	0.00861606	0.080495	0.112285	0.682913	0.107468
m	0.000901339	9.90381e-05	0.00226819	0.0077046	0.0228359	0.0663814	0.126037	0.682024	0.0917484
b	0.00783365	0.000803066	0.00181847	0.00479254	0.00291525	0.163859	0.280579	0.383908	0.15349
a	0.00501825	0.000603001	0.00268159	0.00501772	0.0058291	0.141879	0.214146	0.357663	0.267163
</S>	0.00695832	0.000191235	0.00318315	0.00882602	0.0301085	0.099887	0.26742	0.266728	0.316698
