 	j'	ai	trouvé	des	ananas	dans	la	brousse	</S>
n	0.917833	0.050528	0.00194493	0.0146659	0.00290879	0.00514905	0.00403092	0.00259477	0.000344332
g	0.961668	0.0359542	0.000283624	0.000806395	1.79174e-05	0.000747086	0.000448403	4.66406e-05	2.72692e-05
á	0.85722	0.140533	0.000372336	0.000915379	1.61849e-05	0.000340619	0.000323344	0.000264175	1.53147e-05
í	0.0881448	0.541583	0.0468241	0.146986	0.00892069	0.0196176	0.032378	0.0380942	0.0774514
d	0.00166096	0.0234487	0.951846	0.0159519	0.00491978	0.00089847	0.000366523	0.000234089	0.000673062
i	0.00452372	0.285989	0.67792	0.0181166	0.000752752	0.00443631	0.000877914	0.000116983	0.00726685
i	0.00202113	0.0925196	0.647382	0.178648	0.0162369	0.0423694	0.0111866	0.00103421	0.00860202
i	0.00372462	0.0317192	0.136916	0.436449	0.289147	0.0501756	0.0157288	0.023982	0.0121578
t	0.00012389	0.00899664	0.210438	0.203153	0.542426	0.0182996	0.00330591	0.007528	0.00572946
o	9.81238e-06	0.000837469	0.12108	0.0717486	0.792736	0.00547106	0.000577628	0.00374973	0.00378929
ó	1.36583e-05	0.00178319	0.133247	0.163667	0.640058	0.0355878	0.00265062	0.00634791	0.0166444
s	7.84987e-05	0.00419217	0.0207247	0.120989	0.0827595	0.655994	0.0865055	0.00751432	0.0212426
á	0.000881592	0.00240734	0.0409049	0.0507336	0.134859	0.279417	0.13773	0.04893	0.304136
k	0.0110305	0.00911931	0.00533784	0.0348854	0.0690969	0.277035	0.290341	0.245544	0.0576102
ώ	0.000432965	0.000247661	0.00109674	0.00729043	0.164838	0.0423646	0.0447382	0.71047	0.0285211
</S>	3.42032e-05	2.89713e-05	0.000131772	0.00435419	0.0673997	0.018527	0.0141574	0.883684	0.0116823
