 	l'	épervier	a	attrapé	un	poussin	</S>
m	0.847344	0.141502	0.00836009	4.0528e-05	0.00237999	0.0001466	0.000227127
b	0.0479409	0.94631	0.00318027	1.24047e-05	0.00127509	0.000319266	0.000962469
e	0.0229311	0.974951	0.000856796	7.70808e-05	0.000257372	0.000448436	0.000477806
m	0.00652588	0.99234	0.000280007	2.3379e-05	5.84642e-05	6.49544e-05	0.000707231
b	0.0602639	0.929916	0.00388364	3.40878e-05	0.000710154	3.18452e-05	0.00516075
e	0.0122101	0.980243	0.00210014	2.98745e-05	0.00133366	0.0002292	0.00385359
á	0.0373065	0.0230097	0.810632	0.0990928	0.0174317	0.000252531	0.0122752
p	0.00329332	0.00385637	0.1981	0.722318	0.0571358	0.00593496	0.00936053
i	0.00030844	0.00059353	0.0586617	0.885679	0.0460835	0.00468194	0.00399208
i	0.00560154	0.00158068	0.0241036	0.84071	0.118661	0.00431518	0.00502887
m	0.0202939	0.00374667	0.096819	0.0398907	0.583773	0.103541	0.151935
w	0.0433549	0.166479	0.0220503	0.000342999	0.161394	0.238241	0.368138
á	0.0158666	0.14926	0.0144721	0.0127727	0.208769	0.166524	0.432335
n	0.308919	0.0766067	0.00989321	0.00159331	0.158069	0.00801439	0.436904
a	0.261686	0.0807629	0.0177698	0.000570129	0.319849	0.0264427	0.29292
y	0.0122965	0.00236843	0.110809	0.0133349	0.611727	0.0366429	0.212821
a	0.0194577	0.00282498	0.0219499	0.0224998	0.0643323	0.628448	0.240487
t	0.0109771	0.000713499	0.0146185	0.00379364	0.0708247	0.537494	0.361579
s	0.00195138	0.000952535	0.00335251	0.00828402	0.00666523	0.916392	0.0624022
ó	0.000147652	0.000360611	0.000181785	0.0034171	0.00515762	0.956982	0.0337533
s	0.000320727	0.000330467	0.00134331	0.00490659	0.00478436	0.663948	0.324367
ó	0.00132553	0.00357731	0.000596528	0.00072927	0.0256584	0.516843	0.45127
</S>	0.0137631	0.00739948	0.0180504	0.00206566	0.0440527	0.0532857	0.861383
