 	notre	vie	a	été	bouleversée	par	l'	arrivée	des	blancs	</S>
o	0.401402	0.504892	0.05339	0.0199832	0.00270755	0.00665216	0.00742206	0.000644078	0.0017167	0.00100812	0.000182586
m	0.0036236	0.964456	0.00985149	0.00457011	0.00613355	0.00143437	0.00145086	0.00381914	0.00166735	0.00130138	0.00169245
ω	0.105599	0.778364	0.0641827	0.0228346	0.00769287	0.00860852	0.00215782	0.000994706	0.00162111	0.000457161	0.00748768
n	0.0104401	0.863	0.0346307	0.0163593	0.00924017	0.0242702	0.0108611	0.0130606	0.00537523	0.000612765	0.0121501
g	0.0395051	0.902799	0.0200613	0.00966315	0.00208934	0.0060658	0.00785261	0.00353871	0.00380974	0.00100743	0.00360824
ω	0.330546	0.58891	0.019829	0.0264886	0.00531977	0.00590898	0.00653272	0.000521682	0.00290237	0.00160384	0.0114372
m	0.0968692	0.0779794	0.438863	0.231246	0.0452025	0.0277842	0.0215188	0.00524284	0.017714	0.00388727	0.0336929
á	0.32917	0.0660488	0.273081	0.232399	0.016965	0.0359775	0.0188549	0.00147367	0.00584622	0.00306432	0.0171199
b	0.762517	0.00921159	0.0710424	0.109598	0.0148803	0.00933456	0.00634295	0.00131765	0.003573	0.0015275	0.0106554
í	0.899153	0.00293145	0.0311549	0.0360076	0.00415015	0.00802549	0.0108954	0.0017676	0.00238299	0.000777777	0.00275389
s	0.990238	0.000195247	0.00389409	0.0042173	0.000156354	0.000324706	0.000433615	6.78555e-05	8.87068e-05	7.64569e-05	0.00030793
í	0.630894	0.00618138	0.0679388	0.190054	0.00843921	0.0302894	0.0301975	0.00118869	0.00695577	0.000567863	0.0272939
á	0.0128512	0.0112475	0.3509	0.385529	0.123923	0.0576938	0.0264458	0.00405399	0.0118156	0.000563995	0.0149758
d	0.00475132	0.00753171	0.117207	0.219931	0.534589	0.0528956	0.0213369	0.0193492	0.00605548	0.00160402	0.0147486
z	0.0102505	0.000902955	0.108883	0.229459	0.378024	0.117864	0.0230552	0.0150552	0.0176083	0.00230153	0.096597
w	0.0363071	0.00438064	0.0512448	0.352308	0.497975	0.0483738	0.00485381	0.000947805	0.000796961	0.000419508	0.00239292
á	0.0252499	0.0030298	0.0974932	0.312668	0.329717	0.150143	0.0524533	0.00572365	0.00783207	0.00287377	0.0128163
o	0.0328728	0.00154691	0.0730275	0.145826	0.435512	0.22292	0.0590185	0.0054911	0.0101986	0.00422442	0.00936251
t	0.00160013	0.00342159	0.00490801	0.0213926	0.709191	0.184562	0.018489	0.0463001	0.00194271	0.00532729	0.00286498
s	5.4429e-05	0.00100609	0.00244914	0.0164737	0.773141	0.070541	0.0124085	0.0803759	0.00229055	0.0232669	0.0179927
a	0.00140376	0.00204346	0.00861625	0.0354368	0.551476	0.113531	0.0537872	0.0721095	0.0212934	0.090001	0.050302
á	0.00288567	0.000161924	0.00772398	0.0203695	0.299366	0.234286	0.156442	0.0393042	0.0130218	0.0358878	0.190552
á	0.00511733	0.00126606	0.0196117	0.0249431	0.0649057	0.351834	0.331172	0.0642807	0.0659047	0.00749702	0.0634675
d	0.00826489	0.0022796	0.0104696	0.0105447	0.0479126	0.182223	0.272086	0.239977	0.129327	0.0292722	0.0676435
z	0.000975577	0.000249245	0.00235365	0.00443544	0.0465942	0.326705	0.147532	0.064592	0.0701588	0.0138794	0.322525
a	0.00218158	0.00251087	0.00621789	0.0368512	0.237308	0.392718	0.114503	0.0454863	0.0487121	0.028349	0.0851626
i	0.00615724	0.000187904	0.00372811	0.00802484	0.0409443	0.135799	0.272625	0.172578	0.128168	0.0618692	0.169919
b	0.000810394	0.000713107	0.00235114	0.00286867	0.00967497	0.0481668	0.1269	0.305668	0.22271	0.0850609	0.195076
a	0.000897595	0.000143496	0.00266108	0.00202133	0.00222481	0.0180073	0.0686035	0.59423	0.0412256	0.195804	0.0741809
a	0.000259146	5.81969e-05	0.000456624	0.000977679	0.00786923	0.026669	0.0524434	0.344265	0.0303184	0.274894	0.261789
m	0.00110053	0.000143288	0.00178365	0.00139333	0.00236996	0.0207185	0.14651	0.148051	0.389715	0.100547	0.187669
i	0.00255416	0.00109824	0.00373415	0.00589049	0.00579485	0.0642774	0.0817825	0.0434021	0.288476	0.163797	0.339194
l	8.8003e-05	0.000247471	0.00142057	0.00189374	0.00374471	0.0345319	0.0731556	0.142571	0.2931	0.236579	0.212668
ó	0.00626336	0.00078627	0.00231684	0.00343756	0.00801124	0.0346496	0.0574276	0.147438	0.30773	0.117768	0.314172
y	0.00981139	0.000362389	0.00232239	0.00317331	0.00480203	0.0355978	0.071932	0.106361	0.337126	0.19176	0.236752
a	0.000430298	0.000742968	0.00257765	0.00411612	0.0207462	0.0166407	0.0509324	0.182747	0.180161	0.393544	0.147362
a	6.29803e-05	9.25282e-05	0.000335537	0.00073625	0.00720952	0.0139972	0.0439308	0.0768739	0.132529	0.373937	0.350295
</S>	0.00318223	0.000206416	0.0030151	0.00200896	0.0052079	0.0258553	0.0831349	0.0457974	0.395411	0.0599229	0.376258
