 	tu	peux	aller	le	déposer	au-dehors	</S>
n	0.596979	0.371713	0.00949093	0.0189333	0.0010033	0.000873206	0.00100753
ω	0.97415	0.0118649	0.00375754	0.00506517	0.000161717	0.00483248	0.000168131
l	0.369697	0.37069	0.115397	0.0453533	0.0124211	0.0571801	0.0292622
ó	0.0285712	0.0380792	0.0541001	0.0294874	0.016233	0.0357007	0.797828
o	0.252686	0.287831	0.171638	0.0724993	0.0202121	0.0776026	0.117531
b	0.00454476	0.669637	0.240939	0.00947923	0.0441798	0.00933011	0.0218905
h	0.00402106	0.944809	0.0207626	0.0105232	0.00610989	0.00299861	0.010776
e	0.00928503	0.91361	0.0348827	0.0074126	0.00491235	0.00622737	0.0236702
r	0.0296775	0.753411	0.0856645	0.0433473	0.0169101	0.00596368	0.0650255
á	0.032493	0.35969	0.173643	0.261349	0.00997629	0.0211275	0.141721
ω	0.0605713	0.0587571	0.215322	0.490034	0.157108	0.00944811	0.00875927
d	0.0226656	0.0909789	0.339201	0.23148	0.20013	0.102297	0.0132474
z	0.00276006	0.021715	0.390826	0.14361	0.187969	0.19536	0.0577594
w	0.0012217	0.0084142	0.866332	0.0208208	0.0715598	0.0190728	0.012579
á	0.0064111	0.109784	0.254911	0.187318	0.0848716	0.0460286	0.310675
o	0.00946358	0.0109814	0.121654	0.328408	0.266053	0.18538	0.0780584
y	0.000362039	0.0177886	0.0350292	0.0348737	0.305041	0.552646	0.0542594
í	0.000546588	0.0031843	0.0987073	0.0586149	0.239592	0.511097	0.0882579
á	0.00106625	0.0024928	0.10102	0.0784992	0.298347	0.181488	0.337086
w	0.012669	0.0122241	0.0242011	0.130201	0.188789	0.242009	0.389907
a	0.0312065	0.0844637	0.0265184	0.310935	0.187933	0.155503	0.203441
m	0.0039483	0.00666267	0.0117511	0.0935063	0.0969029	0.31877	0.468458
ó	0.000721171	0.02484	0.042882	0.158086	0.124392	0.21914	0.429939
n	0.000665421	0.0248876	0.0160132	0.115659	0.0618296	0.517595	0.26335
d	0.00109609	0.00143994	0.00548657	0.0111701	0.00178478	0.852048	0.126974
z	0.000713808	0.000495401	0.0069277	0.00881877	0.00383259	0.651292	0.32792
í	2.19303e-05	0.000264313	0.00808943	0.0068087	0.0064595	0.614313	0.364043
e	1.59987e-05	0.000890189	0.00632476	0.0178929	0.0144704	0.12366	0.836746
</S>	0.00175995	0.00578071	0.00466512	0.0351512	0.0141881	0.115589	0.822865
